iter	Passed	Remaining
0	68	6758
1	68	3371
2	69	2240
3	69	1675
4	70	1336
5	70	1109
6	71	947
7	71	825
8	72	731
9	72	656
10	73	593
11	73	541
12	74	497
13	74	459
14	75	426
15	75	397
16	76	372
17	76	349
18	77	328
19	77	310
20	78	293
21	78	278
22	79	264
23	79	251
24	79	239
25	80	228
26	80	218
27	81	209
28	81	200
29	82	192
30	82	184
31	83	177
32	83	169
33	83	162
34	84	156
35	84	150
36	85	145
37	85	139
38	86	134
39	86	130
40	87	125
41	87	120
42	88	116
43	88	112
44	88	108
45	89	104
46	89	101
47	90	97
48	90	94
49	90	90
50	91	87
51	91	84
52	92	81
53	92	78
54	92	76
55	93	73
56	93	70
57	94	68
58	94	65
59	95	63
60	95	61
61	95	58
62	96	56
63	96	54
64	97	52
65	97	50
66	98	48
67	98	46
68	99	44
69	99	42
70	100	40
71	100	39
72	100	37
73	101	35
74	101	33
75	102	32
76	102	30
77	103	29
78	103	27
79	103	25
80	104	24
81	104	22
82	105	21
83	105	20
84	105	18
85	106	17
86	106	15
87	106	14
88	107	13
89	107	11
90	108	10
91	108	9
92	108	8
93	109	6
94	109	5
95	110	4
96	110	3
97	111	2
98	111	1
99	111	0
