Ticker,B&H MaxDD (%),ML MaxDD (%),Počet Obchodov,Win Rate (%)
AAPL,-13.8,-13.8,0,53.31
MSFT,-33.91,-9.69,65,50.0
NVDA,-20.21,-10.64,66,55.4
GOOGL,-20.37,-20.37,6,53.97
META,-33.3,-24.84,81,51.52
NFLX,-43.35,-22.92,121,62.38
AMZN,-21.74,-16.93,84,62.38
TSLA,-27.48,-35.81,61,61.4
HD,-23.25,-16.6,111,48.41
PG,-17.62,-8.14,77,54.39
KO,-9.82,-5.58,94,51.0
WMT,-10.92,-12.94,80,53.9
JNJ,-7.22,-7.22,0,56.2
UNH,-59.07,-35.89,59,51.14
PFE,-11.47,-5.99,48,53.28
JPM,-15.47,-11.9,76,58.62
V,-20.38,-7.03,93,52.14
BAC,-17.93,-5.23,80,59.43
CAT,-13.88,-13.11,53,57.58
BA,-24.96,-1.71,47,68.52
LMT,-15.56,-10.62,82,59.86
XOM,-8.32,-4.02,120,63.96
CVX,-8.31,-8.31,0,56.61
COP,-13.47,-8.69,87,60.36
LIN,-19.18,-19.18,0,52.89
SHW,-18.74,-13.28,70,48.39
PLD,-9.59,-6.57,98,59.23
O,-11.1,-5.72,74,54.95
NEE,-10.75,-10.26,46,57.56
DUK,-10.88,-9.67,68,58.9
DIA,-9.76,-8.71,73,60.77
