month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,42,0,27
2021-04-11,42,0,31
2021-04-18,43,0,28
2021-04-25,44,0,29
2021-05-02,43,0,29
2021-05-09,43,0,30
2021-05-16,43,0,26
2021-05-23,43,0,27
2021-05-30,45,0,30
2021-06-06,42,0,30
2021-06-13,42,0,28
2021-06-20,42,0,26
2021-06-27,45,0,26
2021-07-04,43,0,23
2021-07-11,45,0,25
2021-07-18,47,0,26
2021-07-25,46,0,24
2021-08-01,47,0,24
2021-08-08,46,0,25
2021-08-15,46,0,23
2021-08-22,46,0,24
2021-08-29,46,0,23
2021-09-05,47,0,20
2021-09-12,78,0,22
2021-09-19,63,0,23
2021-09-26,59,0,22
2021-10-03,59,0,23
2021-10-10,53,0,23
2021-10-17,52,0,24
2021-10-24,48,0,27
2021-10-31,51,0,28
2021-11-07,51,0,29
2021-11-14,51,0,29
2021-11-21,56,0,22
2021-11-28,52,0,27
2021-12-05,52,0,25
2021-12-12,50,0,23
2021-12-19,59,0,23
2021-12-26,60,0,23
2022-01-02,58,0,24
2022-01-09,51,0,22
2022-01-16,48,0,23
2022-01-23,48,0,27
2022-01-30,51,0,26
2022-02-06,49,0,25
2022-02-13,49,0,25
2022-02-20,49,0,25
2022-02-27,47,0,23
2022-03-06,51,0,25
2022-03-13,49,0,25
2022-03-20,49,0,22
2022-03-27,49,0,23
2022-04-03,47,0,23
2022-04-10,48,0,20
2022-04-17,48,0,24
2022-04-24,47,0,26
2022-05-01,49,0,23
2022-05-08,45,0,25
2022-05-15,45,0,22
2022-05-22,47,0,20
2022-05-29,47,0,18
2022-06-05,47,0,20
2022-06-12,48,0,23
2022-06-19,48,0,20
2022-06-26,49,0,18
2022-07-03,51,0,17
2022-07-10,52,0,18
2022-07-17,51,0,21
2022-07-24,51,0,21
2022-07-31,51,0,21
2022-08-07,57,0,21
2022-08-14,56,0,20
2022-08-21,52,0,20
2022-08-28,51,0,17
2022-09-04,77,0,15
2022-09-11,73,0,20
2022-09-18,71,0,19
2022-09-25,61,0,18
2022-10-02,54,0,17
2022-10-09,57,0,17
2022-10-16,51,0,17
2022-10-23,52,0,20
2022-10-30,53,0,19
2022-11-06,50,0,21
2022-11-13,51,0,19
2022-11-20,56,0,15
2022-11-27,48,0,17
2022-12-04,50,0,17
2022-12-11,52,0,17
2022-12-18,56,0,18
2022-12-25,61,0,16
2023-01-01,55,0,17
2023-01-08,52,0,19
2023-01-15,52,0,17
2023-01-22,50,0,20
2023-01-29,51,0,21
2023-02-05,48,0,19
2023-02-12,48,0,18
2023-02-19,48,0,18
2023-02-26,47,0,18
2023-03-05,47,0,18
2023-03-12,49,0,21
2023-03-19,47,0,20
2023-03-26,47,0,18
2023-04-02,48,0,17
2023-04-09,49,0,18
2023-04-16,47,0,18
2023-04-23,47,0,18
2023-04-30,48,0,18
2023-05-07,46,0,16
2023-05-14,45,0,16
2023-05-21,46,0,18
2023-05-28,47,0,18
2023-06-04,49,0,19
2023-06-11,49,0,19
2023-06-18,49,0,17
2023-06-25,50,0,18
2023-07-02,52,0,15
2023-07-09,49,0,18
2023-07-16,50,0,20
2023-07-23,51,0,19
2023-07-30,51,0,19
2023-08-06,51,0,18
2023-08-13,49,0,18
2023-08-20,48,0,18
2023-08-27,48,0,19
2023-09-03,50,0,16
2023-09-10,87,0,17
2023-09-17,71,0,16
2023-09-24,71,0,16
2023-10-01,62,0,16
2023-10-08,55,0,17
2023-10-15,55,0,16
2023-10-22,50,0,17
2023-10-29,50,0,18
2023-11-05,49,0,18
2023-11-12,52,0,18
2023-11-19,58,0,16
2023-11-26,53,0,18
2023-12-03,53,0,19
2023-12-10,49,0,19
2023-12-17,52,0,19
2023-12-24,58,0,16
2023-12-31,55,0,17
2024-01-07,51,0,19
2024-01-14,49,0,18
2024-01-21,47,0,21
2024-01-28,47,0,23
2024-02-04,47,0,22
2024-02-11,47,0,23
2024-02-18,48,0,21
2024-02-25,47,0,23
2024-03-03,47,0,23
2024-03-10,44,0,21
2024-03-17,47,0,23
2024-03-24,47,0,21
2024-03-31,46,0,21
2024-04-07,46,0,20
2024-04-14,47,0,21
2024-04-21,46,0,20
2024-04-28,46,0,20
2024-05-05,47,0,19
2024-05-12,51,0,24
2024-05-19,45,0,21
2024-05-26,48,0,19
2024-06-02,48,0,24
2024-06-09,47,0,23
2024-06-16,48,0,20
2024-06-23,47,0,21
2024-06-30,46,0,18
2024-07-07,50,0,21
2024-07-14,49,0,24
2024-07-21,48,0,24
2024-07-28,49,0,24
2024-08-04,49,0,30
2024-08-11,51,0,21
2024-08-18,52,0,20
2024-08-25,49,0,21
2024-09-01,51,0,19
2024-09-08,83,0,21
2024-09-15,68,0,21
2024-09-22,65,0,21
2024-09-29,58,0,20
2024-10-06,56,0,21
2024-10-13,54,0,22
2024-10-20,48,0,22
2024-10-27,51,0,22
2024-11-03,52,0,26
2024-11-10,51,0,26
2024-11-17,54,0,24
2024-11-24,59,0,22
2024-12-01,56,0,28
2024-12-08,55,0,25
2024-12-15,55,0,23
2024-12-22,61,0,21
2024-12-29,59,0,22
2025-01-05,52,0,24
2025-01-12,52,0,24
2025-01-19,50,0,27
2025-01-26,49,0,34
2025-02-02,49,0,29
2025-02-09,48,0,27
2025-02-16,54,0,24
2025-02-23,51,0,28
2025-03-02,51,0,30
2025-03-09,47,0,34
2025-03-16,50,0,28
2025-03-23,47,0,24
2025-03-30,49,0,35
2025-04-06,49,0,44
2025-04-13,48,0,25
2025-04-20,47,0,26
2025-04-27,47,0,25
2025-05-04,47,0,23
2025-05-11,47,0,27
2025-05-18,45,0,24
2025-05-25,46,0,22
2025-06-01,49,0,24
2025-06-08,51,0,25
2025-06-15,48,0,22
2025-06-22,50,0,25
2025-06-29,49,0,22
2025-07-06,51,0,25
2025-07-13,50,0,27
2025-07-20,52,0,29
2025-07-27,54,0,32
2025-08-03,56,1,38
2025-08-10,56,1,40
2025-08-17,57,1,36
2025-08-24,58,1,33
2025-08-31,63,1,30
2025-09-07,100,2,34
2025-09-14,88,1,32
2025-09-21,88,2,35
2025-09-28,69,2,34
2025-10-05,66,1,33
2025-10-12,65,1,33
2025-10-19,61,1,33
2025-10-26,55,1,32
2025-11-02,60,1,33
2025-11-09,60,1,32
2025-11-16,61,1,33
2025-11-23,65,1,29
2025-11-30,67,1,32
2025-12-07,68,1,31
2025-12-14,71,1,29
2025-12-21,72,1,23
2025-12-28,78,1,23
2026-01-04,75,1,29
2026-01-11,80,1,30
2026-01-18,74,1,31
2026-01-25,78,1,35
2026-02-01,65,1,37
2026-02-08,74,1,34
2026-02-15,83,1,30
2026-02-22,71,1,33
2026-03-01,59,1,35
2026-03-08,58,1,32
2026-03-15,58,1,33
2026-03-22,57,1,25
2026-03-29,58,1,24
2026-04-05,59,1,16
