month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,69,10,49
2021-04-11,69,10,48
2021-04-18,68,11,53
2021-04-25,68,10,52
2021-05-02,69,10,55
2021-05-09,69,11,53
2021-05-16,66,11,51
2021-05-23,63,11,52
2021-05-30,66,11,60
2021-06-06,65,12,56
2021-06-13,66,11,53
2021-06-20,90,11,55
2021-06-27,61,11,55
2021-07-04,61,11,60
2021-07-11,62,11,59
2021-07-18,63,11,58
2021-07-25,61,11,56
2021-08-01,59,10,58
2021-08-08,60,10,59
2021-08-15,61,10,55
2021-08-22,59,10,53
2021-08-29,58,11,53
2021-09-05,59,11,53
2021-09-12,60,12,52
2021-09-19,54,11,51
2021-09-26,57,12,54
2021-10-03,55,11,60
2021-10-10,55,11,63
2021-10-17,56,12,60
2021-10-24,58,11,55
2021-10-31,61,11,60
2021-11-07,62,12,56
2021-11-14,59,12,60
2021-11-21,65,10,58
2021-11-28,67,13,61
2021-12-05,66,18,63
2021-12-12,68,14,76
2021-12-19,69,11,81
2021-12-26,72,8,66
2022-01-02,72,12,61
2022-01-09,68,14,51
2022-01-16,60,14,47
2022-01-23,62,15,50
2022-01-30,65,16,51
2022-02-06,61,16,51
2022-02-13,64,16,55
2022-02-20,55,15,52
2022-02-27,55,15,57
2022-03-06,54,16,57
2022-03-13,55,16,56
2022-03-20,54,16,54
2022-03-27,54,17,54
2022-04-03,51,18,58
2022-04-10,53,16,64
2022-04-17,53,17,62
2022-04-24,56,18,58
2022-05-01,55,16,57
2022-05-08,52,18,58
2022-05-15,51,17,54
2022-05-22,53,18,53
2022-05-29,54,16,56
2022-06-05,56,17,59
2022-06-12,56,18,60
2022-06-19,62,19,59
2022-06-26,59,18,59
2022-07-03,64,17,62
2022-07-10,100,18,65
2022-07-17,62,18,62
2022-07-24,59,18,64
2022-07-31,57,19,58
2022-08-07,56,17,61
2022-08-14,57,16,58
2022-08-21,56,18,56
2022-08-28,61,16,56
2022-09-04,59,17,56
2022-09-11,59,17,58
2022-09-18,56,18,62
2022-09-25,57,18,61
2022-10-02,55,17,58
2022-10-09,71,17,64
2022-10-16,57,19,57
2022-10-23,57,17,52
2022-10-30,57,17,57
2022-11-06,50,17,57
2022-11-13,60,18,60
2022-11-20,62,16,57
2022-11-27,60,18,56
2022-12-04,58,17,58
2022-12-11,61,17,66
2022-12-18,59,14,74
2022-12-25,64,11,68
2023-01-01,56,14,59
2023-01-08,51,17,57
2023-01-15,53,17,52
2023-01-22,53,17,55
2023-01-29,53,19,52
2023-02-05,51,18,54
2023-02-12,52,19,53
2023-02-19,52,18,54
2023-02-26,49,18,49
2023-03-05,52,17,54
2023-03-12,49,18,51
2023-03-19,54,17,48
2023-03-26,49,18,52
2023-04-02,50,17,59
2023-04-09,50,17,56
2023-04-16,48,18,55
2023-04-23,50,18,52
2023-04-30,50,15,58
2023-05-07,48,17,55
2023-05-14,46,17,56
2023-05-21,48,17,56
2023-05-28,51,17,55
2023-06-04,50,17,60
2023-06-11,52,20,56
2023-06-18,51,18,54
2023-06-25,54,18,57
2023-07-02,58,17,61
2023-07-09,93,20,62
2023-07-16,54,17,67
2023-07-23,51,18,66
2023-07-30,51,18,60
2023-08-06,49,17,58
2023-08-13,52,16,57
2023-08-20,49,18,53
2023-08-27,49,17,55
2023-09-03,52,17,55
2023-09-10,48,18,50
2023-09-17,49,17,51
2023-09-24,49,18,56
2023-10-01,52,17,60
2023-10-08,65,17,61
2023-10-15,51,17,56
2023-10-22,48,18,56
2023-10-29,49,17,56
2023-11-05,49,17,56
2023-11-12,49,16,53
2023-11-19,58,16,59
2023-11-26,64,18,59
2023-12-03,58,17,61
2023-12-10,62,16,64
