month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,0,28,94
2021-04-11,0,28,79
2021-04-18,0,28,79
2021-04-25,0,26,84
2021-05-02,0,28,88
2021-05-09,0,28,81
2021-05-16,0,25,73
2021-05-23,0,25,77
2021-05-30,0,24,92
2021-06-06,0,25,83
2021-06-13,0,25,83
2021-06-20,0,23,81
2021-06-27,0,27,92
2021-07-04,0,25,93
2021-07-11,0,25,88
2021-07-18,0,26,85
2021-07-25,0,24,93
2021-08-01,0,24,96
2021-08-08,0,24,88
2021-08-15,0,23,83
2021-08-22,0,23,81
2021-08-29,0,24,100
2021-09-05,0,23,86
2021-09-12,0,24,81
2021-09-19,0,23,81
2021-09-26,0,24,89
2021-10-03,0,24,91
2021-10-10,0,23,79
2021-10-17,0,22,73
2021-10-24,0,23,82
2021-10-31,0,25,84
2021-11-07,0,23,81
2021-11-14,0,24,76
2021-11-21,0,19,72
2021-11-28,0,23,88
2021-12-05,0,22,84
2021-12-12,0,22,87
2021-12-19,0,17,79
2021-12-26,0,22,85
2022-01-02,0,26,93
2022-01-09,0,26,82
2022-01-16,0,24,68
2022-01-23,0,25,78
2022-01-30,0,29,92
2022-02-06,0,26,82
2022-02-13,0,27,76
2022-02-20,0,24,85
2022-02-27,0,26,95
2022-03-06,0,25,83
2022-03-13,0,26,75
2022-03-20,0,27,73
2022-03-27,0,26,87
2022-04-03,0,27,85
2022-04-10,0,28,71
2022-04-17,0,26,74
2022-04-24,0,25,78
2022-05-01,0,27,82
2022-05-08,0,24,78
2022-05-15,0,23,74
2022-05-22,0,20,76
2022-05-29,0,22,85
2022-06-05,0,24,77
2022-06-12,0,31,79
2022-06-19,0,24,77
2022-06-26,0,23,89
2022-07-03,0,23,85
2022-07-10,0,25,83
2022-07-17,0,23,80
2022-07-24,0,27,85
2022-07-31,0,27,86
2022-08-07,0,23,76
2022-08-14,0,23,71
2022-08-21,0,22,74
2022-08-28,0,23,83
2022-09-04,0,21,79
2022-09-11,0,24,76
2022-09-18,0,25,72
2022-09-25,0,30,82
2022-10-02,0,25,75
2022-10-09,0,23,78
2022-10-16,0,24,77
2022-10-23,0,22,67
2022-10-30,0,25,82
2022-11-06,0,21,74
2022-11-13,0,22,71
2022-11-20,0,15,67
2022-11-27,0,20,81
2022-12-04,0,20,75
2022-12-11,0,20,80
2022-12-18,0,17,74
2022-12-25,0,17,77
2023-01-01,0,23,80
2023-01-08,0,23,73
2023-01-15,0,24,71
2023-01-22,0,25,73
2023-01-29,0,27,83
2023-02-05,0,24,74
2023-02-12,0,24,73
2023-02-19,0,23,71
2023-02-26,0,24,81
2023-03-05,0,25,73
2023-03-12,0,25,71
2023-03-19,0,25,70
2023-03-26,0,24,80
2023-04-02,0,24,79
2023-04-09,0,24,72
2023-04-16,0,24,71
2023-04-23,0,25,73
2023-04-30,0,25,73
2023-05-07,0,24,66
2023-05-14,0,22,68
2023-05-21,0,22,67
2023-05-28,0,22,72
2023-06-04,0,23,71
2023-06-11,0,23,68
2023-06-18,0,24,65
2023-06-25,0,26,78
2023-07-02,0,28,79
2023-07-09,0,26,77
