month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,3,5,34
2021-04-11,3,5,33
2021-04-18,3,5,35
2021-04-25,2,4,33
2021-05-02,2,4,33
2021-05-09,2,4,31
2021-05-16,3,4,34
2021-05-23,3,5,36
2021-05-30,3,5,35
2021-06-06,2,5,38
2021-06-13,3,6,37
2021-06-20,3,6,37
2021-06-27,4,5,36
2021-07-04,3,6,38
2021-07-11,3,6,36
2021-07-18,3,6,40
2021-07-25,3,6,36
2021-08-01,3,6,37
2021-08-08,3,6,37
2021-08-15,3,5,36
2021-08-22,3,5,35
2021-08-29,3,6,36
2021-09-05,3,7,36
2021-09-12,3,6,38
2021-09-19,3,6,37
2021-09-26,3,7,37
2021-10-03,3,7,38
2021-10-10,3,7,38
2021-10-17,3,7,37
2021-10-24,3,7,37
2021-10-31,3,7,36
2021-11-07,3,8,37
2021-11-14,3,9,38
2021-11-21,3,8,34
2021-11-28,3,7,36
2021-12-05,2,10,34
2021-12-12,3,7,36
2021-12-19,3,6,33
2021-12-26,3,7,30
2022-01-02,3,7,35
2022-01-09,3,6,37
2022-01-16,3,6,37
2022-01-23,3,7,38
2022-01-30,3,7,39
2022-02-06,3,8,41
2022-02-13,5,9,43
2022-02-20,11,10,41
2022-02-27,6,10,41
2022-03-06,4,10,39
2022-03-13,4,10,42
2022-03-20,41,10,43
2022-03-27,6,10,42
2022-04-03,5,11,42
2022-04-10,4,10,40
2022-04-17,5,10,40
2022-04-24,4,10,43
2022-05-01,4,11,41
2022-05-08,4,11,41
2022-05-15,7,11,40
2022-05-22,4,11,40
2022-05-29,4,12,40
2022-06-05,4,11,42
2022-06-12,4,12,42
2022-06-19,4,11,43
2022-06-26,5,11,42
2022-07-03,4,11,40
2022-07-10,4,11,42
2022-07-17,5,11,42
2022-07-24,4,11,40
2022-07-31,4,11,41
2022-08-07,5,11,40
2022-08-14,4,10,42
2022-08-21,4,11,41
2022-08-28,4,10,40
2022-09-04,4,10,39
