month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,0,96,12
2021-04-11,0,97,14
2021-04-18,0,100,14
2021-04-25,0,94,13
2021-05-02,0,94,12
2021-05-09,0,97,14
2021-05-16,0,93,13
2021-05-23,0,95,13
2021-05-30,0,98,13
2021-06-06,0,93,13
2021-06-13,0,95,13
2021-06-20,0,92,13
2021-06-27,0,89,12
2021-07-04,0,92,13
2021-07-11,0,87,13
2021-07-18,0,91,13
2021-07-25,0,87,13
2021-08-01,0,80,12
2021-08-08,0,86,13
2021-08-15,0,81,13
2021-08-22,0,87,12
2021-08-29,0,82,13
2021-09-05,0,90,13
2021-09-12,0,80,13
2021-09-19,0,77,13
2021-09-26,0,77,13
2021-10-03,0,76,14
2021-10-10,0,81,13
2021-10-17,0,80,13
2021-10-24,0,79,13
2021-10-31,0,80,13
2021-11-07,0,83,14
2021-11-14,0,85,13
2021-11-21,0,86,13
2021-11-28,0,83,13
2021-12-05,0,84,13
2021-12-12,0,82,13
2021-12-19,0,86,11
2021-12-26,0,82,10
2022-01-02,0,78,12
2022-01-09,0,76,13
2022-01-16,0,71,13
2022-01-23,0,69,13
2022-01-30,0,79,14
2022-02-06,0,73,15
2022-02-13,0,74,16
2022-02-20,0,74,14
2022-02-27,0,79,14
2022-03-06,0,81,14
2022-03-13,0,81,13
2022-03-20,0,83,14
2022-03-27,0,84,13
2022-04-03,0,83,14
2022-04-10,0,90,13
2022-04-17,0,88,14
2022-04-24,0,93,13
2022-05-01,0,93,12
2022-05-08,0,88,13
2022-05-15,0,89,13
2022-05-22,0,92,13
2022-05-29,0,91,12
2022-06-05,0,90,12
2022-06-12,0,86,12
2022-06-19,0,91,13
2022-06-26,0,92,12
2022-07-03,0,88,12
2022-07-10,0,86,11
2022-07-17,0,87,12
2022-07-24,0,79,12
2022-07-31,0,81,13
2022-08-07,0,76,12
2022-08-14,0,82,12
2022-08-21,0,79,12
2022-08-28,0,83,12
2022-09-04,0,79,12
2022-09-11,0,79,13
2022-09-18,0,80,14
2022-09-25,0,79,13
2022-10-02,0,78,12
2022-10-09,0,80,13
2022-10-16,0,78,12
2022-10-23,0,76,12
2022-10-30,0,74,13
2022-11-06,0,82,13
2022-11-13,0,78,13
2022-11-20,0,81,11
2022-11-27,0,73,12
2022-12-04,0,71,11
2022-12-11,0,75,12
2022-12-18,0,91,11
2022-12-25,0,75,10
2023-01-01,0,72,12
2023-01-08,0,67,13
2023-01-15,0,69,13
2023-01-22,0,69,12
2023-01-29,0,70,14
2023-02-05,0,68,14
2023-02-12,0,66,14
2023-02-19,0,75,14
2023-02-26,0,74,13
2023-03-05,0,76,13
2023-03-12,0,74,13
2023-03-19,0,76,12
2023-03-26,0,78,13
2023-04-02,0,83,12
2023-04-09,0,89,12
2023-04-16,0,84,11
2023-04-23,0,82,12
2023-04-30,0,82,12
2023-05-07,0,82,12
2023-05-14,0,83,12
2023-05-21,0,87,13
2023-05-28,0,91,12
2023-06-04,0,83,12
2023-06-11,0,88,12
2023-06-18,0,86,12
2023-06-25,0,87,12
2023-07-02,0,85,11
2023-07-09,0,78,12
2023-07-16,0,77,12
2023-07-23,0,74,13
2023-07-30,0,74,12
2023-08-06,0,75,12
2023-08-13,0,79,11
2023-08-20,0,76,12
2023-08-27,0,70,13
2023-09-03,0,74,12
2023-09-10,0,67,12
2023-09-17,0,69,12
2023-09-24,0,72,14
2023-10-01,0,69,12
2023-10-08,0,69,12
2023-10-15,0,70,12
2023-10-22,0,67,12
2023-10-29,0,71,12
2023-11-05,0,75,12
2023-11-12,0,70,12
2023-11-19,0,83,12
2023-11-26,0,72,13
2023-12-03,0,70,13
2023-12-10,0,73,13
2023-12-17,0,77,11
2023-12-24,0,74,10
2023-12-31,0,68,10
2024-01-07,0,67,12
2024-01-14,0,72,12
2024-01-21,0,61,12
2024-01-28,0,64,14
2024-02-04,0,68,13
2024-02-11,0,66,13
2024-02-18,0,70,14
2024-02-25,0,72,13
2024-03-03,0,72,15
2024-03-10,0,74,14
2024-03-17,0,75,13
2024-03-24,0,82,13
2024-03-31,0,80,12
2024-04-07,0,78,12
2024-04-14,0,78,13
2024-04-21,0,82,13
2024-04-28,0,83,13
2024-05-05,0,80,13
2024-05-12,0,78,13
2024-05-19,0,85,12
2024-05-26,0,89,12
2024-06-02,0,81,12
2024-06-09,0,86,12
2024-06-16,0,84,13
2024-06-23,0,83,12
2024-06-30,0,86,11
2024-07-07,0,79,12
2024-07-14,0,78,13
2024-07-21,0,76,12
2024-07-28,0,73,12
2024-08-04,0,74,12
2024-08-11,0,78,13
2024-08-18,0,77,13
2024-08-25,0,74,13
2024-09-01,0,73,13
2024-09-08,0,70,13
2024-09-15,0,73,13
2024-09-22,0,74,13
2024-09-29,0,72,13
2024-10-06,0,73,13
2024-10-13,0,72,14
2024-10-20,0,72,13
2024-10-27,0,72,12
2024-11-03,0,72,12
2024-11-10,0,71,13
2024-11-17,0,72,13
2024-11-24,0,78,12
2024-12-01,0,74,13
2024-12-08,0,72,13
2024-12-15,0,70,19
2024-12-22,0,79,26
2024-12-29,0,72,12
2025-01-05,0,68,13
2025-01-12,0,64,14
2025-01-19,0,62,14
2025-01-26,0,60,13
2025-02-02,0,65,15
2025-02-09,0,62,15
2025-02-16,0,68,14
2025-02-23,0,67,14
2025-03-02,0,71,14
2025-03-09,0,76,14
2025-03-16,0,79,14
2025-03-23,0,77,14
2025-03-30,0,80,14
2025-04-06,0,76,13
2025-04-13,0,83,12
2025-04-20,0,86,14
2025-04-27,0,85,14
2025-05-04,0,81,14
2025-05-11,0,83,14
2025-05-18,0,84,14
2025-05-25,0,87,13
2025-06-01,0,87,14
2025-06-08,0,85,14
2025-06-15,0,84,15
2025-06-22,0,86,16
2025-06-29,0,82,14
2025-07-06,0,82,16
2025-07-13,0,82,18
2025-07-20,0,82,21
2025-07-27,0,82,17
2025-08-03,0,85,18
2025-08-10,0,83,21
2025-08-17,0,89,20
2025-08-24,0,87,19
2025-08-31,0,82,19
2025-09-07,0,76,19
2025-09-14,0,74,19
2025-09-21,0,80,20
2025-09-28,0,80,18
2025-10-05,0,77,17
2025-10-12,0,81,19
2025-10-19,0,78,18
2025-10-26,0,80,18
2025-11-02,0,82,18
2025-11-09,0,82,18
2025-11-16,0,80,19
2025-11-23,0,88,21
2025-11-30,0,88,22
2025-12-07,0,86,19
2025-12-14,0,86,20
2025-12-21,0,84,14
2025-12-28,0,80,13
2026-01-04,0,73,17
2026-01-11,0,71,18
2026-01-18,0,87,20
2026-01-25,0,83,21
2026-02-01,0,74,27
2026-02-08,0,83,31
2026-02-15,0,83,31
2026-02-22,0,85,32
2026-03-01,0,79,24
2026-03-08,0,82,25
2026-03-15,0,85,22
2026-03-22,0,84,18
2026-03-29,0,91,19
