month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,0,1,34
2021-04-11,0,1,32
2021-04-18,0,1,32
2021-04-25,0,1,32
2021-05-02,0,1,31
2021-05-09,0,2,38
2021-05-16,0,1,31
2021-05-23,0,1,31
2021-05-30,0,1,32
2021-06-06,0,1,31
2021-06-13,0,1,31
2021-06-20,0,1,33
2021-06-27,0,1,32
2021-07-04,0,1,33
2021-07-11,0,1,33
2021-07-18,0,1,34
2021-07-25,0,1,33
2021-08-01,0,1,32
2021-08-08,0,1,32
2021-08-15,0,1,33
2021-08-22,0,1,32
2021-08-29,0,1,33
2021-09-05,0,1,31
2021-09-12,0,1,32
2021-09-19,0,1,36
2021-09-26,0,2,49
2021-10-03,0,2,35
2021-10-10,0,2,34
2021-10-17,0,2,34
2021-10-24,0,2,32
2021-10-31,0,2,35
2021-11-07,0,2,33
2021-11-14,0,2,32
2021-11-21,0,2,32
2021-11-28,0,2,33
2021-12-05,0,2,33
2021-12-12,0,1,31
2021-12-19,0,1,29
2021-12-26,0,1,30
2022-01-02,0,1,32
2022-01-09,0,1,31
2022-01-16,0,2,29
2022-01-23,0,2,34
2022-01-30,0,2,35
2022-02-06,0,2,35
2022-02-13,0,2,36
2022-02-20,0,5,37
2022-02-27,0,6,41
2022-03-06,0,11,55
2022-03-13,0,6,46
2022-03-20,0,4,43
2022-03-27,0,4,42
2022-04-03,0,3,45
2022-04-10,0,2,40
2022-04-17,0,2,38
2022-04-24,0,2,44
2022-05-01,0,2,42
2022-05-08,0,3,40
2022-05-15,0,3,40
2022-05-22,0,2,39
2022-05-29,0,3,39
2022-06-05,0,3,42
2022-06-12,0,3,45
2022-06-19,0,3,44
2022-06-26,0,2,43
2022-07-03,0,4,45
2022-07-10,0,3,42
2022-07-17,0,3,58
2022-07-24,0,2,51
2022-07-31,0,3,59
2022-08-07,0,3,51
2022-08-14,0,3,40
2022-08-21,0,3,39
2022-08-28,0,3,38
2022-09-04,0,3,37
2022-09-11,0,2,37
2022-09-18,0,3,39
2022-09-25,0,3,40
2022-10-02,0,3,37
2022-10-09,0,3,36
2022-10-16,0,3,36
2022-10-23,0,2,38
2022-10-30,0,2,40
2022-11-06,0,2,35
2022-11-13,0,2,35
2022-11-20,0,2,31
2022-11-27,0,2,33
2022-12-04,0,3,32
2022-12-11,0,3,33
2022-12-18,0,2,33
2022-12-25,0,2,32
2023-01-01,0,2,32
2023-01-08,0,2,34
2023-01-15,0,2,33
2023-01-22,0,2,33
2023-01-29,0,2,35
2023-02-05,0,2,34
2023-02-12,0,2,33
2023-02-19,0,2,33
2023-02-26,0,2,35
2023-03-05,0,2,34
2023-03-12,0,2,31
2023-03-19,0,2,36
2023-03-26,0,2,35
