month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,28,12,15
2021-04-11,26,14,15
2021-04-18,29,15,18
2021-04-25,25,11,15
2021-05-02,25,13,16
2021-05-09,33,16,16
2021-05-16,29,13,15
2021-05-23,27,12,14
2021-05-30,22,13,14
2021-06-06,24,12,13
2021-06-13,25,13,13
2021-06-20,28,11,13
2021-06-27,23,11,12
2021-07-04,23,11,12
2021-07-11,26,11,11
2021-07-18,37,15,11
2021-07-25,28,11,11
2021-08-01,25,10,11
2021-08-08,25,10,12
2021-08-15,28,12,11
2021-08-22,26,10,11
2021-08-29,22,11,11
2021-09-05,20,10,12
2021-09-12,24,10,12
2021-09-19,33,15,12
2021-09-26,30,12,12
2021-10-03,29,13,13
2021-10-10,25,12,13
2021-10-17,25,12,13
2021-10-24,23,11,13
2021-10-31,23,12,13
2021-11-07,23,13,14
2021-11-14,22,11,14
2021-11-21,22,14,15
2021-11-28,35,15,15
2021-12-05,30,12,14
2021-12-12,30,12,15
2021-12-19,31,15,15
2021-12-26,29,15,12
2022-01-02,24,13,14
2022-01-09,23,12,13
2022-01-16,25,16,12
2022-01-23,38,20,14
2022-01-30,31,14,13
2022-02-06,28,13,13
2022-02-13,34,15,14
2022-02-20,41,27,14
2022-02-27,37,20,15
2022-03-06,37,17,15
2022-03-13,34,15,14
2022-03-20,28,13,13
2022-03-27,26,12,13
2022-04-03,24,12,12
2022-04-10,22,14,11
2022-04-17,26,13,12
2022-04-24,32,16,12
2022-05-01,38,17,12
2022-05-08,43,21,15
2022-05-15,43,17,12
2022-05-22,39,13,12
2022-05-29,31,11,11
2022-06-05,36,12,12
2022-06-12,53,21,13
2022-06-19,39,15,12
2022-06-26,39,12,11
2022-07-03,32,10,11
2022-07-10,38,11,12
2022-07-17,37,11,12
2022-07-24,37,11,11
2022-07-31,36,11,11
2022-08-07,33,12,12
2022-08-14,35,11,12
2022-08-21,37,11,11
2022-08-28,38,12,11
2022-09-04,30,10,12
2022-09-11,42,14,14
2022-09-18,45,14,12
2022-09-25,47,14,12
2022-10-02,46,14,12
2022-10-09,49,13,11
2022-10-16,44,12,11
2022-10-23,38,12,11
2022-10-30,41,12,12
2022-11-06,41,14,12
2022-11-13,39,11,13
2022-11-20,28,10,10
2022-11-27,33,10,11
2022-12-04,32,10,11
2022-12-11,37,10,11
2022-12-18,36,11,11
2022-12-25,31,12,10
2023-01-01,29,12,12
2023-01-08,35,10,12
2023-01-15,29,12,11
2023-01-22,31,11,11
2023-01-29,31,12,12
2023-02-05,29,11,11
2023-02-12,28,10,11
2023-02-19,29,11,11
2023-02-26,29,9,11
2023-03-05,30,12,11
2023-03-12,39,14,12
2023-03-19,38,12,12
2023-03-26,30,10,11
2023-04-02,28,13,11
2023-04-09,29,10,10
2023-04-16,29,8,10
2023-04-23,27,9,10
2023-04-30,30,11,10
2023-05-07,28,9,10
2023-05-14,25,9,10
2023-05-21,27,9,10
2023-05-28,25,9,11
2023-06-04,27,9,10
2023-06-11,28,10,10
2023-06-18,25,11,10
2023-06-25,24,10,9
2023-07-02,23,10,10
2023-07-09,27,9,11
2023-07-16,27,10,11
2023-07-23,28,9,11
2023-07-30,27,10,11
2023-08-06,26,10,11
2023-08-13,26,11,10
2023-08-20,26,10,10
2023-08-27,25,10,11
2023-09-03,20,10,10
2023-09-10,22,10,10
2023-09-17,23,11,10
2023-09-24,25,11,10
2023-10-01,29,11,10
2023-10-08,28,11,10
2023-10-15,28,9,10
2023-10-22,28,11,10
2023-10-29,28,10,10
2023-11-05,26,10,10
2023-11-12,27,11,11
2023-11-19,22,10,9
2023-11-26,25,10,10
2023-12-03,26,11,10
2023-12-10,28,11,10
2023-12-17,29,12,10
2023-12-24,21,11,8
2023-12-31,23,11,9
2024-01-07,25,11,10
2024-01-14,23,12,9
2024-01-21,23,12,10
2024-01-28,19,12,10
2024-02-04,18,11,10
2024-02-11,20,12,10
2024-02-18,17,12,9
2024-02-25,17,11,10
2024-03-03,18,12,11
2024-03-10,17,11,10
2024-03-17,18,10,10
2024-03-24,16,12,9
2024-03-31,17,11,9
2024-04-07,18,12,9
2024-04-14,20,12,10
2024-04-21,18,10,9
2024-04-28,18,11,9
2024-05-05,17,9,9
2024-05-12,18,11,9
2024-05-19,16,11,9
2024-05-26,15,10,8
2024-06-02,16,14,9
2024-06-09,18,10,9
2024-06-16,14,12,8
2024-06-23,15,9,8
2024-06-30,12,9,8
2024-07-07,15,10,8
2024-07-14,18,12,8
2024-07-21,18,12,8
2024-07-28,20,13,9
2024-08-04,38,38,9
2024-08-11,22,13,8
2024-08-18,20,11,8
2024-08-25,19,11,8
2024-09-01,19,12,8
2024-09-08,21,11,8
2024-09-15,23,12,9
2024-09-22,19,10,9
2024-09-29,20,12,9
2024-10-06,19,11,8
2024-10-13,17,11,8
2024-10-20,19,11,8
2024-10-27,16,13,8
2024-11-03,26,20,9
2024-11-10,18,16,9
2024-11-17,17,12,9
2024-11-24,14,13,8
2024-12-01,15,12,9
2024-12-08,14,11,9
2024-12-15,20,15,9
2024-12-22,14,14,7
2024-12-29,16,14,8
2025-01-05,17,15,9
2025-01-12,19,13,9
2025-01-19,18,14,9
2025-01-26,20,19,9
2025-02-02,22,18,10
2025-02-09,18,13,9
2025-02-16,17,15,9
2025-02-23,20,17,9
2025-03-02,36,29,9
2025-03-09,45,31,9
2025-03-16,29,15,9
2025-03-23,25,15,9
2025-03-30,55,46,10
2025-04-06,100,71,11
2025-04-13,43,23,8
2025-04-20,45,21,8
2025-04-27,34,16,8
2025-05-04,29,15,8
2025-05-11,30,16,9
2025-05-18,27,14,8
2025-05-25,22,12,8
2025-06-01,24,12,8
2025-06-08,22,14,8
2025-06-15,22,15,9
2025-06-22,25,15,9
2025-06-29,20,13,8
2025-07-06,23,14,8
2025-07-13,20,13,9
2025-07-20,20,16,9
2025-07-27,22,22,10
2025-08-03,22,30,11
2025-08-10,21,32,12
