month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,2,1,44
2021-04-11,2,1,42
2021-04-18,1,1,46
2021-04-25,2,1,43
2021-05-02,2,1,44
2021-05-09,2,1,46
2021-05-16,2,1,43
2021-05-23,3,1,40
2021-05-30,2,1,43
2021-06-06,4,1,41
2021-06-13,3,2,42
2021-06-20,3,1,40
2021-06-27,4,1,40
2021-07-04,4,2,39
2021-07-11,3,2,40
2021-07-18,3,1,41
2021-07-25,3,1,39
2021-08-01,2,1,38
2021-08-08,7,1,41
2021-08-15,3,1,41
2021-08-22,3,1,41
2021-08-29,4,1,41
2021-09-05,3,1,42
2021-09-12,3,1,48
2021-09-19,2,1,53
2021-09-26,2,1,48
2021-10-03,2,1,49
2021-10-10,2,1,48
2021-10-17,2,1,46
2021-10-24,6,1,51
2021-10-31,2,1,47
2021-11-07,2,1,47
2021-11-14,2,1,47
2021-11-21,2,1,42
2021-11-28,2,1,45
2021-12-05,4,1,46
2021-12-12,5,1,46
2021-12-19,2,1,35
2021-12-26,2,1,33
2022-01-02,5,1,48
2022-01-09,2,1,48
2022-01-16,3,1,48
2022-01-23,2,1,51
2022-01-30,5,1,53
2022-02-06,2,1,53
2022-02-13,3,1,58
2022-02-20,2,1,54
2022-02-27,2,1,60
2022-03-06,2,1,61
2022-03-13,2,1,53
2022-03-20,2,1,57
2022-03-27,2,1,61
2022-04-03,2,1,59
2022-04-10,2,1,51
2022-04-17,2,1,53
2022-04-24,2,1,55
2022-05-01,2,1,54
2022-05-08,2,2,51
2022-05-15,4,1,51
2022-05-22,5,1,51
2022-05-29,3,1,47
2022-06-05,2,2,46
2022-06-12,7,2,51
2022-06-19,3,2,46
2022-06-26,2,1,46
2022-07-03,3,2,45
2022-07-10,3,2,44
2022-07-17,3,2,44
2022-07-24,3,2,45
2022-07-31,3,2,45
2022-08-07,3,2,45
2022-08-14,2,2,45
2022-08-21,2,2,52
2022-08-28,4,2,52
2022-09-04,4,2,53
2022-09-11,2,2,51
2022-09-18,4,2,54
2022-09-25,9,2,59
2022-10-02,3,1,55
2022-10-09,2,2,54
2022-10-16,2,1,54
2022-10-23,2,1,50
2022-10-30,3,1,55
2022-11-06,3,1,53
2022-11-13,2,1,56
2022-11-20,2,1,45
2022-11-27,3,1,51
2022-12-04,3,1,53
2022-12-11,3,1,54
2022-12-18,11,1,46
2022-12-25,4,1,39
2023-01-01,3,1,48
2023-01-08,3,1,54
2023-01-15,2,1,53
2023-01-22,3,1,53
2023-01-29,4,1,56
2023-02-05,2,1,53
2023-02-12,3,1,53
2023-02-19,5,1,56
2023-02-26,5,1,59
2023-03-05,2,1,55
2023-03-12,3,1,49
2023-03-19,3,1,52
2023-03-26,3,1,52
2023-04-02,5,1,46
2023-04-09,2,1,48
2023-04-16,2,1,50
