month,kw_1_news,kw_2_news,kw_3_news
2021-04-04,6,0,20
2021-04-11,5,0,19
2021-04-18,5,0,19
2021-04-25,5,0,19
2021-05-02,5,0,17
2021-05-09,5,0,17
2021-05-16,5,0,20
2021-05-23,6,0,19
2021-05-30,5,0,19
2021-06-06,5,0,20
2021-06-13,6,0,20
2021-06-20,6,0,20
2021-06-27,5,0,20
2021-07-04,6,0,17
2021-07-11,5,0,20
2021-07-18,6,0,17
2021-07-25,5,0,18
2021-08-01,6,0,18
2021-08-08,5,0,17
2021-08-15,5,0,19
2021-08-22,5,0,19
2021-08-29,5,0,17
2021-09-05,4,0,19
2021-09-12,3,0,38
2021-09-19,5,0,30
2021-09-26,5,0,22
2021-10-03,6,0,21
2021-10-10,6,0,19
2021-10-17,5,0,17
2021-10-24,5,0,21
2021-10-31,5,0,20
2021-11-07,5,0,19
2021-11-14,4,0,20
2021-11-21,4,0,19
2021-11-28,4,0,19
2021-12-05,4,0,19
2021-12-12,4,0,21
2021-12-19,4,0,18
2021-12-26,3,0,15
2022-01-02,4,0,16
2022-01-09,5,0,19
2022-01-16,6,0,20
2022-01-23,5,0,19
2022-01-30,4,0,19
2022-02-06,6,0,21
2022-02-13,6,0,20
2022-02-20,5,0,18
2022-02-27,6,0,18
2022-03-06,6,0,19
2022-03-13,6,0,20
2022-03-20,7,0,21
2022-03-27,7,0,21
2022-04-03,8,0,19
2022-04-10,9,0,19
2022-04-17,6,0,21
2022-04-24,6,0,19
2022-05-01,8,0,20
2022-05-08,8,0,19
2022-05-15,8,0,19
2022-05-22,8,0,17
2022-05-29,8,0,17
2022-06-05,9,0,18
2022-06-12,11,0,19
2022-06-19,8,0,23
2022-06-26,7,0,21
2022-07-03,8,0,22
2022-07-10,8,0,23
2022-07-17,9,0,24
2022-07-24,8,0,22
2022-07-31,7,0,20
2022-08-07,5,0,18
2022-08-14,5,0,18
2022-08-21,6,0,17
2022-08-28,7,0,18
2022-09-04,5,0,17
2022-09-11,8,0,20
2022-09-18,7,0,19
2022-09-25,8,0,18
2022-10-02,8,0,18
2022-10-09,6,0,19
2022-10-16,6,0,19
2022-10-23,7,0,18
2022-10-30,5,0,17
2022-11-06,5,0,18
2022-11-13,6,0,19
2022-11-20,4,0,18
2022-11-27,5,0,19
2022-12-04,6,0,17
2022-12-11,6,0,18
2022-12-18,4,0,15
2022-12-25,6,0,15
2023-01-01,6,0,17
2023-01-08,5,0,18
2023-01-15,6,0,21
2023-01-22,5,0,17
2023-01-29,6,0,21
2023-02-05,4,0,19
2023-02-12,4,0,19
2023-02-19,5,0,19
2023-02-26,6,0,20
2023-03-05,5,0,23
2023-03-12,5,0,18
2023-03-19,5,0,20
2023-03-26,5,0,22
2023-04-02,5,0,20
2023-04-09,5,0,18
2023-04-16,5,0,18
2023-04-23,5,0,18
2023-04-30,6,0,19
2023-05-07,4,0,20
2023-05-14,5,0,21
2023-05-21,6,0,21
2023-05-28,5,0,20
2023-06-04,6,0,21
2023-06-11,4,0,19
2023-06-18,5,0,19
2023-06-25,5,0,20
2023-07-02,5,0,20
2023-07-09,4,0,21
2023-07-16,5,0,24
2023-07-23,4,0,20
2023-07-30,4,0,18
2023-08-06,6,0,20
2023-08-13,5,0,19
2023-08-20,6,0,21
2023-08-27,5,0,18
2023-09-03,5,0,17
2023-09-10,4,0,21
2023-09-17,5,0,20
2023-09-24,5,0,19
2023-10-01,4,0,18
2023-10-08,3,0,19
2023-10-15,4,0,19
2023-10-22,4,0,20
2023-10-29,5,0,20
2023-11-05,3,0,21
2023-11-12,3,0,20
2023-11-19,4,0,18
2023-11-26,5,0,19
2023-12-03,3,0,18
2023-12-10,3,0,17
2023-12-17,4,0,18
2023-12-24,4,0,13
2023-12-31,4,0,17
2024-01-07,3,0,18
2024-01-14,4,0,19
2024-01-21,3,0,19
2024-01-28,3,0,21
2024-02-04,3,0,22
2024-02-11,4,0,21
2024-02-18,4,0,22
2024-02-25,5,0,19
2024-03-03,5,0,20
2024-03-10,4,0,25
2024-03-17,4,0,23
2024-03-24,4,0,19
2024-03-31,4,0,22
2024-04-07,4,0,20
2024-04-14,4,0,22
2024-04-21,4,0,22
2024-04-28,4,0,24
2024-05-05,4,0,21
2024-05-12,3,0,21
2024-05-19,3,0,21
2024-05-26,3,0,18
2024-06-02,4,0,19
2024-06-09,3,0,20
2024-06-16,3,0,22
2024-06-23,2,0,22
2024-06-30,3,0,17
2024-07-07,4,0,21
2024-07-14,4,0,20
2024-07-21,3,0,21
2024-07-28,3,0,19
2024-08-04,4,0,17
2024-08-11,3,0,21
2024-08-18,4,0,24
2024-08-25,3,0,22
2024-09-01,4,0,21
2024-09-08,2,0,23
2024-09-15,3,0,25
2024-09-22,2,0,20
2024-09-29,2,0,20
2024-10-06,3,0,18
2024-10-13,4,0,22
2024-10-20,3,0,21
2024-10-27,4,0,18
2024-11-03,2,0,17
2024-11-10,3,0,21
2024-11-17,3,0,20
2024-11-24,2,0,18
2024-12-01,3,0,18
2024-12-08,3,0,20
2024-12-15,3,0,21
2024-12-22,3,0,17
2024-12-29,3,0,18
2025-01-05,3,0,17
2025-01-12,3,0,18
2025-01-19,4,0,20
2025-01-26,2,0,20
2025-02-02,4,0,19
2025-02-09,4,0,18
2025-02-16,4,0,18
2025-02-23,4,0,21
2025-03-02,4,0,22
2025-03-09,3,0,21
2025-03-16,3,0,18
2025-03-23,3,0,24
2025-03-30,4,0,21
2025-04-06,5,0,21
2025-04-13,4,0,21
2025-04-20,5,0,19
2025-04-27,3,0,20
2025-05-04,2,0,18
2025-05-11,3,0,19
2025-05-18,3,0,24
2025-05-25,4,0,21
2025-06-01,4,0,20
2025-06-08,3,0,19
2025-06-15,2,0,20
2025-06-22,3,0,18
2025-06-29,3,0,18
2025-07-06,4,0,23
2025-07-13,5,0,19
2025-07-20,3,0,23
2025-07-27,4,0,20
2025-08-03,7,0,26
2025-08-10,6,0,22
2025-08-17,3,0,24
2025-08-24,3,0,19
2025-08-31,3,0,20
2025-09-07,2,0,21
2025-09-14,3,0,18
2025-09-21,3,0,21
2025-09-28,2,0,22
2025-10-05,3,0,21
2025-10-12,2,0,20
2025-10-19,2,0,26
2025-10-26,4,0,21
2025-11-02,4,0,22
2025-11-09,2,0,24
2025-11-16,3,0,20
2025-11-23,4,0,20
2025-11-30,3,0,17
2025-12-07,3,0,21
2025-12-14,4,0,18
2025-12-21,2,0,18
2025-12-28,2,0,17
2026-01-04,2,0,18
2026-01-11,2,0,20
2026-01-18,2,0,16
2026-01-25,17,0,39
2026-02-01,33,2,75
2026-02-08,31,2,81
2026-02-15,36,2,74
2026-02-22,57,6,100
2026-03-01,35,2,68
2026-03-08,24,2,51
2026-03-15,13,1,32
2026-03-22,11,1,38
2026-03-29,10,1,35
2026-04-05,11,1,33
