month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,5,12,61
2021-04-11,5,12,61
2021-04-18,5,12,61
2021-04-25,5,12,62
2021-05-02,5,13,62
2021-05-09,5,13,65
2021-05-16,5,15,64
2021-05-23,5,13,63
2021-05-30,6,13,71
2021-06-06,5,12,64
2021-06-13,12,12,66
2021-06-20,6,12,69
2021-06-27,5,11,67
2021-07-04,5,12,65
2021-07-11,5,13,64
2021-07-18,5,13,69
2021-07-25,5,14,64
2021-08-01,4,12,61
2021-08-08,5,12,63
2021-08-15,5,12,62
2021-08-22,5,12,64
2021-08-29,5,11,58
2021-09-05,5,13,61
2021-09-12,5,11,59
2021-09-19,5,11,58
2021-09-26,4,11,58
2021-10-03,5,11,61
2021-10-10,5,11,59
2021-10-17,4,12,60
2021-10-24,4,12,62
2021-10-31,5,13,71
2021-11-07,5,15,62
2021-11-14,4,14,65
2021-11-21,5,14,63
2021-11-28,6,13,58
2021-12-05,6,12,61
2021-12-12,7,13,63
2021-12-19,5,14,69
2021-12-26,5,14,77
2022-01-02,5,12,57
2022-01-09,6,17,60
2022-01-16,5,14,54
2022-01-23,6,14,54
2022-01-30,6,13,59
2022-02-06,6,13,62
2022-02-13,7,15,61
2022-02-20,7,14,59
2022-02-27,8,14,61
2022-03-06,8,14,61
2022-03-13,7,15,67
2022-03-20,7,14,63
2022-03-27,7,15,63
2022-04-03,7,16,62
2022-04-10,7,16,62
2022-04-17,8,17,66
2022-04-24,9,17,65
2022-05-01,9,17,70
2022-05-08,9,17,65
2022-05-15,9,16,63
2022-05-22,9,16,66
2022-05-29,10,15,63
2022-06-05,9,15,63
2022-06-12,9,15,65
2022-06-19,8,15,67
2022-06-26,8,14,67
2022-07-03,8,14,67
2022-07-10,8,16,65
2022-07-17,7,15,70
2022-07-24,7,15,66
2022-07-31,7,15,67
2022-08-07,7,15,67
2022-08-14,7,15,66
2022-08-21,8,14,63
2022-08-28,8,14,65
2022-09-04,7,14,62
2022-09-11,8,14,65
2022-09-18,8,14,62
2022-09-25,8,14,60
2022-10-02,8,13,59
2022-10-09,8,14,61
2022-10-16,7,15,63
2022-10-23,8,15,63
2022-10-30,7,15,69
2022-11-06,7,15,63
2022-11-13,6,16,67
2022-11-20,6,16,58
2022-11-27,6,16,58
2022-12-04,7,16,59
2022-12-11,6,16,64
2022-12-18,6,16,66
2022-12-25,5,16,80
2023-01-01,5,15,64
2023-01-08,5,15,62
2023-01-15,5,14,61
2023-01-22,5,15,64
2023-01-29,5,14,60
2023-02-05,5,14,62
2023-02-12,6,15,62
2023-02-19,6,15,64
2023-02-26,6,15,60
2023-03-05,6,15,65
2023-03-12,6,21,63
2023-03-19,5,16,63
2023-03-26,6,15,61
2023-04-02,5,15,59
2023-04-09,6,16,63
2023-04-16,6,16,63
2023-04-23,6,17,63
2023-04-30,5,15,66
2023-05-07,6,15,64
2023-05-14,6,16,64
2023-05-21,6,16,65
2023-05-28,7,16,66
2023-06-04,6,16,67
2023-06-11,6,16,66
2023-06-18,6,16,67
2023-06-25,6,16,69
2023-07-02,6,15,67
2023-07-09,5,15,68
2023-07-16,5,15,63
2023-07-23,5,15,64
2023-07-30,5,15,66
2023-08-06,5,14,64
2023-08-13,5,15,66
2023-08-20,5,16,66
2023-08-27,6,17,65
2023-09-03,6,15,66
2023-09-10,5,14,61
2023-09-17,6,15,61
2023-09-24,5,15,63
2023-10-01,5,15,60
2023-10-08,6,15,61
2023-10-15,6,16,60
2023-10-22,6,16,64
2023-10-29,6,15,65
2023-11-05,8,16,64
2023-11-12,8,16,62
2023-11-19,7,16,63
2023-11-26,7,15,61
2023-12-03,8,16,65
2023-12-10,7,16,66
2023-12-17,7,16,71
2023-12-24,6,17,73
2023-12-31,5,16,72
2024-01-07,5,15,61
2024-01-14,6,14,58
2024-01-21,6,14,61
2024-01-28,6,15,61
2024-02-04,6,16,64
2024-02-11,6,16,63
2024-02-18,6,16,66
2024-02-25,6,16,60
2024-03-03,7,16,64
2024-03-10,7,15,68
2024-03-17,6,16,63
2024-03-24,6,17,67
2024-03-31,6,16,64
2024-04-07,6,16,65
2024-04-14,7,16,65
2024-04-21,6,17,67
2024-04-28,6,18,68
2024-05-05,6,16,69
2024-05-12,6,17,66
2024-05-19,7,17,68
2024-05-26,8,18,69
2024-06-02,6,17,73
2024-06-09,7,17,72
