month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,0,20,33
2021-04-11,1,20,35
2021-04-18,1,22,38
2021-04-25,1,21,37
2021-05-02,1,22,35
2021-05-09,1,21,35
2021-05-16,1,22,34
2021-05-23,0,20,32
2021-05-30,0,20,31
2021-06-06,0,20,31
2021-06-13,1,20,32
2021-06-20,0,19,32
2021-06-27,0,20,30
2021-07-04,0,19,29
2021-07-11,1,20,27
2021-07-18,0,18,28
2021-07-25,0,19,29
2021-08-01,0,19,28
2021-08-08,1,21,27
2021-08-15,0,22,28
2021-08-22,0,22,30
2021-08-29,0,23,30
2021-09-05,0,24,29
2021-09-12,0,25,38
2021-09-19,0,25,40
2021-09-26,1,25,39
2021-10-03,0,26,38
2021-10-10,0,24,41
2021-10-17,1,26,38
2021-10-24,1,24,40
2021-10-31,0,23,38
2021-11-07,1,25,39
2021-11-14,1,24,39
2021-11-21,0,20,33
2021-11-28,1,24,34
2021-12-05,0,23,35
2021-12-12,0,21,33
2021-12-19,0,16,24
2021-12-26,0,15,23
2022-01-02,0,22,37
2022-01-09,1,24,39
2022-01-16,0,24,37
2022-01-23,1,28,42
2022-01-30,1,25,40
2022-02-06,1,27,43
2022-02-13,1,31,51
2022-02-20,1,30,49
2022-02-27,1,31,48
2022-03-06,1,30,48
2022-03-13,1,30,47
2022-03-20,1,29,49
2022-03-27,1,31,50
2022-04-03,1,31,48
2022-04-10,1,26,39
2022-04-17,1,29,47
2022-04-24,1,29,46
2022-05-01,1,26,38
2022-05-08,1,29,40
2022-05-15,1,26,39
2022-05-22,1,24,40
2022-05-29,1,23,36
2022-06-05,1,24,36
2022-06-12,1,23,36
2022-06-19,1,22,33
2022-06-26,1,22,32
2022-07-03,1,22,32
2022-07-10,1,22,30
2022-07-17,1,21,31
2022-07-24,1,21,31
2022-07-31,1,21,30
2022-08-07,1,21,29
2022-08-14,1,22,30
2022-08-21,1,27,37
2022-08-28,1,27,37
2022-09-04,1,27,39
2022-09-11,1,31,42
2022-09-18,1,30,43
2022-09-25,1,27,40
2022-10-02,1,28,41
2022-10-09,1,29,43
2022-10-16,1,29,40
2022-10-23,1,28,39
2022-10-30,1,30,39
2022-11-06,1,30,40
2022-11-13,1,30,43
2022-11-20,1,24,36
2022-11-27,1,28,39
2022-12-04,1,30,47
2022-12-11,1,29,43
2022-12-18,0,24,41
2022-12-25,0,22,37
2023-01-01,0,26,40
2023-01-08,1,29,43
2023-01-15,1,29,42
2023-01-22,1,31,41
2023-01-29,1,30,43
2023-02-05,1,32,42
2023-02-12,1,31,40
2023-02-19,1,31,42
2023-02-26,1,34,41
2023-03-05,1,30,41
2023-03-12,1,28,37
2023-03-19,1,29,42
2023-03-26,1,28,36
2023-04-02,1,25,36
2023-04-09,1,27,36
2023-04-16,1,26,38
2023-04-23,1,28,37
2023-04-30,1,27,37
2023-05-07,1,26,38
2023-05-14,1,25,39
2023-05-21,1,24,35
2023-05-28,1,24,34
2023-06-04,1,25,34
2023-06-11,1,24,33
2023-06-18,1,22,32
2023-06-25,1,22,31
2023-07-02,0,21,29
2023-07-09,1,23,31
2023-07-16,1,24,30
2023-07-23,1,25,31
2023-07-30,1,24,32
2023-08-06,0,23,30
2023-08-13,1,21,29
2023-08-20,0,25,31
2023-08-27,1,26,36
2023-09-03,1,28,41
2023-09-10,0,30,39
2023-09-17,1,30,38
2023-09-24,1,31,40
2023-10-01,1,29,38
2023-10-08,1,30,40
2023-10-15,1,30,40
2023-10-22,1,28,36
2023-10-29,1,30,37
2023-11-05,1,27,40
2023-11-12,1,28,38
2023-11-19,1,27,33
2023-11-26,1,29,36
2023-12-03,1,31,38
2023-12-10,1,29,35
2023-12-17,0,25,28
2023-12-24,0,22,23
2023-12-31,0,23,29
2024-01-07,1,28,35
2024-01-14,1,28,35
2024-01-21,1,31,38
2024-01-28,1,35,40
2024-02-04,1,36,41
2024-02-11,1,32,41
2024-02-18,1,33,41
2024-02-25,1,35,43
2024-03-03,1,32,41
2024-03-10,1,29,39
2024-03-17,1,29,41
2024-03-24,1,28,38
2024-03-31,1,27,38
2024-04-07,1,27,38
2024-04-14,1,27,40
2024-04-21,1,29,43
2024-04-28,1,28,39
2024-05-05,1,26,40
2024-05-12,1,27,38
2024-05-19,1,25,37
2024-05-26,1,25,34
2024-06-02,1,25,35
2024-06-09,1,24,35
2024-06-16,1,24,32
2024-06-23,1,23,31
2024-06-30,1,22,33
2024-07-07,1,22,32
2024-07-14,1,22,33
2024-07-21,0,21,32
2024-07-28,0,21,33
2024-08-04,1,21,34
2024-08-11,1,23,35
2024-08-18,1,24,36
2024-08-25,1,28,39
2024-09-01,1,27,41
2024-09-08,1,30,42
2024-09-15,1,30,42
2024-09-22,1,29,41
2024-09-29,1,28,40
2024-10-06,1,29,40
2024-10-13,1,28,39
2024-10-20,1,29,39
2024-10-27,1,26,37
2024-11-03,1,26,38
2024-11-10,1,28,40
2024-11-17,1,29,42
2024-11-24,1,24,36
2024-12-01,1,28,40
2024-12-08,1,28,38
2024-12-15,1,26,33
2024-12-22,0,19,25
2024-12-29,0,20,29
2025-01-05,1,25,39
2025-01-12,1,29,38
2025-01-19,1,27,38
2025-01-26,1,32,40
2025-02-02,1,30,42
2025-02-09,1,27,42
2025-02-16,1,32,42
2025-02-23,1,29,43
2025-03-02,1,28,43
2025-03-09,1,27,40
2025-03-16,1,27,42
2025-03-23,1,27,41
2025-03-30,1,26,40
2025-04-06,1,25,39
2025-04-13,1,29,37
2025-04-20,1,28,40
2025-04-27,1,27,43
2025-05-04,1,25,40
2025-05-11,1,25,39
2025-05-18,1,25,38
2025-05-25,1,22,35
2025-06-01,1,23,38
2025-06-08,1,25,40
2025-06-15,1,24,39
2025-06-22,1,24,39
2025-06-29,1,22,38
2025-07-06,1,22,41
2025-07-13,1,23,43
2025-07-20,1,25,47
2025-07-27,1,25,45
2025-08-03,1,28,54
2025-08-10,2,35,70
2025-08-17,2,37,70
