month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,5,40,2
2021-04-11,6,38,2
2021-04-18,6,41,2
2021-04-25,6,38,2
2021-05-02,6,42,3
2021-05-09,6,43,3
2021-05-16,6,44,2
2021-05-23,6,42,2
2021-05-30,6,44,2
2021-06-06,16,44,2
2021-06-13,10,43,2
2021-06-20,10,39,2
2021-06-27,8,44,2
2021-07-04,7,41,2
2021-07-11,7,42,2
2021-07-18,7,41,2
2021-07-25,7,39,2
2021-08-01,7,38,2
2021-08-08,7,40,2
2021-08-15,12,40,2
2021-08-22,10,39,2
2021-08-29,8,39,2
2021-09-05,7,38,2
2021-09-12,7,41,2
2021-09-19,7,42,2
2021-09-26,6,42,2
2021-10-03,6,43,2
2021-10-10,7,42,2
2021-10-17,7,40,2
2021-10-24,7,41,2
2021-10-31,7,38,2
2021-11-07,7,40,2
2021-11-14,7,39,2
2021-11-21,6,40,2
2021-11-28,7,40,2
2021-12-05,6,40,2
2021-12-12,6,41,2
2021-12-19,5,35,1
2021-12-26,5,34,1
2022-01-02,6,43,2
2022-01-09,6,48,2
2022-01-16,6,43,3
2022-01-23,7,47,3
2022-01-30,7,54,3
2022-02-06,7,49,3
2022-02-13,7,54,3
2022-02-20,7,57,3
2022-02-27,8,56,4
2022-03-06,9,60,4
2022-03-13,8,54,3
2022-03-20,8,55,4
2022-03-27,9,62,5
2022-04-03,9,57,4
2022-04-10,8,53,3
2022-04-17,9,55,4
2022-04-24,8,55,4
2022-05-01,8,54,4
2022-05-08,8,59,4
2022-05-15,8,53,3
2022-05-22,8,50,3
2022-05-29,7,48,3
2022-06-05,8,53,3
2022-06-12,8,54,2
2022-06-19,8,50,2
2022-06-26,7,49,2
2022-07-03,7,53,2
2022-07-10,7,50,2
2022-07-17,7,54,2
2022-07-24,7,51,2
2022-07-31,7,51,2
2022-08-07,7,49,2
2022-08-14,7,50,2
2022-08-21,7,61,2
2022-08-28,7,62,2
2022-09-04,7,58,2
2022-09-11,7,59,3
2022-09-18,8,60,3
2022-09-25,7,58,3
2022-10-02,8,55,2
2022-10-09,7,57,3
2022-10-16,7,53,3
2022-10-23,7,47,3
2022-10-30,6,51,3
2022-11-06,7,50,3
2022-11-13,7,49,3
2022-11-20,6,47,3
2022-11-27,6,49,3
2022-12-04,7,50,3
2022-12-11,7,49,3
2022-12-18,6,46,2
2022-12-25,5,40,2
2023-01-01,6,48,2
2023-01-08,6,50,3
2023-01-15,6,50,3
2023-01-22,7,56,3
2023-01-29,7,52,3
2023-02-05,7,47,3
2023-02-12,7,49,3
2023-02-19,7,52,3
2023-02-26,6,55,3
2023-03-05,7,49,3
2023-03-12,6,51,3
2023-03-19,6,48,3
2023-03-26,6,47,3
2023-04-02,6,44,3
2023-04-09,6,46,3
2023-04-16,7,49,3
2023-04-23,7,46,3
2023-04-30,7,45,3
2023-05-07,7,51,3
2023-05-14,7,53,3
2023-05-21,7,51,3
2023-05-28,7,50,2
2023-06-04,7,53,3
2023-06-11,7,54,2
2023-06-18,7,60,2
2023-06-25,6,52,2
2023-07-02,6,53,2
2023-07-09,7,52,2
2023-07-16,6,55,2
2023-07-23,7,50,2
2023-07-30,6,54,2
2023-08-06,7,51,2
2023-08-13,6,49,2
2023-08-20,6,54,2
2023-08-27,7,55,2
2023-09-03,7,53,2
2023-09-10,6,53,2
2023-09-17,6,50,2
2023-09-24,6,50,3
2023-10-01,6,49,3
2023-10-08,6,49,3
2023-10-15,6,49,3
2023-10-22,6,44,3
2023-10-29,6,46,3
2023-11-05,6,48,3
2023-11-12,6,46,3
2023-11-19,6,47,2
2023-11-26,6,49,3
2023-12-03,7,51,3
2023-12-10,7,49,3
2023-12-17,6,42,2
2023-12-24,5,38,2
2023-12-31,7,45,2
2024-01-07,6,49,3
2024-01-14,6,50,3
2024-01-21,8,48,3
2024-01-28,8,47,3
2024-02-04,8,49,3
2024-02-11,7,49,3
2024-02-18,8,48,3
2024-02-25,8,55,4
2024-03-03,8,48,3
2024-03-10,7,49,3
2024-03-17,8,48,3
2024-03-24,8,43,3
2024-03-31,8,46,3
2024-04-07,9,45,3
2024-04-14,8,47,3
2024-04-21,8,48,3
2024-04-28,8,52,4
2024-05-05,8,52,3
2024-05-12,8,56,3
2024-05-19,8,51,3
2024-05-26,7,54,3
2024-06-02,7,51,3
2024-06-09,7,50,2
2024-06-16,7,51,2
2024-06-23,7,49,2
2024-06-30,7,53,2
2024-07-07,8,53,2
2024-07-14,8,55,2
2024-07-21,8,51,2
2024-07-28,7,50,2
2024-08-04,7,47,2
2024-08-11,7,50,2
2024-08-18,7,47,2
2024-08-25,7,49,2
2024-09-01,7,49,2
2024-09-08,7,48,3
2024-09-15,7,46,3
2024-09-22,7,52,3
2024-09-29,7,47,3
2024-10-06,8,46,3
2024-10-13,7,47,3
2024-10-20,7,49,3
2024-10-27,6,45,3
2024-11-03,7,45,3
2024-11-10,7,46,3
2024-11-17,7,53,3
2024-11-24,7,44,3
2024-12-01,7,47,3
2024-12-08,7,48,3
2024-12-15,6,43,3
2024-12-22,5,36,1
2024-12-29,6,42,2
2025-01-05,6,49,3
2025-01-12,7,52,3
2025-01-19,8,53,3
2025-01-26,7,50,3
2025-02-02,8,53,3
2025-02-09,7,48,3
2025-02-16,7,50,3
2025-02-23,7,48,4
2025-03-02,8,55,3
2025-03-09,7,53,3
2025-03-16,8,49,3
2025-03-23,8,44,3
2025-03-30,8,46,3
2025-04-06,8,47,3
2025-04-13,8,43,3
2025-04-20,9,48,3
2025-04-27,10,65,3
2025-05-04,9,50,3
2025-05-11,8,52,3
2025-05-18,8,50,3
2025-05-25,8,47,2
2025-06-01,8,48,2
2025-06-08,9,55,3
2025-06-15,9,54,2
2025-06-22,10,52,2
2025-06-29,9,51,2
2025-07-06,9,52,2
2025-07-13,9,55,2
2025-07-20,9,61,2
2025-07-27,10,65,3
2025-08-03,11,72,3
2025-08-10,14,90,5
2025-08-17,14,92,5
2025-08-24,13,77,4
2025-08-31,14,82,5
2025-09-07,13,83,5
2025-09-14,12,78,5
2025-09-21,13,80,5
2025-09-28,12,85,5
2025-10-05,11,76,5
2025-10-12,11,75,5
2025-10-19,11,71,5
2025-10-26,11,70,5
2025-11-02,11,75,5
2025-11-09,12,79,5
2025-11-16,12,83,6
2025-11-23,14,90,6
2025-11-30,14,100,7
2025-12-07,12,81,6
2025-12-14,12,78,6
2025-12-21,9,58,3
2025-12-28,9,60,3
2026-01-04,10,66,4
2026-01-11,11,77,5
2026-01-18,13,85,6
2026-01-25,13,92,6
2026-02-01,14,87,7
2026-02-08,16,89,7
2026-02-15,18,92,7
2026-02-22,16,93,7
2026-03-01,16,91,7
2026-03-08,15,93,6
2026-03-15,16,93,7
2026-03-22,16,70,4
2026-03-29,16,64,3
2026-04-05,20,63,3
