month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,30,27,21
2021-04-11,29,26,22
2021-04-18,29,26,24
2021-04-25,30,27,23
2021-05-02,31,27,23
2021-05-09,33,29,24
2021-05-16,30,27,23
2021-05-23,32,27,22
2021-05-30,32,26,22
2021-06-06,30,27,21
2021-06-13,29,29,20
2021-06-20,29,28,21
2021-06-27,31,26,21
2021-07-04,32,27,22
2021-07-11,30,32,22
2021-07-18,31,30,23
2021-07-25,29,31,20
2021-08-01,30,30,20
2021-08-08,29,30,21
2021-08-15,31,27,21
2021-08-22,31,27,21
2021-08-29,29,28,20
2021-09-05,28,26,21
2021-09-12,27,29,19
2021-09-19,26,29,19
2021-09-26,27,28,23
2021-10-03,27,27,23
2021-10-10,29,26,23
2021-10-17,27,26,21
2021-10-24,28,28,20
2021-10-31,31,30,19
2021-11-07,27,32,18
2021-11-14,27,31,18
2021-11-21,30,31,18
2021-11-28,26,36,17
2021-12-05,30,34,18
2021-12-12,31,39,17
2021-12-19,39,38,18
2021-12-26,49,33,24
2022-01-02,40,37,28
2022-01-09,34,35,26
2022-01-16,32,33,24
2022-01-23,31,34,25
2022-01-30,31,37,25
2022-02-06,27,32,22
2022-02-13,29,32,22
2022-02-20,29,31,21
2022-02-27,28,32,20
2022-03-06,26,30,19
2022-03-13,27,30,20
2022-03-20,26,32,20
2022-03-27,26,34,19
2022-04-03,26,32,18
2022-04-10,29,31,21
2022-04-17,25,32,21
2022-04-24,24,33,19
2022-05-01,25,37,18
2022-05-08,23,35,18
2022-05-15,24,31,18
2022-05-22,25,30,18
2022-05-29,26,28,20
2022-06-05,26,30,19
2022-06-12,27,31,19
2022-06-19,28,31,20
2022-06-26,28,31,20
2022-07-03,29,33,20
2022-07-10,30,35,22
2022-07-17,31,34,22
2022-07-24,29,32,21
2022-07-31,30,33,20
2022-08-07,30,32,20
2022-08-14,29,34,21
2022-08-21,29,36,21
2022-08-28,26,35,20
2022-09-04,26,34,18
2022-09-11,25,34,18
2022-09-18,25,33,20
2022-09-25,27,34,23
2022-10-02,28,34,20
2022-10-09,27,34,21
2022-10-16,26,31,20
2022-10-23,28,34,20
2022-10-30,29,38,19
2022-11-06,26,35,18
2022-11-13,25,39,18
2022-11-20,27,41,17
2022-11-27,25,39,18
2022-12-04,24,38,19
2022-12-11,27,40,20
2022-12-18,33,38,21
2022-12-25,42,40,25
2023-01-01,33,39,25
2023-01-08,29,37,22
2023-01-15,28,36,22
2023-01-22,28,35,22
2023-01-29,28,36,21
2023-02-05,26,35,20
2023-02-12,26,32,17
2023-02-19,27,37,22
2023-02-26,24,34,18
2023-03-05,25,32,18
2023-03-12,25,33,18
2023-03-19,26,33,20
2023-03-26,24,34,19
2023-04-02,27,32,19
2023-04-09,26,31,20
2023-04-16,24,31,20
2023-04-23,25,32,20
2023-04-30,25,33,19
2023-05-07,23,31,17
2023-05-14,24,32,18
2023-05-21,25,33,19
2023-05-28,26,32,19
2023-06-04,25,35,19
2023-06-11,26,35,19
2023-06-18,27,34,20
2023-06-25,28,36,20
