month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,24,0,10
2021-04-11,25,0,10
2021-04-18,26,0,10
2021-04-25,25,0,10
2021-05-02,25,0,10
2021-05-09,27,0,11
2021-05-16,25,0,10
2021-05-23,25,0,10
2021-05-30,25,0,10
2021-06-06,23,0,10
2021-06-13,23,0,10
2021-06-20,24,0,10
2021-06-27,23,0,10
2021-07-04,24,0,11
2021-07-11,24,0,10
2021-07-18,24,0,10
2021-07-25,23,0,10
2021-08-01,24,0,9
2021-08-08,24,0,10
2021-08-15,24,0,10
2021-08-22,24,0,10
2021-08-29,22,0,9
2021-09-05,23,0,9
2021-09-12,22,0,9
2021-09-19,21,0,8
2021-09-26,21,0,9
2021-10-03,22,0,9
2021-10-10,24,0,9
2021-10-17,23,0,8
2021-10-24,22,0,8
2021-10-31,23,0,8
2021-11-07,25,0,9
2021-11-14,25,0,10
2021-11-21,26,0,11
2021-11-28,25,0,10
2021-12-05,23,0,9
2021-12-12,22,0,9
2021-12-19,24,0,10
2021-12-26,26,0,11
2022-01-02,34,0,13
2022-01-09,32,0,12
2022-01-16,31,0,11
2022-01-23,33,0,12
2022-01-30,30,0,11
2022-02-06,30,0,11
2022-02-13,34,0,12
2022-02-20,32,0,12
2022-02-27,33,0,11
2022-03-06,33,0,11
2022-03-13,33,0,11
2022-03-20,31,0,11
2022-03-27,32,0,11
2022-04-03,32,0,9
2022-04-10,30,0,9
2022-04-17,30,0,9
2022-04-24,28,0,9
2022-05-01,27,0,8
2022-05-08,28,0,8
2022-05-15,26,0,8
2022-05-22,26,0,8
2022-05-29,24,0,8
2022-06-05,24,0,8
2022-06-12,28,0,8
2022-06-19,27,0,9
2022-06-26,27,0,9
2022-07-03,27,0,9
2022-07-10,29,0,9
2022-07-17,27,0,9
2022-07-24,25,0,8
2022-07-31,25,0,9
2022-08-07,26,0,9
2022-08-14,26,0,9
2022-08-21,26,0,9
2022-08-28,24,0,8
2022-09-04,23,0,8
2022-09-11,26,0,8
2022-09-18,30,0,9
2022-09-25,26,0,9
2022-10-02,26,0,8
2022-10-09,30,0,9
2022-10-16,30,0,9
2022-10-23,30,0,9
2022-10-30,30,0,8
2022-11-06,29,0,9
2022-11-13,32,0,9
2022-11-20,30,0,10
2022-11-27,31,0,10
2022-12-04,30,0,9
2022-12-11,30,0,9
2022-12-18,31,0,9
2022-12-25,33,0,12
2023-01-01,32,0,10
2023-01-08,30,0,9
2023-01-15,29,0,8
2023-01-22,30,1,9
2023-01-29,30,1,9
2023-02-05,32,1,8
2023-02-12,31,1,9
2023-02-19,30,1,9
2023-02-26,28,1,8
2023-03-05,28,1,8
2023-03-12,28,1,8
2023-03-19,28,1,8
2023-03-26,29,1,8
2023-04-02,29,1,8
2023-04-09,29,1,8
2023-04-16,27,1,7
2023-04-23,27,1,7
2023-04-30,26,1,7
2023-05-07,26,1,7
2023-05-14,27,1,7
2023-05-21,27,1,7
2023-05-28,29,2,8
2023-06-04,30,1,8
2023-06-11,30,1,8
2023-06-18,30,1,8
2023-06-25,29,1,8
2023-07-02,30,1,9
2023-07-09,33,1,9
2023-07-16,30,1,8
2023-07-23,31,1,9
2023-07-30,30,1,9
2023-08-06,31,1,9
2023-08-13,31,1,9
2023-08-20,32,1,9
2023-08-27,32,1,9
2023-09-03,33,1,10
2023-09-10,30,1,8
2023-09-17,30,1,9
2023-09-24,32,1,8
2023-10-01,30,1,8
2023-10-08,31,1,9
2023-10-15,27,1,8
2023-10-22,30,1,8
2023-10-29,30,1,8
2023-11-05,31,1,9
2023-11-12,31,1,9
2023-11-19,36,1,11
2023-11-26,34,1,10
2023-12-03,36,1,10
2023-12-10,31,1,10
2023-12-17,35,1,10
2023-12-24,37,1,12
2023-12-31,36,1,10
2024-01-07,36,1,10
2024-01-14,35,1,9
2024-01-21,35,1,9
2024-01-28,39,1,10
2024-02-04,39,1,9
2024-02-11,37,2,9
2024-02-18,39,3,9
2024-02-25,36,3,9
2024-03-03,36,2,9
2024-03-10,37,3,9
2024-03-17,39,3,9
2024-03-24,38,2,9
2024-03-31,35,2,8
2024-04-07,35,2,8
2024-04-14,35,1,8
2024-04-21,34,1,7
2024-04-28,33,1,8
2024-05-05,33,1,8
2024-05-12,31,1,7
2024-05-19,32,2,8
2024-05-26,34,2,9
2024-06-02,35,3,8
2024-06-09,37,2,8
2024-06-16,35,2,8
2024-06-23,33,2,8
2024-06-30,34,1,8
2024-07-07,35,2,8
2024-07-14,35,1,9
2024-07-21,35,2,8
2024-07-28,34,2,8
2024-08-04,34,2,8
2024-08-11,35,1,9
2024-08-18,37,1,10
