month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,8,1,62
2021-04-11,7,1,57
2021-04-18,7,1,55
2021-04-25,8,1,58
2021-05-02,8,1,57
2021-05-09,8,1,61
2021-05-16,8,1,60
2021-05-23,9,1,62
2021-05-30,8,2,62
2021-06-06,9,2,64
2021-06-13,8,1,65
2021-06-20,8,1,65
2021-06-27,8,1,62
2021-07-04,7,1,62
2021-07-11,7,2,67
2021-07-18,7,2,65
2021-07-25,7,2,62
2021-08-01,7,2,59
2021-08-08,7,2,58
2021-08-15,7,1,56
2021-08-22,7,1,56
2021-08-29,8,1,54
2021-09-05,7,1,51
2021-09-12,7,1,51
2021-09-19,7,1,52
2021-09-26,7,1,51
2021-10-03,7,1,54
2021-10-10,6,1,48
2021-10-17,7,1,52
2021-10-24,7,1,48
2021-10-31,7,1,48
2021-11-07,7,1,51
2021-11-14,7,2,49
2021-11-21,6,1,43
2021-11-28,7,1,48
2021-12-05,7,1,45
2021-12-12,7,1,45
2021-12-19,6,1,42
2021-12-26,6,1,48
2022-01-02,8,2,45
2022-01-09,8,2,47
2022-01-16,7,2,42
2022-01-23,8,2,45
2022-01-30,9,2,46
2022-02-06,9,2,47
2022-02-13,9,2,51
2022-02-20,8,1,51
2022-02-27,9,1,53
2022-03-06,8,1,53
2022-03-13,8,1,54
2022-03-20,8,1,54
2022-03-27,9,1,55
2022-04-03,8,1,58
2022-04-10,8,1,55
2022-04-17,8,1,56
2022-04-24,8,1,59
2022-05-01,8,1,59
2022-05-08,8,1,61
2022-05-15,7,1,54
2022-05-22,8,1,56
2022-05-29,8,1,52
2022-06-05,7,1,58
2022-06-12,7,1,57
2022-06-19,7,1,61
2022-06-26,7,1,61
2022-07-03,7,1,58
2022-07-10,7,1,58
2022-07-17,8,1,60
2022-07-24,8,1,56
2022-07-31,8,1,58
2022-08-07,8,1,57
2022-08-14,8,1,56
2022-08-21,7,1,53
2022-08-28,7,1,55
2022-09-04,7,1,47
2022-09-11,7,1,50
2022-09-18,7,1,47
2022-09-25,7,1,47
2022-10-02,6,1,46
2022-10-09,7,1,46
2022-10-16,7,1,41
2022-10-23,7,1,44
2022-10-30,7,1,42
2022-11-06,7,1,41
2022-11-13,8,1,43
2022-11-20,6,1,35
2022-11-27,7,1,40
2022-12-04,7,1,39
2022-12-11,7,1,39
2022-12-18,6,1,39
2022-12-25,6,1,46
2023-01-01,7,1,48
2023-01-08,8,1,45
2023-01-15,7,1,46
2023-01-22,8,1,46
2023-01-29,9,2,46
2023-02-05,9,2,45
2023-02-12,9,1,44
2023-02-19,8,1,47
2023-02-26,9,1,47
2023-03-05,8,1,48
2023-03-12,8,1,50
2023-03-19,8,1,47
2023-03-26,9,1,46
2023-04-02,8,1,49
2023-04-09,7,1,49
2023-04-16,8,1,50
2023-04-23,8,1,50
2023-04-30,8,1,50
2023-05-07,8,1,50
2023-05-14,8,1,49
2023-05-21,8,1,51
2023-05-28,8,1,55
2023-06-04,7,1,55
2023-06-11,8,1,55
2023-06-18,7,1,57
2023-06-25,7,1,59
2023-07-02,8,1,59
2023-07-09,8,1,58
2023-07-16,8,1,57
2023-07-23,9,1,58
2023-07-30,8,1,56
2023-08-06,8,1,55
2023-08-13,7,1,53
2023-08-20,7,1,50
2023-08-27,7,1,51
2023-09-03,7,1,49
2023-09-10,7,1,47
2023-09-17,7,1,46
2023-09-24,7,1,44
2023-10-01,7,1,45
2023-10-08,6,1,43
2023-10-15,6,1,43
2023-10-22,6,1,42
2023-10-29,7,1,38
2023-11-05,7,1,41
2023-11-12,7,1,40
2023-11-19,7,1,38
2023-11-26,7,1,39
2023-12-03,8,1,39
2023-12-10,8,1,38
2023-12-17,8,1,42
2023-12-24,7,1,44
2023-12-31,7,1,45
2024-01-07,8,1,47
2024-01-14,7,1,42
2024-01-21,8,1,47
2024-01-28,9,1,49
2024-02-04,9,1,48
2024-02-11,8,1,47
2024-02-18,8,1,50
2024-02-25,9,1,52
2024-03-03,8,1,51
2024-03-10,8,1,52
2024-03-17,8,1,51
2024-03-24,8,1,54
2024-03-31,8,1,54
2024-04-07,8,1,54
2024-04-14,7,1,51
2024-04-21,8,1,52
2024-04-28,9,1,55
2024-05-05,9,1,49
2024-05-12,8,1,52
2024-05-19,8,1,53
2024-05-26,7,1,55
2024-06-02,8,1,54
2024-06-09,8,1,56
2024-06-16,7,1,57
2024-06-23,8,1,57
2024-06-30,7,1,56
2024-07-07,7,1,60
2024-07-14,7,1,59
2024-07-21,8,1,56
2024-07-28,8,1,57
2024-08-04,7,1,55
2024-08-11,7,1,57
2024-08-18,7,1,55
2024-08-25,7,1,50
2024-09-01,7,1,51
2024-09-08,7,1,47
2024-09-15,8,1,48
2024-09-22,8,1,45
2024-09-29,7,1,48
2024-10-06,7,1,45
2024-10-13,7,1,44
2024-10-20,7,1,44
2024-10-27,7,1,43
2024-11-03,7,1,43
2024-11-10,8,1,43
2024-11-17,7,1,43
2024-11-24,7,1,44
2024-12-01,8,1,43
2024-12-08,8,1,41
2024-12-15,8,1,43
2024-12-22,7,1,42
2024-12-29,8,1,51
2025-01-05,7,1,49
2025-01-12,8,1,50
2025-01-19,8,1,49
2025-01-26,9,1,46
2025-02-02,8,1,50
2025-02-09,9,1,46
2025-02-16,10,1,51
2025-02-23,9,1,54
2025-03-02,8,1,54
2025-03-09,8,1,51
2025-03-16,8,1,54
2025-03-23,8,1,55
2025-03-30,8,1,56
2025-04-06,8,1,56
2025-04-13,7,1,57
2025-04-20,8,1,56
2025-04-27,9,1,57
2025-05-04,8,1,57
2025-05-11,9,1,58
2025-05-18,8,1,57
2025-05-25,8,1,57
2025-06-01,9,1,64
2025-06-08,9,1,64
2025-06-15,8,1,65
2025-06-22,9,1,69
2025-06-29,9,1,68
2025-07-06,9,2,68
2025-07-13,9,2,73
2025-07-20,11,2,75
2025-07-27,14,2,76
2025-08-03,20,3,100
2025-08-10,25,3,96
2025-08-17,22,3,90
2025-08-24,18,2,80
2025-08-31,19,2,80
2025-09-07,19,2,76
2025-09-14,18,2,76
2025-09-21,17,3,74
2025-09-28,17,3,75
2025-10-05,15,2,66
2025-10-12,13,2,68
2025-10-19,14,2,64
2025-10-26,14,2,61
2025-11-02,14,2,66
2025-11-09,22,2,69
2025-11-16,16,2,78
2025-11-23,17,2,70
2025-11-30,17,2,73
2025-12-07,15,2,66
2025-12-14,17,2,69
2025-12-21,12,2,60
2025-12-28,13,2,65
2026-01-04,14,2,67
2026-01-11,14,2,73
2026-01-18,14,2,68
2026-01-25,16,2,70
