month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,24,52,64
2021-04-11,25,51,61
2021-04-18,21,57,62
2021-04-25,20,57,61
2021-05-02,21,56,61
2021-05-09,22,56,62
2021-05-16,19,60,62
2021-05-23,19,54,59
2021-05-30,16,52,62
2021-06-06,16,51,64
2021-06-13,16,53,63
2021-06-20,18,51,64
2021-06-27,17,53,63
2021-07-04,17,52,63
2021-07-11,16,55,64
2021-07-18,18,54,66
2021-07-25,20,52,65
2021-08-01,20,56,67
2021-08-08,20,54,68
2021-08-15,19,54,69
2021-08-22,28,55,67
2021-08-29,18,53,69
2021-09-05,15,52,71
2021-09-12,14,56,69
2021-09-19,13,55,68
2021-09-26,12,54,67
2021-10-03,11,53,67
2021-10-10,9,52,68
2021-10-17,9,54,66
2021-10-24,9,53,69
2021-10-31,9,50,67
2021-11-07,8,55,74
2021-11-14,8,53,73
2021-11-21,7,50,66
2021-11-28,8,56,77
2021-12-05,7,53,76
2021-12-12,8,53,84
2021-12-19,7,50,94
2021-12-26,6,58,100
2022-01-02,7,63,94
2022-01-09,7,60,79
2022-01-16,5,54,64
2022-01-23,4,57,63
2022-01-30,3,55,58
2022-02-06,3,53,61
2022-02-13,2,60,55
2022-02-20,2,56,51
2022-02-27,3,57,57
2022-03-06,3,55,53
2022-03-13,2,57,56
2022-03-20,1,57,57
2022-03-27,2,57,57
2022-04-03,1,54,56
2022-04-10,1,57,62
2022-04-17,1,57,57
2022-04-24,1,57,58
2022-05-01,2,57,57
2022-05-08,1,57,59
2022-05-15,1,55,58
2022-05-22,1,57,60
2022-05-29,1,56,61
2022-06-05,1,57,62
2022-06-12,1,56,65
2022-06-19,1,59,69
2022-06-26,1,58,64
2022-07-03,1,57,67
2022-07-10,1,59,68
2022-07-17,1,61,65
2022-07-24,1,59,65
2022-07-31,1,60,66
2022-08-07,1,58,62
2022-08-14,1,58,64
2022-08-21,1,61,63
2022-08-28,1,60,62
2022-09-04,1,55,62
2022-09-11,1,61,65
2022-09-18,1,65,64
2022-09-25,1,58,65
2022-10-02,1,59,62
2022-10-09,2,62,67
2022-10-16,1,61,62
2022-10-23,1,59,64
2022-10-30,1,60,61
2022-11-06,1,56,62
2022-11-13,1,60,62
2022-11-20,1,53,60
2022-11-27,1,58,58
2022-12-04,1,57,64
2022-12-11,1,59,67
2022-12-18,1,58,71
2022-12-25,1,57,67
2023-01-01,1,58,62
2023-01-08,1,57,58
2023-01-15,1,57,58
2023-01-22,2,58,58
2023-01-29,1,60,61
2023-02-05,1,60,60
2023-02-12,0,59,59
2023-02-19,0,60,59
2023-02-26,0,60,60
2023-03-05,0,59,58
2023-03-12,0,58,60
2023-03-19,0,60,57
2023-03-26,0,58,59
2023-04-02,0,57,61
2023-04-09,0,58,61
2023-04-16,1,58,57
2023-04-23,0,58,59
2023-04-30,0,59,59
2023-05-07,0,55,58
2023-05-14,0,58,58
2023-05-21,0,58,58
2023-05-28,0,56,63
2023-06-04,0,58,60
2023-06-11,0,59,61
2023-06-18,0,57,59
2023-06-25,0,57,63
2023-07-02,0,58,61
2023-07-09,0,61,64
2023-07-16,0,56,62
2023-07-23,0,59,60
2023-07-30,0,58,60
2023-08-06,0,58,61
2023-08-13,0,60,62
2023-08-20,0,61,61
2023-08-27,0,58,60
2023-09-03,0,58,61
2023-09-10,0,59,59
2023-09-17,1,61,63
2023-09-24,1,62,66
2023-10-01,1,61,64
2023-10-08,1,59,64
2023-10-15,1,60,64
