month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,0,12,39
2021-04-11,0,11,39
2021-04-18,0,11,39
2021-04-25,0,12,41
2021-05-02,0,12,36
2021-05-09,0,12,37
2021-05-16,0,12,40
2021-05-23,0,12,46
2021-05-30,0,12,56
2021-06-06,0,12,53
2021-06-13,0,12,53
2021-06-20,0,13,52
2021-06-27,0,12,52
2021-07-04,0,12,56
2021-07-11,0,12,69
2021-07-18,0,12,100
2021-07-25,0,12,71
2021-08-01,0,12,62
2021-08-08,0,13,63
2021-08-15,0,12,55
2021-08-22,0,12,62
2021-08-29,0,12,52
2021-09-05,0,11,53
2021-09-12,0,11,46
2021-09-19,0,11,47
2021-09-26,0,12,39
2021-10-03,0,13,44
2021-10-10,0,12,43
2021-10-17,0,12,42
2021-10-24,0,11,41
2021-10-31,0,12,38
2021-11-07,0,12,37
2021-11-14,0,12,33
2021-11-21,0,12,32
2021-11-28,0,13,33
2021-12-05,0,12,33
2021-12-12,0,12,30
2021-12-19,0,13,32
2021-12-26,0,13,47
2022-01-02,0,14,42
2022-01-09,0,11,42
2022-01-16,0,11,32
2022-01-23,0,11,33
2022-01-30,0,12,35
2022-02-06,0,12,33
2022-02-13,0,12,36
2022-02-20,0,12,35
2022-02-27,0,12,38
2022-03-06,0,12,33
2022-03-13,0,12,35
2022-03-20,0,12,35
2022-03-27,0,12,35
2022-04-03,0,11,36
2022-04-10,0,12,42
2022-04-17,0,12,41
2022-04-24,0,12,39
2022-05-01,0,12,38
2022-05-08,0,12,40
2022-05-15,0,13,39
2022-05-22,0,12,41
2022-05-29,0,12,44
2022-06-05,0,13,41
2022-06-12,0,13,51
2022-06-19,0,12,50
2022-06-26,0,13,46
2022-07-03,0,13,56
2022-07-10,0,14,65
2022-07-17,0,15,61
2022-07-24,0,15,55
2022-07-31,0,13,58
2022-08-07,0,13,71
2022-08-14,0,13,58
2022-08-21,0,16,54
2022-08-28,0,13,50
2022-09-04,0,13,46
2022-09-11,0,12,44
2022-09-18,0,12,43
2022-09-25,0,12,44
2022-10-02,0,12,41
2022-10-09,0,13,43
2022-10-16,0,11,37
2022-10-23,0,13,38
2022-10-30,0,13,35
2022-11-06,0,13,38
2022-11-13,0,15,34
2022-11-20,0,14,32
2022-11-27,0,13,33
2022-12-04,0,13,31
2022-12-11,0,15,30
2022-12-18,0,15,35
2022-12-25,0,14,48
2023-01-01,0,13,40
2023-01-08,0,11,36
2023-01-15,0,12,37
2023-01-22,0,12,38
2023-01-29,0,12,36
2023-02-05,0,13,37
2023-02-12,0,12,39
2023-02-19,0,12,43
2023-02-26,0,12,47
2023-03-05,0,12,56
2023-03-12,0,12,48
2023-03-19,0,12,45
2023-03-26,0,13,41
2023-04-02,0,12,45
2023-04-09,0,13,42
2023-04-16,0,12,40
2023-04-23,0,13,40
2023-04-30,0,13,39
2023-05-07,0,14,41
2023-05-14,0,21,41
2023-05-21,0,17,44
2023-05-28,0,13,55
2023-06-04,0,14,46
2023-06-11,0,13,55
2023-06-18,0,13,51
2023-06-25,0,17,52
2023-07-02,0,15,62
2023-07-09,0,15,52
2023-07-16,0,17,51
2023-07-23,0,15,54
2023-07-30,0,17,56
2023-08-06,0,15,57
2023-08-13,0,14,51
2023-08-20,0,16,53
2023-08-27,0,14,59
2023-09-03,0,14,63
2023-09-10,0,14,44
2023-09-17,0,15,42
2023-09-24,0,15,42
2023-10-01,0,13,42
2023-10-08,0,13,39
2023-10-15,0,13,40
2023-10-22,0,13,39
2023-10-29,0,13,38
2023-11-05,0,14,36
2023-11-12,0,14,35
2023-11-19,0,14,36
2023-11-26,0,15,36
2023-12-03,0,16,35
2023-12-10,0,15,35
2023-12-17,0,17,38
2023-12-24,0,14,49
2023-12-31,0,13,49
2024-01-07,0,14,43
2024-01-14,0,14,37
2024-01-21,0,12,35
2024-01-28,0,12,37
2024-02-04,0,13,38
2024-02-11,0,13,38
2024-02-18,0,13,37
2024-02-25,0,12,35
2024-03-03,0,13,38
2024-03-10,0,13,43
2024-03-17,0,13,38
2024-03-24,0,13,46
2024-03-31,0,14,47
2024-04-07,0,12,47
2024-04-14,0,13,43
2024-04-21,0,13,41
2024-04-28,0,13,41
2024-05-05,0,12,44
2024-05-12,0,12,40
2024-05-19,0,13,44
2024-05-26,0,14,45
2024-06-02,0,12,47
2024-06-09,0,14,48
2024-06-16,0,14,52
2024-06-23,0,16,52
2024-06-30,0,14,52
2024-07-07,0,14,52
2024-07-14,0,17,57
2024-07-21,0,14,59
2024-07-28,0,16,64
2024-08-04,0,17,56
2024-08-11,0,15,63
2024-08-18,0,18,57
2024-08-25,0,14,57
2024-09-01,0,13,53
2024-09-08,0,13,46
2024-09-15,0,13,49
2024-09-22,0,13,46
2024-09-29,0,12,50
2024-10-06,0,15,47
2024-10-13,0,13,40
2024-10-20,0,12,42
2024-10-27,0,13,38
2024-11-03,0,12,36
2024-11-10,0,13,41
2024-11-17,0,14,37
2024-11-24,0,14,38
2024-12-01,0,14,35
2024-12-08,0,13,34
2024-12-15,0,13,36
2024-12-22,0,14,43
2024-12-29,0,13,49
2025-01-05,0,13,40
2025-01-12,0,12,41
2025-01-19,0,11,34
2025-01-26,0,12,36
2025-02-02,0,12,36
2025-02-09,0,12,37
2025-02-16,0,12,40
2025-02-23,0,12,40
2025-03-02,0,12,41
2025-03-09,0,12,37
2025-03-16,0,12,39
2025-03-23,0,13,40
2025-03-30,0,12,45
2025-04-06,0,12,41
2025-04-13,0,11,43
2025-04-20,0,12,43
2025-04-27,0,12,46
2025-05-04,0,13,42
2025-05-11,0,14,48
2025-05-18,0,13,46
2025-05-25,0,14,51
2025-06-01,0,13,49
2025-06-08,0,15,49
2025-06-15,0,14,57
2025-06-22,0,14,58
2025-06-29,0,13,61
2025-07-06,0,15,66
2025-07-13,0,18,59
2025-07-20,0,14,66
2025-07-27,0,15,66
2025-08-03,0,16,73
2025-08-10,0,16,81
2025-08-17,0,19,77
2025-08-24,0,16,65
2025-08-31,0,16,54
2025-09-07,0,15,51
2025-09-14,0,14,47
2025-09-21,0,15,47
2025-09-28,0,15,51
2025-10-05,0,14,50
2025-10-12,0,14,53
2025-10-19,0,14,46
2025-10-26,0,14,41
2025-11-02,0,15,49
2025-11-09,0,16,45
2025-11-16,0,14,47
2025-11-23,0,15,44
2025-11-30,0,18,51
2025-12-07,0,16,44
2025-12-14,0,15,47
2025-12-21,0,14,48
2025-12-28,0,14,62
2026-01-04,0,14,47
2026-01-11,0,16,42
2026-01-18,0,16,43
2026-01-25,0,14,43
2026-02-01,0,14,43
2026-02-08,0,14,45
2026-02-15,0,13,52
2026-02-22,0,13,48
2026-03-01,0,13,47
2026-03-08,0,14,45
2026-03-15,0,14,46
2026-03-22,0,19,43
2026-03-29,0,16,47
