month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,80,0,33
2021-04-11,74,0,33
2021-04-18,78,0,33
2021-04-25,74,0,33
2021-05-02,71,0,32
2021-05-09,70,0,33
2021-05-16,68,0,34
2021-05-23,69,0,34
2021-05-30,72,0,33
2021-06-06,68,0,34
2021-06-13,68,0,34
2021-06-20,68,0,34
2021-06-27,71,0,33
2021-07-04,67,0,32
2021-07-11,69,0,33
2021-07-18,77,0,32
2021-07-25,69,0,32
2021-08-01,69,0,32
2021-08-08,69,0,32
2021-08-15,70,0,34
2021-08-22,68,0,34
2021-08-29,68,0,33
2021-09-05,69,0,37
2021-09-12,69,0,41
2021-09-19,69,0,37
2021-09-26,67,0,37
2021-10-03,70,0,37
2021-10-10,66,0,37
2021-10-17,70,0,35
2021-10-24,80,0,34
2021-10-31,72,0,34
2021-11-07,66,0,35
2021-11-14,66,0,34
2021-11-21,58,0,33
2021-11-28,63,0,33
2021-12-05,59,0,31
2021-12-12,58,0,34
2021-12-19,54,0,30
2021-12-26,57,0,31
2022-01-02,66,0,34
2022-01-09,67,0,34
2022-01-16,61,0,33
2022-01-23,63,0,33
2022-01-30,66,0,34
2022-02-06,68,0,35
2022-02-13,66,0,37
2022-02-20,68,0,35
2022-02-27,67,0,35
2022-03-06,69,0,35
2022-03-13,67,0,37
2022-03-20,74,0,37
2022-03-27,71,0,37
2022-04-03,72,0,38
2022-04-10,70,0,38
2022-04-17,69,0,40
2022-04-24,73,0,37
2022-05-01,69,0,37
2022-05-08,68,0,36
2022-05-15,64,0,35
2022-05-22,66,0,35
2022-05-29,64,0,34
2022-06-05,67,0,34
2022-06-12,66,0,33
2022-06-19,68,0,34
2022-06-26,66,0,34
2022-07-03,67,0,33
2022-07-10,67,0,33
2022-07-17,67,0,33
2022-07-24,66,0,32
2022-07-31,67,0,34
2022-08-07,67,0,33
2022-08-14,66,0,34
2022-08-21,70,0,35
2022-08-28,64,0,36
2022-09-04,65,0,37
2022-09-11,67,0,39
2022-09-18,64,0,39
2022-09-25,64,0,40
2022-10-02,66,0,38
2022-10-09,68,0,36
2022-10-16,66,0,35
2022-10-23,73,0,36
2022-10-30,66,0,32
2022-11-06,63,0,35
2022-11-13,61,0,34
2022-11-20,55,0,32
2022-11-27,58,0,31
2022-12-04,55,0,34
2022-12-11,54,0,32
2022-12-18,52,0,31
2022-12-25,55,0,34
2023-01-01,58,0,32
2023-01-08,58,0,34
2023-01-15,59,0,35
2023-01-22,63,0,36
2023-01-29,63,0,35
2023-02-05,61,0,35
2023-02-12,61,0,35
2023-02-19,65,0,35
2023-02-26,62,0,35
2023-03-05,62,0,35
2023-03-12,62,0,34
2023-03-19,63,0,35
2023-03-26,66,0,35
2023-04-02,70,0,35
2023-04-09,62,0,34
2023-04-16,66,0,33
2023-04-23,66,0,34
2023-04-30,68,0,36
2023-05-07,65,0,35
2023-05-14,63,0,34
2023-05-21,65,0,35
2023-05-28,63,0,33
2023-06-04,65,0,34
2023-06-11,64,0,33
2023-06-18,64,0,33
2023-06-25,66,0,33
2023-07-02,64,0,32
2023-07-09,65,0,32
2023-07-16,67,0,32
2023-07-23,63,0,33
2023-07-30,64,0,32
2023-08-06,66,0,33
2023-08-13,66,0,31
2023-08-20,64,0,33
2023-08-27,66,0,34
2023-09-03,65,0,34
2023-09-10,64,0,39
2023-09-17,65,0,38
2023-09-24,66,0,39
2023-10-01,69,0,37
2023-10-08,65,0,36
2023-10-15,67,0,39
2023-10-22,71,0,35
2023-10-29,68,0,33
2023-11-05,69,0,34
2023-11-12,61,0,35
2023-11-19,58,0,33
2023-11-26,59,0,34
2023-12-03,59,0,35
2023-12-10,59,0,33
2023-12-17,56,0,35
2023-12-24,56,0,31
2023-12-31,59,0,33
2024-01-07,58,0,33
2024-01-14,56,0,34
2024-01-21,62,0,35
2024-01-28,62,0,38
2024-02-04,66,0,35
2024-02-11,63,0,36
2024-02-18,67,0,36
2024-02-25,66,0,37
2024-03-03,64,0,35
2024-03-10,68,0,35
2024-03-17,67,0,36
2024-03-24,71,0,39
2024-03-31,67,0,34
2024-04-07,72,0,36
2024-04-14,68,0,34
2024-04-21,68,0,35
2024-04-28,69,0,35
2024-05-05,67,0,35
2024-05-12,67,0,34
2024-05-19,66,0,34
2024-05-26,69,0,34
2024-06-02,62,0,35
2024-06-09,66,0,35
2024-06-16,65,0,32
2024-06-23,68,0,33
2024-06-30,62,0,31
2024-07-07,64,0,32
2024-07-14,66,0,34
2024-07-21,68,0,33
2024-07-28,66,0,33
2024-08-04,64,0,32
2024-08-11,68,0,35
2024-08-18,71,0,36
2024-08-25,67,0,35
2024-09-01,64,0,36
2024-09-08,65,0,42
2024-09-15,62,0,39
2024-09-22,69,0,37
2024-09-29,63,0,40
2024-10-06,67,0,39
2024-10-13,71,0,37
2024-10-20,77,0,38
2024-10-27,78,0,37
2024-11-03,63,0,35
2024-11-10,68,0,37
2024-11-17,66,0,36
2024-11-24,63,0,34
2024-12-01,62,0,36
