month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,3,9,21
2021-04-11,3,14,19
2021-04-18,3,13,22
2021-04-25,3,13,19
2021-05-02,3,27,20
2021-05-09,3,50,21
2021-05-16,3,23,21
2021-05-23,3,13,20
2021-05-30,3,13,21
2021-06-06,3,12,20
2021-06-13,3,9,19
2021-06-20,3,8,19
2021-06-27,3,9,20
2021-07-04,3,8,19
2021-07-11,3,9,19
2021-07-18,3,11,20
2021-07-25,3,8,20
2021-08-01,3,7,19
2021-08-08,3,8,21
2021-08-15,3,8,22
2021-08-22,3,7,22
2021-08-29,3,6,20
2021-09-05,3,6,20
2021-09-12,3,7,19
2021-09-19,3,11,18
2021-09-26,3,10,19
2021-10-03,3,10,18
2021-10-10,3,9,19
2021-10-17,3,9,18
2021-10-24,4,15,19
2021-10-31,4,21,19
2021-11-07,3,16,20
2021-11-14,3,16,21
2021-11-21,3,11,20
2021-11-28,3,10,20
2021-12-05,3,12,21
2021-12-12,3,15,23
2021-12-19,3,13,21
2021-12-26,3,13,20
2022-01-02,3,13,23
2022-01-09,3,11,21
2022-01-16,3,10,20
2022-01-23,3,12,20
2022-01-30,3,12,22
2022-02-06,3,11,21
2022-02-13,3,11,22
2022-02-20,3,10,22
2022-02-27,3,17,23
2022-03-06,5,17,25
2022-03-13,4,18,27
2022-03-20,3,10,25
2022-03-27,3,10,23
2022-04-03,3,21,24
2022-04-10,3,36,25
2022-04-17,3,27,24
2022-04-24,3,100,23
2022-05-01,3,35,23
2022-05-08,3,27,28
2022-05-15,3,30,26
2022-05-22,3,21,24
2022-05-29,3,22,24
2022-06-05,3,15,25
2022-06-12,3,15,25
2022-06-19,3,22,25
2022-06-26,3,12,25
2022-07-03,3,20,23
2022-07-10,2,20,24
2022-07-17,2,16,26
2022-07-24,2,15,26
2022-07-31,2,11,25
2022-08-07,2,10,25
2022-08-14,2,13,26
2022-08-21,2,11,25
2022-08-28,2,10,22
2022-09-04,2,10,23
2022-09-11,2,10,26
2022-09-18,2,9,23
2022-09-25,2,9,24
2022-10-02,2,15,22
2022-10-09,2,13,24
2022-10-16,2,11,23
2022-10-23,2,28,23
2022-10-30,2,32,22
2022-11-06,2,24,22
2022-11-13,2,24,22
2022-11-20,2,18,22
2022-11-27,2,17,23
2022-12-04,2,16,23
2022-12-11,2,20,22
2022-12-18,2,22,24
2022-12-25,2,16,25
2023-01-01,2,16,26
2023-01-08,3,13,27
2023-01-15,3,10,27
2023-01-22,3,10,25
2023-01-29,3,9,26
2023-02-05,3,10,26
2023-02-12,2,11,33
2023-02-19,3,9,33
2023-02-26,3,12,29
2023-03-05,3,10,27
2023-03-12,2,9,26
2023-03-19,3,10,25
2023-03-26,2,10,25
2023-04-02,3,10,26
2023-04-09,3,12,25
2023-04-16,3,17,25
2023-04-23,3,10,28
2023-04-30,3,9,27
2023-05-07,3,10,25
2023-05-14,3,12,25
2023-05-21,3,11,25
2023-05-28,3,11,26
2023-06-04,3,9,26
2023-06-11,3,10,26
2023-06-18,3,16,27
2023-06-25,3,16,26
2023-07-02,3,15,27
2023-07-09,3,14,27
2023-07-16,3,10,28
2023-07-23,3,15,28
2023-07-30,4,13,28
2023-08-06,3,13,27
2023-08-13,3,12,27
2023-08-20,3,10,26
2023-08-27,5,9,26
2023-09-03,5,10,25
2023-09-10,4,17,26
2023-09-17,4,14,25
2023-09-24,3,11,26
2023-10-01,3,12,24
2023-10-08,3,9,22
2023-10-15,3,8,24
2023-10-22,3,10,23
2023-10-29,3,10,23
2023-11-05,3,10,23
2023-11-12,3,12,24
2023-11-19,3,13,23
2023-11-26,3,15,23
2023-12-03,3,11,24
2023-12-10,3,10,25
2023-12-17,3,9,24
2023-12-24,3,9,25
2023-12-31,3,8,25
2024-01-07,3,10,26
2024-01-14,3,9,26
2024-01-21,3,9,26
2024-01-28,3,12,25
2024-02-04,3,10,24
2024-02-11,3,8,25
2024-02-18,3,9,24
2024-02-25,3,9,25
2024-03-03,3,11,24
2024-03-10,3,9,24
2024-03-17,3,10,25
2024-03-24,3,8,26
2024-03-31,3,8,23
2024-04-07,3,18,24
2024-04-14,3,11,25
2024-04-21,4,10,25
2024-04-28,3,8,24
2024-05-05,3,8,23
2024-05-12,3,7,24
2024-05-19,3,8,24
2024-05-26,3,7,24
2024-06-02,3,7,24
2024-06-09,3,10,24
2024-06-16,3,8,23
2024-06-23,3,11,25
2024-06-30,3,7,25
2024-07-07,3,8,25
2024-07-14,3,14,26
2024-07-21,3,22,26
2024-07-28,3,19,25
2024-08-04,3,15,26
2024-08-11,3,19,27
2024-08-18,3,11,26
2024-08-25,3,12,25
2024-09-01,3,13,25
2024-09-08,3,13,27
2024-09-15,3,11,26
2024-09-22,3,9,25
2024-09-29,3,9,25
2024-10-06,3,17,26
2024-10-13,3,18,26
2024-10-20,3,23,26
2024-10-27,3,20,25
2024-11-03,3,44,24
2024-11-10,3,44,26
2024-11-17,3,26,26
2024-11-24,3,21,27
2024-12-01,3,17,26
2024-12-08,3,18,24
2024-12-15,3,22,26
2024-12-22,3,23,27
2024-12-29,3,25,26
2025-01-05,3,30,27
2025-01-12,3,24,28
2025-01-19,3,83,27
2025-01-26,3,33,25
2025-02-02,3,40,25
2025-02-09,3,50,27
2025-02-16,3,43,25
2025-02-23,3,39,26
2025-03-02,3,34,24
2025-03-09,3,31,26
2025-03-16,3,28,27
2025-03-23,3,25,27
2025-03-30,3,27,27
2025-04-06,3,20,27
2025-04-13,2,14,27
2025-04-20,3,13,27
2025-04-27,3,10,29
2025-05-04,2,10,26
2025-05-11,3,9,26
2025-05-18,3,10,25
2025-05-25,3,18,26
2025-06-01,3,50,31
2025-06-08,3,21,29
2025-06-15,3,11,29
2025-06-22,3,10,30
2025-06-29,3,15,30
2025-07-06,3,16,29
2025-07-13,3,10,31
2025-07-20,3,10,33
2025-07-27,4,9,34
2025-08-03,5,11,39
2025-08-10,6,12,42
2025-08-17,6,10,40
2025-08-24,5,10,39
2025-08-31,5,10,40
2025-09-07,5,12,39
2025-09-14,4,12,37
2025-09-21,5,12,42
2025-09-28,5,12,40
2025-10-05,5,10,35
2025-10-12,5,8,38
2025-10-19,4,9,37
2025-10-26,4,9,35
2025-11-02,4,13,36
2025-11-09,4,12,36
2025-11-16,4,12,38
2025-11-23,4,10,39
2025-11-30,4,12,40
2025-12-07,4,11,37
2025-12-14,4,13,35
2025-12-21,4,14,34
2025-12-28,4,12,33
2026-01-04,4,13,32
2026-01-11,4,13,34
2026-01-18,4,13,38
2026-01-25,4,12,38
2026-02-01,4,17,39
2026-02-08,4,12,40
2026-02-15,4,11,46
2026-02-22,4,10,39
2026-03-01,6,10,40
2026-03-08,6,11,43
2026-03-15,6,10,43
2026-03-22,4,8,41
2026-03-29,5,8,40
