month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,29,34,7
2021-04-11,30,34,7
2021-04-18,31,36,7
2021-04-25,30,37,7
2021-05-02,31,37,7
2021-05-09,32,37,7
2021-05-16,29,37,7
2021-05-23,30,35,7
2021-05-30,29,35,6
2021-06-06,29,39,7
2021-06-13,29,36,7
2021-06-20,29,38,7
2021-06-27,32,37,7
2021-07-04,30,38,6
2021-07-11,33,40,6
2021-07-18,32,39,7
2021-07-25,32,38,6
2021-08-01,32,38,6
2021-08-08,30,38,6
2021-08-15,30,40,7
2021-08-22,31,43,7
2021-08-29,31,41,7
2021-09-05,29,41,7
2021-09-12,31,45,7
2021-09-19,30,45,7
2021-09-26,30,46,7
2021-10-03,32,52,8
2021-10-10,32,59,8
2021-10-17,34,60,8
2021-10-24,33,59,8
2021-10-31,34,55,8
2021-11-07,35,56,8
2021-11-14,34,57,8
2021-11-21,31,43,6
2021-11-28,43,59,8
2021-12-05,37,55,8
2021-12-12,34,42,7
2021-12-19,26,33,5
2021-12-26,30,35,6
2022-01-02,35,43,8
2022-01-09,35,44,8
2022-01-16,29,38,7
2022-01-23,31,39,7
2022-01-30,34,42,8
2022-02-06,31,41,8
2022-02-13,33,38,8
2022-02-20,30,36,7
2022-02-27,32,37,8
2022-03-06,31,37,7
2022-03-13,31,35,8
2022-03-20,33,36,7
2022-03-27,32,38,8
2022-04-03,31,37,8
2022-04-10,30,34,7
2022-04-17,33,36,8
2022-04-24,31,37,8
2022-05-01,30,35,7
2022-05-08,30,34,7
2022-05-15,28,32,7
2022-05-22,27,31,7
2022-05-29,27,30,6
2022-06-05,29,33,7
2022-06-12,28,32,6
2022-06-19,30,34,7
2022-06-26,31,33,7
2022-07-03,30,34,6
2022-07-10,31,35,7
2022-07-17,31,36,7
2022-07-24,33,34,7
2022-07-31,33,36,7
2022-08-07,32,38,7
2022-08-14,31,37,7
2022-08-21,31,35,7
2022-08-28,31,35,7
2022-09-04,29,32,6
2022-09-11,31,35,7
2022-09-18,32,36,7
2022-09-25,30,40,8
2022-10-02,29,40,7
2022-10-09,30,46,8
2022-10-16,30,48,8
2022-10-23,32,47,8
2022-10-30,33,46,8
2022-11-06,33,43,8
2022-11-13,34,46,9
2022-11-20,25,31,6
2022-11-27,32,45,8
2022-12-04,33,47,8
2022-12-11,33,34,8
2022-12-18,27,26,6
2022-12-25,29,28,6
2023-01-01,34,38,8
2023-01-08,36,38,8
2023-01-15,36,37,8
2023-01-22,34,37,8
2023-01-29,37,38,8
2023-02-05,33,40,8
2023-02-12,32,36,8
2023-02-19,32,36,8
2023-02-26,34,36,8
2023-03-05,32,36,7
2023-03-12,31,35,7
2023-03-19,31,37,8
2023-03-26,31,36,8
2023-04-02,30,35,7
2023-04-09,31,34,7
2023-04-16,31,35,8
2023-04-23,30,34,7
2023-04-30,32,33,7
2023-05-07,28,32,7
2023-05-14,30,30,7
2023-05-21,29,31,7
2023-05-28,30,31,7
2023-06-04,29,34,7
2023-06-11,32,33,7
2023-06-18,32,33,7
2023-06-25,33,33,7
2023-07-02,32,31,6
2023-07-09,34,38,7
2023-07-16,34,32,7
2023-07-23,34,34,7
2023-07-30,35,35,7
2023-08-06,33,35,7
2023-08-13,31,34,7
2023-08-20,35,37,7
2023-08-27,34,36,7
2023-09-03,33,34,7
2023-09-10,34,36,7
2023-09-17,33,37,8
2023-09-24,35,40,8
2023-10-01,34,40,8
2023-10-08,35,42,8
2023-10-15,36,50,8
2023-10-22,33,46,8
2023-10-29,37,46,9
2023-11-05,36,46,9
2023-11-12,36,44,9
2023-11-19,29,32,6
2023-11-26,36,45,9
2023-12-03,37,49,9
2023-12-10,38,34,8
2023-12-17,30,32,6
2023-12-24,30,28,6
2023-12-31,37,41,8
2024-01-07,37,38,8
2024-01-14,36,36,8
2024-01-21,36,43,8
2024-01-28,40,43,9
2024-02-04,41,41,9
2024-02-11,36,40,9
2024-02-18,36,41,8
2024-02-25,37,40,9
2024-03-03,38,41,9
2024-03-10,36,38,9
2024-03-17,37,40,9
2024-03-24,37,40,8
2024-03-31,37,40,8
2024-04-07,37,37,9
2024-04-14,35,37,9
2024-04-21,36,36,8
2024-04-28,34,37,8
2024-05-05,33,35,8
2024-05-12,34,35,8
2024-05-19,32,33,7
2024-05-26,33,30,7
2024-06-02,33,34,7
2024-06-09,33,35,7
2024-06-16,35,35,7
2024-06-23,35,38,7
2024-06-30,35,35,7
2024-07-07,38,39,8
2024-07-14,36,38,8
2024-07-21,37,38,8
2024-07-28,38,38,8
2024-08-04,36,38,8
2024-08-11,37,41,8
2024-08-18,36,40,8
2024-08-25,36,39,8
2024-09-01,36,37,8
2024-09-08,36,40,9
2024-09-15,38,40,9
2024-09-22,38,41,9
2024-09-29,38,49,9
2024-10-06,36,45,9
2024-10-13,38,55,9
2024-10-20,39,52,9
2024-10-27,38,51,10
2024-11-03,44,53,10
2024-11-10,43,56,11
2024-11-17,42,56,10
2024-11-24,35,44,7
2024-12-01,48,65,11
2024-12-08,51,46,10
2024-12-15,41,41,9
2024-12-22,31,31,5
2024-12-29,39,43,8
2025-01-05,41,49,10
2025-01-12,48,50,11
2025-01-19,43,49,9
2025-01-26,42,53,10
2025-02-02,41,49,10
2025-02-09,39,45,10
2025-02-16,39,51,10
2025-02-23,43,55,10
2025-03-02,41,50,10
2025-03-09,39,48,9
2025-03-16,41,46,9
2025-03-23,40,45,9
2025-03-30,42,45,10
2025-04-06,40,45,9
2025-04-13,38,42,9
2025-04-20,36,41,9
2025-04-27,42,43,9
2025-05-04,37,43,9
2025-05-11,39,44,9
2025-05-18,38,45,9
2025-05-25,36,39,8
2025-06-01,41,44,9
2025-06-08,41,45,11
2025-06-15,43,44,10
2025-06-22,42,46,10
2025-06-29,45,59,10
2025-07-06,47,51,11
2025-07-13,48,50,12
