month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,4,63,13
2021-04-11,4,59,14
2021-04-18,4,63,12
2021-04-25,4,61,13
2021-05-02,5,67,13
2021-05-09,5,66,12
2021-05-16,4,69,13
2021-05-23,5,62,12
2021-05-30,5,70,11
2021-06-06,5,68,12
2021-06-13,4,65,11
2021-06-20,5,63,12
2021-06-27,5,71,13
2021-07-04,5,69,13
2021-07-11,5,72,16
2021-07-18,5,68,13
2021-07-25,5,67,12
2021-08-01,5,69,11
2021-08-08,5,67,11
2021-08-15,5,67,11
2021-08-22,5,68,12
2021-08-29,5,71,11
2021-09-05,4,66,12
2021-09-12,5,64,13
2021-09-19,5,64,11
2021-09-26,4,71,11
2021-10-03,5,71,13
2021-10-10,4,70,12
2021-10-17,5,67,12
2021-10-24,4,64,12
2021-10-31,5,72,12
2021-11-07,5,67,11
2021-11-14,5,69,11
2021-11-21,6,65,10
2021-11-28,5,77,12
2021-12-05,5,72,12
2021-12-12,6,69,13
2021-12-19,8,66,12
2021-12-26,9,70,11
2022-01-02,7,79,13
2022-01-09,6,72,13
2022-01-16,6,65,12
2022-01-23,5,66,13
2022-01-30,6,76,14
2022-02-06,6,73,13
2022-02-13,6,71,13
2022-02-20,5,70,12
2022-02-27,6,80,14
2022-03-06,6,73,14
2022-03-13,5,73,13
2022-03-20,5,74,14
2022-03-27,6,71,14
2022-04-03,6,76,15
2022-04-10,5,73,16
2022-04-17,6,72,14
2022-04-24,6,76,13
2022-05-01,6,78,12
2022-05-08,6,72,11
2022-05-15,5,69,11
2022-05-22,5,73,12
2022-05-29,5,71,11
2022-06-05,6,76,11
2022-06-12,6,75,12
2022-06-19,6,77,11
2022-06-26,6,82,12
2022-07-03,6,82,12
2022-07-10,6,77,12
2022-07-17,6,78,12
2022-07-24,6,77,13
2022-07-31,6,82,12
2022-08-07,6,76,11
2022-08-14,6,77,11
2022-08-21,6,77,12
2022-08-28,5,80,11
2022-09-04,5,75,11
2022-09-11,5,76,12
2022-09-18,5,79,12
2022-09-25,6,76,13
2022-10-02,5,78,12
2022-10-09,5,76,12
2022-10-16,5,72,12
2022-10-23,5,68,12
2022-10-30,5,77,13
2022-11-06,5,74,11
2022-11-13,6,76,12
2022-11-20,5,67,10
2022-11-27,6,78,12
2022-12-04,6,77,12
2022-12-11,6,75,13
2022-12-18,7,74,11
2022-12-25,9,75,11
2023-01-01,7,82,12
2023-01-08,7,85,13
2023-01-15,6,74,13
2023-01-22,6,78,13
2023-01-29,6,85,13
2023-02-05,6,77,12
2023-02-12,5,71,12
2023-02-19,5,77,12
2023-02-26,5,78,13
2023-03-05,5,74,12
2023-03-12,5,74,12
2023-03-19,5,70,12
2023-03-26,5,74,14
2023-04-02,6,78,14
2023-04-09,5,77,14
2023-04-16,5,73,14
2023-04-23,5,73,13
2023-04-30,5,80,12
2023-05-07,5,70,11
2023-05-14,5,75,11
2023-05-21,5,70,12
2023-05-28,6,73,11
2023-06-04,6,73,11
2023-06-11,6,73,11
2023-06-18,6,75,11
2023-06-25,6,79,12
2023-07-02,6,82,12
2023-07-09,6,81,12
2023-07-16,6,77,11
2023-07-23,6,77,12
2023-07-30,6,81,12
2023-08-06,6,79,11
2023-08-13,6,77,11
2023-08-20,6,72,12
2023-08-27,5,78,12
2023-09-03,6,73,12
2023-09-10,5,74,12
2023-09-17,5,69,12
2023-09-24,6,77,13
2023-10-01,6,79,13
2023-10-08,5,79,13
2023-10-15,5,76,12
2023-10-22,5,72,12
2023-10-29,5,76,13
2023-11-05,5,73,11
2023-11-12,5,68,12
2023-11-19,5,69,11
2023-11-26,6,77,13
2023-12-03,6,76,13
2023-12-10,6,74,12
2023-12-17,7,71,12
2023-12-24,9,69,10
2023-12-31,8,80,13
2024-01-07,7,75,13
2024-01-14,6,69,14
2024-01-21,6,72,13
2024-01-28,6,74,15
2024-02-04,6,75,15
2024-02-11,6,71,13
2024-02-18,6,71,13
2024-02-25,6,73,14
2024-03-03,6,73,14
2024-03-10,5,72,13
2024-03-17,7,75,14
2024-03-24,9,73,15
2024-03-31,6,77,15
2024-04-07,6,72,15
2024-04-14,5,68,15
2024-04-21,5,67,14
2024-04-28,6,74,15
2024-05-05,6,66,12
2024-05-12,6,67,12
2024-05-19,6,67,12
2024-05-26,6,68,12
2024-06-02,6,72,14
2024-06-09,6,69,14
2024-06-16,5,71,13
2024-06-23,6,71,13
2024-06-30,6,70,13
2024-07-07,6,76,13
2024-07-14,6,77,13
2024-07-21,6,71,13
2024-07-28,6,75,13
2024-08-04,6,76,13
2024-08-11,6,74,12
2024-08-18,6,73,13
2024-08-25,6,70,13
2024-09-01,6,73,13
2024-09-08,6,72,14
2024-09-15,5,73,13
2024-09-22,5,71,13
2024-09-29,6,74,14
2024-10-06,6,71,13
2024-10-13,5,71,13
2024-10-20,6,72,13
2024-10-27,5,67,14
2024-11-03,6,67,13
2024-11-10,6,70,14
2024-11-17,6,69,14
2024-11-24,6,65,13
2024-12-01,6,75,15
2024-12-08,6,70,15
2024-12-15,7,72,15
2024-12-22,10,66,12
2024-12-29,9,76,14
2025-01-05,8,75,15
2025-01-12,7,80,16
2025-01-19,7,68,15
2025-01-26,6,69,18
2025-02-02,7,69,17
2025-02-09,6,68,16
2025-02-16,6,69,18
2025-02-23,6,72,17
2025-03-02,6,70,17
2025-03-09,6,70,16
2025-03-16,6,70,17
2025-03-23,6,70,18
2025-03-30,6,72,18
2025-04-06,6,76,17
2025-04-13,6,67,19
2025-04-20,6,68,15
2025-04-27,6,75,17
2025-05-04,6,68,15
2025-05-11,6,70,15
2025-05-18,6,72,15
2025-05-25,6,69,15
2025-06-01,7,76,15
2025-06-08,7,75,17
2025-06-15,7,77,17
2025-06-22,7,76,16
2025-06-29,7,75,16
2025-07-06,7,80,17
2025-07-13,7,85,17
2025-07-20,8,85,19
2025-07-27,9,92,21
2025-08-03,11,96,23
2025-08-10,12,94,30
2025-08-17,11,92,28
2025-08-24,10,86,24
2025-08-31,10,92,27
2025-09-07,10,84,26
2025-09-14,11,89,27
2025-09-21,11,92,33
2025-09-28,11,97,34
2025-10-05,9,88,29
2025-10-12,9,90,29
2025-10-19,9,81,29
2025-10-26,8,75,28
2025-11-02,9,83,29
2025-11-09,10,90,28
2025-11-16,10,83,30
2025-11-23,11,83,32
2025-11-30,13,99,36
2025-12-07,11,87,32
2025-12-14,12,85,31
2025-12-21,13,77,22
2025-12-28,12,87,23
2026-01-04,10,83,27
2026-01-11,11,90,29
2026-01-18,11,82,30
2026-01-25,10,84,31
2026-02-01,10,87,33
2026-02-08,9,84,34
2026-02-15,9,90,36
2026-02-22,10,92,43
2026-03-01,10,100,33
2026-03-08,9,96,30
2026-03-15,9,92,31
2026-03-22,7,80,20
2026-03-29,7,84,23
