month,kw_1_search,kw_2_search,kw_3_search
2021-04-04,0,61,52
2021-04-11,0,60,51
2021-04-18,0,66,51
2021-04-25,0,64,51
2021-05-02,0,69,52
2021-05-09,0,65,54
2021-05-16,0,63,51
2021-05-23,0,65,53
2021-05-30,0,74,53
2021-06-06,0,69,52
2021-06-13,0,66,52
2021-06-20,0,68,52
2021-06-27,0,69,52
2021-07-04,0,74,54
2021-07-11,0,74,54
2021-07-18,0,72,54
2021-07-25,0,69,53
2021-08-01,0,72,55
2021-08-08,0,73,52
2021-08-15,0,68,54
2021-08-22,0,66,53
2021-08-29,0,66,51
2021-09-05,0,66,51
2021-09-12,0,64,55
2021-09-19,0,63,53
2021-09-26,0,67,53
2021-10-03,0,74,52
2021-10-10,0,78,50
2021-10-17,0,74,52
2021-10-24,0,68,50
2021-10-31,0,74,52
2021-11-07,0,70,55
2021-11-14,0,75,57
2021-11-21,0,72,66
2021-11-28,0,76,63
2021-12-05,0,78,61
2021-12-12,0,94,56
2021-12-19,0,100,49
2021-12-26,0,82,56
2022-01-02,0,76,54
2022-01-09,0,63,52
2022-01-16,0,58,46
2022-01-23,0,62,48
2022-01-30,0,63,51
2022-02-06,0,64,52
2022-02-13,0,68,50
2022-02-20,0,64,50
2022-02-27,0,71,54
2022-03-06,0,70,51
2022-03-13,0,69,49
2022-03-20,0,67,50
2022-03-27,0,67,50
2022-04-03,0,71,50
2022-04-10,0,80,52
2022-04-17,0,76,52
2022-04-24,0,72,51
2022-05-01,0,70,53
2022-05-08,0,72,48
2022-05-15,0,67,48
2022-05-22,0,65,48
2022-05-29,0,70,48
2022-06-05,0,73,48
2022-06-12,0,74,49
2022-06-19,0,73,50
2022-06-26,0,73,50
2022-07-03,0,77,49
2022-07-10,0,81,51
2022-07-17,0,77,52
2022-07-24,0,79,53
2022-07-31,0,71,55
2022-08-07,0,75,51
2022-08-14,0,71,53
2022-08-21,0,70,50
2022-08-28,0,69,50
2022-09-04,0,70,50
2022-09-11,0,71,48
2022-09-18,0,77,49
2022-09-25,0,75,49
2022-10-02,0,71,49
2022-10-09,0,79,50
2022-10-16,0,71,52
2022-10-23,0,65,50
2022-10-30,0,71,50
2022-11-06,0,71,53
2022-11-13,0,74,54
2022-11-20,0,71,61
2022-11-27,0,69,54
2022-12-04,0,72,53
2022-12-11,0,82,50
2022-12-18,0,91,47
2022-12-25,0,84,53
2023-01-01,0,74,51
2023-01-08,0,70,47
2023-01-15,0,64,46
2023-01-22,0,68,47
2023-01-29,0,64,49
2023-02-05,0,66,46
2023-02-12,0,65,47
2023-02-19,0,67,46
2023-02-26,0,61,46
2023-03-05,0,67,46
2023-03-12,0,63,45
2023-03-19,0,59,46
2023-03-26,0,64,47
2023-04-02,0,74,48
2023-04-09,0,69,48
2023-04-16,0,68,46
2023-04-23,0,65,46
2023-04-30,0,72,50
2023-05-07,0,68,46
2023-05-14,0,69,43
2023-05-21,0,69,47
2023-05-28,0,68,47
2023-06-04,0,74,49
2023-06-11,0,69,50
2023-06-18,0,66,49
2023-06-25,0,70,50
2023-07-02,0,76,53
2023-07-09,0,77,52
2023-07-16,0,83,51
2023-07-23,0,82,54
2023-07-30,0,75,53
2023-08-06,0,72,52
2023-08-13,0,71,49
2023-08-20,0,66,51
2023-08-27,0,68,51
2023-09-03,0,69,48
2023-09-10,0,62,47
2023-09-17,0,63,49
2023-09-24,0,70,48
2023-10-01,0,74,48
2023-10-08,0,76,46
2023-10-15,0,69,47
2023-10-22,0,69,47
2023-10-29,0,70,48
2023-11-05,0,69,53
2023-11-12,0,66,54
2023-11-19,0,74,62
2023-11-26,0,73,58
2023-12-03,0,76,56
2023-12-10,0,79,51
2023-12-17,0,84,49
2023-12-24,0,83,50
2023-12-31,0,73,49
2024-01-07,0,66,46
2024-01-14,0,62,48
2024-01-21,0,62,45
2024-01-28,0,61,49
2024-02-04,0,61,50
2024-02-11,0,65,48
2024-02-18,0,62,46
2024-02-25,0,63,48
2024-03-03,0,61,51
2024-03-10,0,60,48
2024-03-17,0,61,48
2024-03-24,0,67,50
2024-03-31,0,61,50
2024-04-07,0,62,49
2024-04-14,0,59,47
2024-04-21,0,60,47
2024-04-28,0,66,52
2024-05-05,0,60,49
2024-05-12,0,62,48
2024-05-19,0,63,49
2024-05-26,0,65,51
2024-06-02,0,60,47
2024-06-09,0,60,50
2024-06-16,0,70,50
2024-06-23,0,71,49
2024-06-30,0,69,50
2024-07-07,0,70,52
2024-07-14,0,69,50
2024-07-21,0,68,52
2024-07-28,0,62,55
2024-08-04,0,64,53
2024-08-11,0,66,54
2024-08-18,0,63,55
2024-08-25,0,58,54
2024-09-01,0,61,53
2024-09-08,0,59,51
2024-09-15,0,59,52
2024-09-22,0,59,51
2024-09-29,0,61,53
2024-10-06,0,68,52
2024-10-13,0,66,52
2024-10-20,0,57,50
2024-10-27,0,63,53
2024-11-03,0,59,53
2024-11-10,0,66,53
2024-11-17,0,63,61
2024-11-24,0,70,72
2024-12-01,0,67,66
2024-12-08,0,69,58
2024-12-15,0,75,55
2024-12-22,0,89,55
2024-12-29,0,70,58
2025-01-05,0,60,52
2025-01-12,0,58,53
2025-01-19,0,55,49
2025-01-26,0,53,48
2025-02-02,0,58,48
