Категорія: Усі категорії

Місяць,war: (Увесь світ),Безробіття: (Увесь світ),tariffs: (Увесь світ),earnings: (Увесь світ),ai: (Увесь світ)
2020-01,40,7,1,6,8
2020-02,14,9,1,8,8
2020-03,12,28,<1,2,6
2020-04,15,54,<1,8,7
2020-05,19,38,<1,9,7
2020-06,19,33,<1,4,7
2020-07,16,49,<1,11,7
2020-08,17,72,1,10,6
2020-09,20,53,<1,4,6
2020-10,20,32,<1,7,6
2020-11,25,19,<1,7,6
2020-12,21,35,<1,3,7
2021-01,19,32,<1,6,7
2021-02,21,19,<1,11,6
2021-03,14,23,<1,4,7
2021-04,18,18,<1,6,7
2021-05,18,28,<1,6,7
2021-06,14,16,<1,3,8
2021-07,15,14,<1,6,7
2021-08,15,17,<1,7,7
2021-09,15,14,<1,2,7
2021-10,15,9,<1,7,8
2021-11,15,7,<1,9,8
2021-12,15,6,<1,2,7
2022-01,19,6,<1,6,7
2022-02,65,6,<1,11,7
2022-03,66,6,<1,4,7
2022-04,36,5,<1,7,8
2022-05,29,5,<1,7,8
2022-06,23,5,<1,2,10
2022-07,22,4,<1,7,8
2022-08,25,4,<1,7,8
2022-09,29,5,<1,2,9
2022-10,32,5,<1,7,10
2022-11,32,5,<1,6,10
2022-12,23,4,<1,2,17
2023-01,24,5,<1,6,15
2023-02,27,5,<1,10,22
2023-03,25,5,<1,4,24
2023-04,23,5,<1,8,30
2023-05,21,5,<1,8,39
2023-06,21,5,<1,3,38
2023-07,20,5,<1,9,34
2023-08,21,5,<1,10,31
2023-09,19,6,<1,3,28
2023-10,56,5,<1,7,29
2023-11,35,5,<1,8,40
2023-12,31,5,<1,3,36
2024-01,38,5,<1,7,41
2024-02,27,5,1,15,46
2024-03,26,6,1,6,52
2024-04,37,6,<1,10,48
2024-05,27,7,1,11,48
2024-06,32,5,1,4,52
2024-07,24,5,1,11,48
2024-08,35,6,1,13,48
2024-09,29,6,1,3,47
2024-10,34,5,1,11,48
2024-11,37,5,5,11,45
2024-12,31,5,3,4,49
2025-01,25,5,9,8,60
2025-02,25,5,34,16,71
2025-03,35,6,37,5,63
2025-04,34,5,90,9,63
2025-05,73,5,22,10,65
2025-06,64,5,13,3,67
2025-07,25,5,19,10,71
2025-08,41,7,23,26,100
2025-09,26,6,8,4,96
2025-10,27,6,9,12,93
2025-11,26,6,7,14,85
2025-12,29,7,6,4,84
