Категорія: Усі категорії

Місяць,iPhone: (Увесь світ),ai: (Увесь світ),election: (Увесь світ),trump: (Увесь світ),stock: (Увесь світ)
2020-01,22,2,1,6,7
2020-02,20,2,3,6,8
2020-03,18,2,2,8,14
2020-04,21,2,1,7,12
2020-05,22,2,1,6,11
2020-06,22,2,2,10,12
2020-07,22,2,1,8,11
2020-08,21,2,1,9,10
2020-09,22,2,2,8,10
2020-10,27,2,4,15,9
2020-11,26,2,100,24,11
2020-12,25,2,3,7,12
2021-01,22,2,3,13,16
2021-02,20,2,1,4,17
2021-03,19,2,1,2,13
2021-04,19,2,1,2,11
2021-05,19,2,4,2,10
2021-06,19,2,1,2,11
2021-07,20,2,1,2,9
2021-08,21,2,1,2,9
2021-09,28,2,2,1,8
2021-10,24,2,1,1,9
2021-11,23,2,2,1,10
2021-12,24,2,1,1,9
2022-01,23,2,1,1,9
2022-02,21,2,2,2,10
2022-03,22,2,4,1,10
2022-04,21,2,2,1,9
2022-05,21,2,3,1,8
2022-06,22,3,2,1,8
2022-07,23,2,1,3,7
2022-08,21,2,1,2,8
2022-09,28,3,1,2,7
2022-10,23,3,2,1,7
2022-11,23,3,10,2,7
2022-12,24,4,2,2,6
2023-01,23,4,1,1,7
2023-02,22,5,1,1,7
2023-03,21,6,2,2,8
2023-04,21,8,1,3,6
2023-05,21,10,3,1,7
2023-06,22,10,1,2,7
2023-07,22,9,1,1,7
2023-08,22,9,1,3,7
2023-09,30,9,1,1,6
2023-10,24,10,1,2,6
2023-11,23,10,2,1,7
2023-12,23,11,3,2,7
2024-01,22,11,1,2,7
2024-02,21,12,2,3,8
2024-03,21,13,2,3,8
2024-04,21,12,3,2,8
2024-05,20,12,3,3,8
2024-06,21,12,12,3,8
2024-07,22,12,3,14,8
2024-08,22,13,2,5,9
2024-09,30,14,2,6,8
2024-10,24,15,5,6,8
2024-11,23,15,33,16,9
2024-12,25,16,1,3,9
2025-01,23,16,1,13,10
2025-02,22,19,2,10,10
2025-03,22,19,1,9,11
2025-04,21,19,3,8,12
2025-05,21,19,2,5,9
2025-06,21,20,1,7,9
2025-07,23,21,1,6,10
2025-08,25,25,1,8,14
2025-09,36,37,2,7,13
2025-10,28,32,2,6,13
2025-11,26,29,5,6,11
2025-12,25,25,2,3,9
