,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_3_news_lag_1,0.012311143660113457,0.057431247,0.0164052122454925,35,3.8686490707558012,0.029198412753584053,0.018470396817082204,0.053024046
kw_3_news_lag_2,0.007489745094697249,0.06956831,0.01452215923039746,26,3.717591430975724,0.03497205792343059,0.01608411846897485,0.06377004
kw_3_news_lag_3,0.010318007413791437,0.04326527,0.0029336160723500318,4,2.408103830809978,0.03709877167002639,0.01720711279816164,0.077235915
volatility,0.11962694684369028,0.064609945,0.10690812826994621,85,10.765936296151374,0.10462616713258807,0.09431684374619538,0.07292989
kw_3_news,0.01280385845976272,0.052041367,0.013183628062365876,19,2.896796596409476,0.03814178288282038,0.017734898064802256,0.07507041
momentum_10,0.0997442894839662,0.06587709,0.11084052683057082,55,9.695159492621451,0.1464150055501965,0.08383309993719502,0.061016638
sma_5,0.08625148508209093,0.0649567,0.07484571417250101,50,5.683089457207103,0.03999397090482646,0.08356672975800852,0.062439475
stoch_k,0.04916491804407129,0.0682833,0.037852656950911036,40,6.619266781109594,0.0481556634225131,0.05692064192021408,0.067485325
log_ret_lag_3,0.1028922693801694,0.08343867,0.13706645822385127,61,7.939609035811685,0.11838356129267964,0.09720533825728261,0.068556316
volume_ma_20,0.09256825187195894,0.07991627,0.10009622759704737,70,7.218587661720676,0.08594258565525575,0.08277319846299185,0.069553055
volume_lag_1,0.08368469604348602,0.06776631,0.06062970685701607,119,10.7873366936707,0.057074564195481736,0.08399738311559478,0.06868019
qqq_change_lag_3,0.10198635659892313,0.07447407,0.078232252539005,74,7.714615076219997,0.08219875339896143,0.08212980378948889,0.066768706
log_ret_lag_1,0.07698198431708332,0.06647837,0.07321147230737045,76,5.987745201141756,0.05526522577220687,0.09325941732812215,0.06423581
cci_20,0.05438780314581575,0.073149316,0.03955483122221273,45,5.881057372416529,0.045037283206163084,0.08356077808456368,0.06084985
volume_lag_5,0.08978824456037979,0.06874379,0.13371740941896224,66,8.816456002978159,0.07749619423926586,0.08894023945132205,0.06838445
