,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_3_search_lag_3,0.03661703676048927,0.04498262,0.03197491851118729,60,7.707218211429614,0.06856053306011305,0.04998742468376141,0.060567986
cci_20,0.06405356519252307,0.049575705,0.05294779457972394,82,4.760265410944701,0.046281313893844864,0.0804218770208254,0.06406432
bb_upper,0.087366751457164,0.061035898,0.10276848795362235,63,6.342782828040729,0.04428599657365131,0.08095594501422833,0.06152104
qqq_change_lag_2,0.11701392885697462,0.07303755,0.14989522015821063,116,10.237095880862801,0.11250515958525549,0.09078285944450828,0.06133199
volume_ma_5,0.09745243802682911,0.081090115,0.07426140221232293,130,10.324526766084567,0.08342334796753022,0.08663996610513185,0.07018154
rsi_14,0.065156742615974,0.073239766,0.06764065617304092,74,6.814495473346072,0.05549037924423692,0.10064807439527082,0.07285484
snp500_change_lag_3,0.10128963382485516,0.07354336,0.10031988774522986,124,7.954304232266381,0.10069006519414901,0.0896180878950077,0.07136924
kw_3_search,0.0264091698092277,0.06228666,0.020509911370390335,50,2.7002845116264704,0.041039174273947564,0.049541700366282006,0.06702949
kw_1_search_lag_1,0.050746326086859334,0.06840305,0.04299407684047023,51,5.704478486505542,0.05048849729130434,0.05555994389979237,0.06561489
qqq_change,0.1392325323366677,0.08370424,0.11860031084848403,120,16.27341071516352,0.11404814136399591,0.09550936095075023,0.07560037
momentum_10,0.1106248321653937,0.08646441,0.13332645407341967,114,11.34534033665282,0.11221879853242905,0.09479437662496505,0.07278216
log_ret_lag_3,0.08684048214350881,0.07598575,0.08751173174622826,83,6.198073177494446,0.1144035743408926,0.08293620922409929,0.061351962
kw_1_news_lag_3,9.846793023875558e-05,0.04150019,0.001320737168119003,0,0.3137062365288656,0.00803057109718243,0.0031100730864880004,0.062181566
kw_2_news,0.007509157457613135,0.060536075,0.006435607023245421,10,1.3248080430652334,0.021908636541228304,0.021451560110032172,0.07038916
kw_2_news_lag_1,0.009588935335681614,0.06461462,0.00949280359630529,16,1.9992096899882068,0.026625811040238784,0.01804254117885709,0.063159525
