,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_ma_5,0.077923324295178,0.050653733,0.07077501876450815,105,6.403533175654888,0.0665587954531369,0.09484953967413517,0.06342394
volume_lag_1,0.08787006072587485,0.05870449,0.08807995543172745,85,6.636980262819254,0.06632332462242468,0.09410886486508913,0.06933984
bb_lower,0.14272802904711368,0.07449956,0.13581718847834687,136,12.672006372755314,0.10314607389248037,0.10963514929598941,0.067694
kw_1_news_lag_1,0.011690211128094026,0.057587586,0.006062207613267301,8,4.291478487900925,0.037873175136093076,0.012720091962032262,0.06187491
kw_1_search,0.021249318924961645,0.07004891,0.020369984190605064,17,4.066951853415223,0.05812273736281132,0.036407639984092334,0.06030951
log_ret_lag_7,0.10895783310753228,0.06400929,0.09854386558296954,116,7.363050147364767,0.08673317620437503,0.09841091197596018,0.056347232
kw_1_news_lag_3,0.007101805810812672,0.045408733,0.01529351275029561,4,0.641569827971348,0.03302059611470119,0.014074718071795172,0.07326883
volume_lag_5,0.10379497753338889,0.076992914,0.10148385966842123,102,9.411252017892538,0.08099931371679227,0.10663419026401165,0.066989884
day_of_week,0.030135351024523024,0.071903504,0.022456014369390053,32,7.1709913575283215,0.06133168081483668,0.0435539764449378,0.0656738
log_ret_lag_14,0.12134809455311374,0.07620619,0.11631876430348745,114,12.650968233688562,0.1191307084707165,0.09840876457725446,0.069885306
atr_14,0.1237988675208513,0.08313414,0.12159903847784251,120,9.696402065997484,0.08750928288567998,0.09059214048952205,0.05557088
log_ret_lag_15,0.09992826102349014,0.066639096,0.1272044640097027,90,6.286976901752554,0.06912098461658465,0.09634459976742779,0.06165485
kw_1_search_lag_3,0.022513882646724222,0.07076811,0.03437770013404125,23,3.6955439113251485,0.052706407481624286,0.03286535177988064,0.058955196
earnings_week,0.004778449617942828,0.061105516,0.0037031870459546933,4,2.6353690541084616,0.018082948449978986,0.007166501141254977,0.084564365
month,0.03618153304039889,0.07233815,0.037915239179440216,32,6.376926329825204,0.05934079477776425,0.06422755970661713,0.084447496
