,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
sma_5,0.07861820080983199,0.04224905,0.07569217436937266,68,6.0838543883371266,0.05374324483642123,0.07881576768071331,0.06342765
stoch_k,0.05942622541526484,0.05676948,0.07937507386890225,52,4.169054995373037,0.061734432596729755,0.06228149275754815,0.07001908
kw_3_news_lag_1,0.02833891170303531,0.037578624,0.013223404751433228,23,4.478724007646595,0.04720908613485289,0.03029425177639662,0.057775296
volume_lag_1,0.07098347243090014,0.055232763,0.06502600473818315,59,6.5801611495951,0.06572566040542065,0.07422238399528683,0.058500357
kw_3_search,0.05413324020672732,0.06567726,0.04905028689219837,59,7.874960499282684,0.0626127763076143,0.060700170996481714,0.08156602
atr_14,0.08773341979079412,0.06232015,0.08546214669896401,113,9.520006529717955,0.06776926307703679,0.08404165672890249,0.062172793
earnings_week,0.013342889417270182,0.11190001,0.01683642385952863,19,7.309155439761469,0.03465833585303095,0.008069834816171174,0.077133894
volume,0.09227165157512346,0.077557854,0.08097200106200891,85,6.803183442896783,0.08961737726063913,0.08766898369808994,0.06198371
snp500_change_lag_2,0.1010576100075252,0.07324337,0.090033445248931,71,8.65340819906343,0.10366705553420892,0.07653061538514239,0.056270126
volume_ma_5,0.06696482034365697,0.068763785,0.06535407510979523,104,4.939388407907151,0.06021005682874882,0.075039676174544,0.0688384
month,0.026273523229955065,0.06388658,0.024276536712988853,25,6.79620822215495,0.045852440344412715,0.03774768076380103,0.06875166
momentum_10,0.07520496689281517,0.07562709,0.051328752872012454,50,4.680097438419445,0.06376826730956636,0.07513018784282095,0.06744913
rsi_14,0.088400319088701,0.07015561,0.10858882056733217,93,6.1708264732156515,0.061476657686178,0.07990658116048978,0.07034409
snp500_change_lag_1,0.07521783323202082,0.06919291,0.09214740911466594,72,7.805901470748727,0.07816246431518074,0.0897233369873674,0.06917718
rolling_kurt_20,0.08203291585637845,0.06984536,0.10263344413368326,117,8.135069335879882,0.10379288150995897,0.07982737923624422,0.06659051
