,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_2_search_lag_2,0.051560819184474777,0.05279497,0.06222708888387132,60,7.6372292241373145,0.06832982085790396,0.053883227715730606,0.07331514
stoch_k,0.08007609076309832,0.052323252,0.06776277779625113,77,9.054311259070568,0.08487313248803227,0.08536136209264937,0.08257019
kw_2_news_lag_1,0.030018400096513687,0.06546411,0.03988683942131181,25,5.275234413170059,0.07289993612833956,0.039539967166375076,0.07303342
volatility,0.13236526818394093,0.06260393,0.1412838834256829,169,11.605081825778564,0.10161833743277382,0.11562248958452896,0.071495906
kw_2_search,0.03894472252451737,0.067701206,0.04217480256771875,52,5.125439527698556,0.05736437244803396,0.05287322110857378,0.06933031
log_ret_lag_1,0.11188721647147945,0.06495604,0.1038408962337773,120,8.075523428390165,0.06752978564782311,0.10608350467879626,0.07136945
macd,0.12244459667640632,0.071293935,0.09493458192595453,124,6.051881632227361,0.07452690677822751,0.09483205790461152,0.06475677
kw_3_news_lag_3,0.004010472409944756,0.059238084,0.002859588606689276,7,1.141442068931609,0.02142811353323909,0.001881229794467517,0.0
volume_ma_5,0.10137134888184901,0.07482263,0.11021112977982636,138,9.746181610750423,0.07437541591126878,0.10325389723956256,0.06958968
rolling_kurt_20,0.11714775306919076,0.079798125,0.12609060877551076,125,12.936897195320766,0.06828738286509618,0.10709073996310998,0.07888158
month,0.029213276249320578,0.06260117,0.032541463316315945,45,4.105789502983812,0.04585194879454499,0.04130391898931047,0.06697908
kw_2_news_lag_2,0.03242038281026695,0.09165888,0.027263126302103462,32,6.276956024857723,0.07865863765789628,0.038363989389151774,0.07423871
kw_2_search_lag_1,0.042499092876640034,0.07847333,0.0477892305226853,24,5.451953477222603,0.06597305495737402,0.0507142753020626,0.06933019
kw_3_news_lag_1,0.001060344287171327,0.039922252,0.00048200402947780503,0,0.5334310422500069,0.007283407810308525,0.0025906299805092212,0.06864641
cci_20,0.10498021551518573,0.07634811,0.10065197841282335,107,6.982647767210479,0.11099974668913784,0.10660548909056033,0.06646308
