,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_ma_20,0.05908660471950202,0.045909964,0.06610085629108094,72,7.494487968985534,0.061208983551447466,0.056073881321706806,0.062185198
sma_20,0.08979239639645703,0.06612274,0.0849768050361395,96,8.806907775690094,0.08232808007030412,0.0784838769138894,0.07997536
momentum_10,0.08956605401770114,0.07726229,0.11583578087373371,80,10.347000069562162,0.09674489595054475,0.06741132498297822,0.061786946
volume_lag_5,0.04521484179038398,0.0468839,0.02514763507274822,48,6.514127769213221,0.03643400011763987,0.06167725573146933,0.060993567
volatility,0.06449839008701004,0.065273866,0.0829895340524771,56,3.860840328284367,0.1003340734090507,0.058504545369120385,0.06516929
atr_14,0.05816637444589199,0.07003272,0.055730802195236386,112,4.511086305957196,0.06715019200717233,0.07129372338045206,0.074655846
snp500_change_lag_1,0.0732858605787845,0.07353572,0.07177658851932012,90,6.538386503998682,0.06913256170084105,0.06747388577380357,0.058958657
log_ret_lag_7,0.059196444002164,0.06658927,0.04629903389973481,110,4.425065758699236,0.05922376629113371,0.06199540958170916,0.07203971
macd_signal,0.06906772430813911,0.072551094,0.07166425400494379,79,5.929529093892633,0.05584739830256024,0.0690266678939437,0.07194864
log_ret_lag_30,0.08002903430411067,0.079994425,0.09119792597647719,78,10.55768034665122,0.08453153404481503,0.06382588030360742,0.06366916
log_ret_lag_3,0.0856128449556559,0.07105703,0.08500029383002682,77,7.155150254912353,0.09715831807506696,0.0679184906864933,0.07173655
log_ret_lag_14,0.06330453476182796,0.05871375,0.04653386030662465,70,5.778549548831338,0.046566903850247414,0.06956068925205837,0.06476317
volume_ma_5,0.04676119710850023,0.0712766,0.030942068673788542,69,4.913175599140674,0.038638994891615604,0.06533690536023117,0.060703207
log_ret_lag_10,0.06164334067084617,0.06916253,0.05916429019013137,100,7.933753507440915,0.046196739654934385,0.06920588108215675,0.068558425
log_ret_lag_20,0.05477435785302511,0.06563405,0.06664027107753707,78,5.234259168740371,0.05850355808262634,0.07221158236638017,0.06285626
