,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
bb_upper,0.06336377785743624,0.046395354,0.06726480130525736,69,8.79597260861151,0.07700720773439385,0.06468433287149321,0.06769961
volatility,0.06589688433118017,0.053389642,0.07053016481287495,81,6.969758657370131,0.07244161372868538,0.06989201047316393,0.06899973
atr_14,0.05806719865147842,0.06594739,0.04294926952605772,77,4.942734148670456,0.05314622025850526,0.05847679748069772,0.058830794
stoch_d,0.055220033961358383,0.060985338,0.05411753908447366,59,4.990422917437283,0.04419155155667521,0.06816936764615616,0.07101355
volume_lag_1,0.05855548885083427,0.056180872,0.05948626445814393,88,5.110326693669082,0.05500562219901878,0.07121588153795616,0.06943779
log_ret_lag_3,0.08410620884179287,0.06331602,0.1142255084689894,74,6.8547576907888645,0.08739026516794163,0.06459670401186841,0.064650565
snp500_change_lag_1,0.08817898663469803,0.08062799,0.0782791426110993,112,7.540250644984495,0.08422436387180038,0.07236478037351966,0.069680855
sma_5,0.06325891540048953,0.084529944,0.06947806003343375,59,7.5306934632309135,0.08246767879663777,0.06710836855590974,0.06840487
log_ret_lag_30,0.07050987934261826,0.06456373,0.07142243435823846,82,8.303316407261645,0.07474072433270273,0.0648548528455178,0.05880563
log_ret_lag_21,0.0788884004560675,0.07322218,0.0789008063895593,81,9.25444945357024,0.0756168372204434,0.06814448528756957,0.06663208
log_ret_lag_20,0.058371283436742534,0.06206155,0.035170245150058926,53,5.797056779329224,0.04083749319931892,0.06419907124774099,0.066117235
log_ret_lag_15,0.06631251649025832,0.067308076,0.06569383049233861,102,5.404529901187366,0.0441816055090326,0.07270870165428082,0.07094727
rsi_14,0.049752688220564924,0.070693046,0.04759593133242212,63,4.39933640117573,0.04090088844125827,0.05963634534329283,0.06231127
rolling_skew_20,0.07027521798362774,0.06889363,0.07525553647273374,52,5.233587060939973,0.06979362767930708,0.062489462504035066,0.067127
volume,0.069242519540853,0.08188525,0.06963046550431863,78,8.872807171773069,0.09805430030427875,0.07145883816679806,0.06934184
