,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_2_news_lag_1,0.005196973397179321,0.04175322,0.008942156203267757,10,2.702270039808869,0.030522437316274735,0.0036175040271534246,0.0675852
volatility,0.09613967201837316,0.06548031,0.12289544192533497,136,13.594669681356503,0.09289960297472032,0.08694627679259903,0.06601799
volume_lag_1,0.06868279841781001,0.06969908,0.06216631278062326,81,8.093608180764084,0.12171393853855193,0.08116599793892097,0.062080685
macd,0.1265829332300457,0.0756144,0.13811658225968104,99,7.897720289798637,0.08240497587700134,0.08307454565660792,0.061237216
kw_3_search_lag_1,0.02484000791169372,0.062513135,0.03124546501999043,46,5.224347870562413,0.07044308616013745,0.03881025424092112,0.072298385
qqq_change_lag_2,0.09313796037053194,0.059737794,0.12528066211812985,80,7.554294710158696,0.06603699413522754,0.08183863495594348,0.062046017
kw_2_news_lag_3,0.005848237939628965,0.08469061,0.0032397291354180867,6,2.741554062841534,0.016000154629387052,0.0044238733127092205,0.08506802
kw_2_news_lag_2,0.0038670209654358763,0.07305773,0.005783536678754396,0,1.6334064235218517,0.019421313073233734,0.004661906837103238,0.08458349
log_ret_lag_3,0.09909137295094853,0.06359757,0.08979088632719903,113,10.904937888224971,0.0770747401240574,0.0974186514037671,0.06104561
rolling_skew_20,0.10359303902643022,0.07531327,0.07096666868219302,78,9.58204818696066,0.0856531292123562,0.08709256089422095,0.06522021
cci_20,0.06604047283405173,0.067032546,0.06560405705197192,73,6.790548042973113,0.07129614705071555,0.07993460736166351,0.061735682
log_ret_lag_5,0.08631999097852243,0.057181146,0.05740563578952453,76,5.022883794216081,0.05769336117169026,0.08849277382370964,0.060736485
volume,0.07648702709443725,0.067786075,0.07400081076149093,84,6.3647230951933365,0.08653652780754592,0.09023031416268779,0.06328205
log_ret_lag_1,0.06640118888562993,0.071196824,0.06444227581366235,80,5.480504814389574,0.051092766298049125,0.07579440047116587,0.06262446
volume_lag_5,0.07777130397928117,0.06534643,0.08011977945275844,61,6.412482919229675,0.07121082563105147,0.09649769812082684,0.06443845
