,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_ma_5,0.059370267648930726,0.037286337,0.05666614252484681,53,5.631729566501101,0.06633980808163496,0.06365387523483194,0.06414711
snp500_change_lag_1,0.07455254658762814,0.05558123,0.06760850567443634,82,5.31855366182123,0.08554066143140773,0.07082543697520645,0.065036036
volume_lag_5,0.06104318514006052,0.061967745,0.058301972227564565,74,6.461662047881702,0.05674945909709235,0.0725254446238441,0.07381604
log_ret_lag_30,0.058880760558730046,0.060355213,0.05343565684322029,59,7.561598497317873,0.06915796687651075,0.06926226078028153,0.06424315
log_ret_lag_5,0.05288235298182533,0.062129207,0.04782174732705584,70,4.7296325584746475,0.04956957394254504,0.06091146941670668,0.05986313
macd_signal,0.05754263200679987,0.059896667,0.05009783110173065,44,4.736821720174487,0.0712052884712669,0.06667287070661691,0.077021055
rolling_kurt_20,0.07712967329194503,0.07877594,0.07863643212919871,81,7.164765740184681,0.0634234283109295,0.06252397527198977,0.06025086
snp500_change_lag_2,0.06135018809641138,0.0651532,0.06615629430762564,72,6.650696849109528,0.06198940408798413,0.06283704491223553,0.0701462
log_ret_lag_2,0.08482102754331194,0.07679186,0.07971976209168487,86,9.067224685557315,0.0923031390298012,0.06942808476120875,0.06655899
sma_5,0.0715951419954909,0.07913379,0.0719333554533691,54,7.784587780536652,0.05804033856206104,0.0655725054315748,0.06929317
volume_lag_1,0.061095560561862924,0.072750166,0.059213617872274776,96,8.582446247685107,0.059181716592081816,0.06833416669058141,0.071683206
log_ret_lag_10,0.06341299783731957,0.06719653,0.08330776774800694,73,6.94513081412548,0.0588367371353042,0.06847649692762212,0.06792821
log_ret_lag_7,0.059212425455127074,0.06588102,0.0429575123746632,54,6.441964235378578,0.050188822532649724,0.07068511860863232,0.0638834
log_ret_lag_15,0.07287876299295583,0.07580905,0.0871970907726594,64,7.355664317508891,0.07925106258456177,0.06434421056683348,0.06291197
log_ret_lag_3,0.08423247730160062,0.08129209,0.09694631155166294,79,5.567521277742704,0.07822259326416896,0.06394703909183418,0.06321755
