,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_3_search_lag_1,0.05119920078549879,0.040839765,0.05293867392650725,77,8.499757655286414,0.0723450569088888,0.06482309691823797,0.05636965
volume_ma_5,0.1386661428682694,0.07209503,0.16977030908023844,146,14.141396292382524,0.10876996147222634,0.10989322372403051,0.06972106
kw_3_search_lag_3,0.04988541222637467,0.06846131,0.04086265044896678,76,6.577929380515175,0.06913807762341469,0.06671033783809857,0.07263137
kw_1_search_lag_3,0.004850731551438374,0.03572265,0.0025170247732446654,4,1.661408101378899,0.022978946886840452,0.01277898715249302,0.06536611
volatility,0.13182048265976168,0.07130508,0.14019835605645684,138,9.924259160289427,0.09332324643683228,0.11286457793879573,0.06977393
kw_2_search_lag_1,0.016543705335899245,0.062371455,0.008470988721771626,28,2.8143996586052475,0.035018404973029736,0.02869781579909976,0.06385459
stoch_k,0.07350410453587751,0.06768579,0.0535982374007986,101,4.939846986018862,0.08120635342355374,0.085528986415522,0.06694997
kw_3_news_lag_2,0.012472878604230917,0.05800217,0.007912005371564985,19,2.9412980664752295,0.049893959533542524,0.016809992265234146,0.052408706
log_ret_lag_2,0.1309137658259706,0.071053445,0.10819443566431129,139,11.366713277212071,0.0948096932956695,0.11781339415843277,0.07419377
kw_3_news_lag_1,0.012255079129619355,0.08742377,0.01159966615018145,1,3.44822034909919,0.0503776108691648,0.018169278967212366,0.053516824
momentum_5,0.10658895493048545,0.07611036,0.09494327995305515,160,6.8941001134873074,0.07875929305583301,0.11898200057966492,0.067697264
earnings_week,0.006320605214362859,0.061788045,0.005725958409470298,8,2.941021915368558,0.022253298230769835,0.010674502724170993,0.080847465
volume_lag_5,0.13252153924599674,0.07819776,0.15735684590794116,142,10.667833188329118,0.10150661766694093,0.10674832762110768,0.063800216
kw_1_search,0.0047237606959387,0.07598809,0.004941563647593172,5,2.4446175647407404,0.0198960115016657,0.016532224240526052,0.07254316
snp500_change,0.1277336363902757,0.07295525,0.14097000448789823,120,10.737198290811223,0.09972346812162773,0.11297325365737368,0.07032598
