,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
sma_5,0.08598789244377665,0.046991717,0.1017840782400075,95,8.51586292078784,0.07816266947550597,0.08258588783772412,0.06506025
momentum_5,0.06403561275413197,0.04997421,0.052087717304133446,78,5.6968244540942425,0.057784868355756795,0.06854996225478692,0.06616051
kw_1_news_lag_1,0.028448620936892873,0.05673269,0.017516116761895455,33,3.472618502914607,0.06717291001597,0.026542511182669835,0.05515584
stoch_k,0.046385452764243496,0.06472377,0.049765043713711786,95,4.882307877294949,0.055187318656778006,0.05658132637148365,0.07266875
kw_3_news_lag_3,0.028555232087208712,0.058406938,0.03546103324060623,40,4.897354238341653,0.0729610401409678,0.03350156974130724,0.07405384
volume,0.08123403556703251,0.06596284,0.07472259357254131,97,8.0282411616941,0.08173839440503748,0.08627734793906677,0.07248445
snp500_change_lag_3,0.09921666697736568,0.07195976,0.09487565976428043,102,7.361994357097418,0.09706747259181166,0.07604710572093332,0.057917655
volume_ma_5,0.06494474646103106,0.07573841,0.05764828739044149,97,6.781853156397329,0.05635771724876217,0.0719352755201404,0.06582047
log_ret_lag_1,0.07732795263516247,0.069517665,0.0715708166297496,90,7.144874570402046,0.05677333322447327,0.07437789841396455,0.06290247
log_ret_lag_30,0.082734967389724,0.07553747,0.10779150886076981,138,10.338839607962486,0.08132628466902866,0.07623667020804144,0.068572015
log_ret_lag_7,0.08421308991673246,0.06847939,0.09006582002823604,117,7.360323696391743,0.06787644600975065,0.08156687147212242,0.0768925
kw_3_news,0.032634113668660994,0.0809526,0.022132721648867683,39,3.547943198309392,0.05126162328602501,0.032795262880639275,0.055932198
log_ret_lag_15,0.08017964615184964,0.065793745,0.08202156910468773,116,8.803201515142455,0.06856365282868429,0.07581998765324577,0.07006788
log_ret_lag_2,0.07058185793510242,0.07090996,0.06604916993619166,89,5.759822661146172,0.048720287618646774,0.07733867227049343,0.0685049
log_ret_lag_3,0.07352011231108518,0.07831887,0.07650786380387985,89,7.407938082023567,0.0590459814728015,0.07984365053338092,0.06780617
