,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_3_news_lag_1,0.0060874617266926155,0.05112406,0.01121130719532187,15,3.6091711563313327,0.021040510366444692,0.006373716370535481,0.07531453
kw_3_news,0.005429338824024576,0.04648089,0.0062355829749996365,4,1.4035590234680002,0.028648439427434273,0.005002693946537133,0.032459956
kw_1_news_lag_3,0.0024662578773950923,0.049586326,4.1312594178171224e-05,1,0.6203664612352259,0.01939946354929595,0.003306870432342125,0.045535356
kw_3_search_lag_2,0.047214640629574006,0.05899047,0.05213416943731188,77,6.950231097518485,0.05302471008925165,0.0750033519119471,0.07025832
kw_1_search,0.01913508801335121,0.058119494,0.025176238864775536,18,6.978389264995018,0.06166234524650483,0.022892720296921278,0.06942777
sma_5,0.16287894335092024,0.06930416,0.16781896964508008,154,9.465720104010192,0.08092664096124011,0.12098202295836659,0.07277051
stoch_k,0.0786300085476143,0.06704033,0.05560665364312673,73,6.487479158369306,0.08014285064328693,0.0853316458070249,0.06699646
log_ret_lag_7,0.1554120009073186,0.0773405,0.1747208393321715,154,18.245264162798264,0.12393711558529935,0.12687858748110778,0.07287759
month,0.03633039269005636,0.06520487,0.02793336205791668,32,5.721800624376192,0.06537322651855891,0.05402176687743074,0.057172026
cci_20,0.10158961012510762,0.082071625,0.14217272545352852,113,10.154868284900852,0.0720299798417673,0.12452893393932865,0.074966244
rsi_14,0.10788367600773037,0.06921078,0.07748214459503246,122,6.50576650425769,0.08533846767400181,0.1121700068454443,0.06840838
volatility,0.142100517643594,0.081459045,0.15497247991439392,176,10.463446381550877,0.14738124545569817,0.12025699270131072,0.07448711
kw_3_news_lag_2,0.002095240793009277,0.044553544,0.002325458999474642,0,1.1146017219783333,0.018150818543234082,0.00655538272392913,0.07997595
kw_1_search_lag_2,0.015319424712771913,0.10719255,0.017326907416755126,31,5.8364914496105476,0.046430197073190224,0.020204721020592165,0.07047609
volume_lag_1,0.11742739815083982,0.072321445,0.08484184787593314,156,6.4428446045996965,0.09651398902479189,0.1164905866871821,0.068873584
