,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
earnings_week,0.01598697074193376,0.067099065,0.013752979291555029,27,6.127369221743761,0.03346109748165679,0.006372799174503258,0.06291612
bb_lower,0.07199743904490198,0.043254152,0.05880006434369587,85,6.600930799854904,0.05736977583550164,0.08275558975081987,0.070615314
log_ret_lag_30,0.07993285404902227,0.049964588,0.08425074762199132,63,6.762859396357695,0.06582829207450915,0.07838762477471065,0.06287164
log_ret_lag_20,0.0827024491524802,0.056001548,0.08266779210288436,87,9.276982066582045,0.060873487263897956,0.08605619408928097,0.06610789
log_ret_lag_5,0.08482640865576144,0.060596146,0.07949969844708464,91,8.144350311515048,0.06223298849762496,0.08255755509860993,0.06086477
log_ret_lag_3,0.0753498260878701,0.053729344,0.07245525299245144,74,5.23199909688626,0.04957497793370105,0.09420527086540192,0.06908214
volume_lag_1,0.05981284967913538,0.05976332,0.0643217487755176,85,5.205667217921617,0.05002636900316171,0.08622013957278214,0.06438355
kw_2_news,0.004634546538317308,0.119949214,0.002210633902718088,1,1.9431540185373912,0.0282819897770456,0.006947882738652496,0.100600496
kw_3_search,0.04259067918663976,0.0571837,0.041051308510945614,52,2.877614897669112,0.0339538729038684,0.05609389155540161,0.067205615
log_ret_lag_7,0.08341072259156723,0.0662192,0.07543972409570769,61,7.152119375460776,0.0807074694066014,0.07420433704627101,0.058076467
volatility,0.06717221023246682,0.059351526,0.06477828122301964,69,7.182596301201048,0.06734881972821978,0.08459780472902254,0.067279935
snp500_change,0.14546412019165733,0.07587422,0.16089657180628278,156,12.817073077682835,0.16204040049264712,0.08438697971277707,0.06536315
volume,0.08668775974238167,0.07888897,0.0990590923398583,98,8.471408453301978,0.12192784725427651,0.08723399525238791,0.06193139
momentum_5,0.08665596783480099,0.067456104,0.07649351795316442,116,7.099866414800163,0.0765839812643972,0.08353650434768059,0.061106235
kw_2_news_lag_1,0.01277519627106386,0.08466888,0.024322586593123315,13,5.106009350485352,0.04978863108289085,0.006443431291698144,0.061595228
