,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
qqq_change_lag_2,0.0881448520286933,0.04326592,0.07836578434245137,84,6.982025113698399,0.07970555598601417,0.0663950312266177,0.06363036
log_ret_lag_10,0.07727736592092233,0.05651171,0.08398424070012644,79,8.915468388947863,0.09144909044577867,0.07061938224238007,0.06991272
volume_lag_5,0.06008780709899462,0.054534353,0.05994809829481468,65,5.205947487663402,0.06948595256632617,0.06469423333698078,0.06677774
log_ret_lag_5,0.0679660903598012,0.05913004,0.07808164031355397,72,6.821567275581629,0.06396160160390778,0.07346615605848189,0.07122255
atr_14,0.06142475683314127,0.07216512,0.06608772410947818,72,8.754848806315243,0.059544852673126154,0.07216605480950744,0.06917898
day_of_week,0.01595694219679429,0.056613065,0.01183976992560299,18,3.4960882274689475,0.041555888172674936,0.029563529432320813,0.05714016
log_ret_lag_21,0.07406275340843033,0.07425147,0.0693204945557464,79,5.646762958981442,0.07865540577107669,0.07270809249324409,0.065704554
stoch_d,0.040974178925646094,0.061647497,0.030718602930478,51,8.30317419989082,0.050568623684001085,0.06501895271005843,0.0651979
cci_20,0.055706984349097786,0.072823994,0.09263315684560171,86,4.969419511366517,0.08952614539274821,0.07096774894561066,0.06764145
log_ret_lag_14,0.07872782140495177,0.07028436,0.08413314751720335,76,7.7029637858002,0.06523786232057086,0.07254192094946187,0.06692178
log_ret_lag_20,0.053117343313829106,0.062185414,0.03681902952048425,48,6.959490592817985,0.045031803337157325,0.07280491507474729,0.070416234
volume,0.08674404764935197,0.073574275,0.09036766932654294,72,5.474390959279659,0.0970592635130556,0.06989042505286555,0.06352684
log_ret_lag_7,0.0668660709491176,0.063622124,0.04320036246661624,58,6.571256916466737,0.051579869385674444,0.068392539740776,0.06536235
bb_lower,0.12364548077444416,0.100900695,0.13235282435276707,118,8.861313200313234,0.0644934417584877,0.06561984244290414,0.068361096
momentum_10,0.049297504786784345,0.07848998,0.04214745479853237,70,5.33528257540793,0.05214464338940025,0.06515117548404334,0.06900537
