,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_3_search,0.03750139864336645,0.0497512,0.047885558183929325,76,7.780660382205103,0.0686465860841778,0.06023265805158335,0.06243521
earnings_week,0.02585882261170987,0.1020436,0.024519042665017383,23,9.504489181361542,0.025700920628263613,0.004721478693957039,0.068373606
volume,0.1094131237008901,0.061931383,0.10793372557308978,125,8.829388110674898,0.09357128877901981,0.08448235744670524,0.065729804
kw_3_search_lag_3,0.032354884507499716,0.066674724,0.04471450887282378,38,3.3273322999410273,0.05494165044552277,0.052182050553600916,0.06546936
sma_5,0.12160529499489617,0.07401463,0.12200041375037217,82,11.574732528329413,0.07757805067778101,0.09716657864815387,0.06710875
rolling_skew_20,0.06940915472882733,0.052590843,0.05811265559170317,87,2.9902257337292486,0.04392535297239946,0.09617499757565293,0.0622597
day_of_week,0.030078122753509136,0.06841559,0.035657522874125214,34,7.542703732752312,0.0743284288376948,0.03977974067644972,0.060015347
kw_1_search_lag_2,0.021540834836871667,0.06568439,0.02602880320168873,14,3.524145938055354,0.04822186913285389,0.018174440712071683,0.0590826
snp500_change_lag_3,0.09506875142429493,0.06832849,0.09327339726769729,146,11.824622839871063,0.07341291417361606,0.10167387952495911,0.07456336
log_ret_lag_10,0.11665962639860335,0.063808404,0.07792256202361483,64,6.889993181908695,0.08769621527899582,0.07944802259746842,0.06700757
kw_1_search,0.013560345889666,0.053415287,0.012338241260695073,7,1.7697026184429518,0.05104251327728376,0.014889185186933749,0.07769041
rsi_14,0.06823616553504619,0.07508404,0.08621530227019851,101,7.218392018793879,0.06334162818440156,0.09014669061415109,0.06520991
volatility,0.08933991220074351,0.06976108,0.07510897213288474,121,7.7975704778553405,0.08972714145418857,0.09199695430949235,0.06391005
log_ret_lag_1,0.11266873787280265,0.067020655,0.1356242336057122,116,5.607531504849556,0.08704082870945855,0.09616066284051528,0.069999844
stoch_k,0.05670482390127273,0.061475698,0.05266506072644797,88,3.8185094512296014,0.06082461136434249,0.07277030256830536,0.071144424
