,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_2_search_lag_3,0.029455141407919255,0.048039846,0.03442638003881621,51,6.052296423477203,0.05766149803103533,0.04618044606555213,0.06037701
bb_lower,0.0725501362288637,0.051640667,0.04377138136170757,48,3.9358282712393633,0.054574167409158186,0.06768363152218339,0.0644098
qqq_change_lag_2,0.08427430573723259,0.07404456,0.08601620280597119,79,8.167160750584998,0.08866154661762816,0.07161642218046596,0.061656024
volatility,0.0855671297335767,0.051380258,0.055278905300881545,60,10.12264899708262,0.07793461708257095,0.09244673380222011,0.07714652
kw_1_search_lag_2,0.026688359825846174,0.069048904,0.024459342900820764,34,7.452468092916043,0.06277488408884314,0.0371632220557189,0.0658485
qqq_change_lag_1,0.07357906678483314,0.056518644,0.09547538590248637,90,9.08971540134908,0.06243535605463348,0.08746884091753497,0.070663534
snp500_change,0.05011470193168343,0.0641097,0.056102253143035644,56,3.2104394328562633,0.04833882863726731,0.08247699846615764,0.06802811
log_ret_lag_30,0.12647141473687834,0.09564237,0.15084019600060244,119,11.05024468825202,0.07537103481102307,0.08062272568637559,0.07098286
log_ret_lag_2,0.047220708299374595,0.059953444,0.043128511332586536,71,2.9341106641078842,0.042632204370105134,0.07410757800165638,0.07172739
qqq_change,0.05414425842266021,0.073185585,0.06739734597007631,54,5.417642703933168,0.05572165755023255,0.08000882425207843,0.07369131
month,0.020314521062030803,0.07209466,0.010761596079648857,8,3.521184002030022,0.044857156082786585,0.03957179302310107,0.06023513
snp500_change_lag_3,0.20079938335188852,0.09328222,0.23346191075910627,152,18.773121896506964,0.15376788551581463,0.0803250785347513,0.06511645
volume_lag_2,0.049478346465869266,0.057070825,0.0340691447832186,83,4.413347439949869,0.07137732538017533,0.07599660558226398,0.06977536
momentum_10,0.07383608478668505,0.087508634,0.061079156255840726,83,5.266652708755148,0.07468680803802057,0.07470102916259297,0.066302456
kw_3_search_lag_2,0.005506441224658227,0.046479683,0.0037322873652008617,4,0.5931385269593525,0.02920503033070566,0.009630070747347225,0.054039452
