,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_1_search_lag_1,0.024107800114571205,0.0412908,0.03233299502801059,25,6.36443174047261,0.061607670882410884,0.030904259461060343,0.07299997
log_ret_lag_1,0.08145346024627616,0.051772103,0.08814706834579168,112,7.4821305720733315,0.06533273609133473,0.07820878055211784,0.06444149
kw_3_search_lag_1,0.029787521212992666,0.05490357,0.022907292002230226,49,5.980879485122195,0.03835380458314477,0.04279506579680737,0.06390319
volume_lag_1,0.0613947098156407,0.061430525,0.05856397191040058,74,7.029230631559889,0.05945403832789211,0.07840196321117564,0.06640657
snp500_change_lag_2,0.11665920675718398,0.07504169,0.17393291208098405,79,8.680570009093119,0.1557032688792082,0.07139894333214929,0.06344586
kw_1_search_lag_3,0.016831621086296916,0.054787494,0.007521041357703184,11,0.7457304155251623,0.04068692576962547,0.02744444351316983,0.06796897
log_ret_lag_10,0.09219523383064174,0.078969434,0.13277188376977275,67,8.759188080314459,0.12488030415215151,0.07529008744789657,0.061000295
log_ret_lag_20,0.09227567322837166,0.070902474,0.08466814721475713,86,6.925264126188384,0.06451420654355826,0.07983816324107383,0.0644533
snp500_change_lag_1,0.06359662101633175,0.06410009,0.037157107238407566,64,8.779577596404902,0.04626353014078392,0.07081838316577956,0.07107195
sma_5,0.06797805483473582,0.0870672,0.06351025859937592,98,9.309388333296132,0.0538531192248379,0.0805254214112383,0.06549177
stoch_k,0.04335679250139177,0.06360009,0.023778323958911867,44,4.385756882405062,0.0492949705554175,0.056394898752565925,0.06631893
volatility,0.06755809054193332,0.06656688,0.04531899678315894,59,4.432524838088991,0.05170490178931721,0.07573786690186522,0.069020525
log_ret_lag_5,0.09247616771421655,0.07409069,0.08781818139589595,125,8.754222787583132,0.08046769392567177,0.08564787145760004,0.070038706
sma_20,0.06272622089769934,0.080302365,0.0647484747111913,62,5.015407986023892,0.04676897220636149,0.07441261744846918,0.07127311
qqq_change,0.08760282620171658,0.07517459,0.07682334560340831,88,7.3556965158487175,0.06111385692828433,0.0721812343070312,0.0621655
