,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
momentum_10,0.09245201040964704,0.053659655,0.09186771426791895,110,7.590027993974331,0.08041423179840493,0.07958599169502907,0.087651245
kw_1_search_lag_1,0.019126460754014838,0.05107875,0.015899248282975394,35,4.6700256852859425,0.04888509798637942,0.03056436276144146,0.0741249
cci_20,0.09446711994887497,0.07092099,0.09930182704046873,77,10.706803525489498,0.1052058226674073,0.07768192517930878,0.07598087
kw_3_news,0.000936781050843237,0.0716639,0.0023307316952577042,6,0.40323724128611077,0.011501024240468252,0.002001114082467716,0.0
bb_upper,0.09092029157306211,0.06880126,0.08291522541107266,96,11.773798285312616,0.0739677552956042,0.07906179876967492,0.07406832
kw_3_news_lag_1,5.98237077403458e-05,0.024302505,0.0,0,0.0444479770109019,0.005151914182508301,0.0012959438470186383,0.048794206
snp500_change,0.11816546179698331,0.085804515,0.13832895599119296,124,12.601283220533732,0.12493229198740051,0.08638969413530971,0.07225887
log_ret_lag_3,0.0778574776965523,0.07164676,0.08773953383143929,105,6.08140574553263,0.07799415299180529,0.08470895194089301,0.07623618
atr_14,0.07736042857418586,0.07057807,0.05379832627893712,84,5.380920460073246,0.060016711468813704,0.0756087705880067,0.0674633
log_ret_lag_15,0.08601898065446006,0.07427906,0.09758979554535573,109,11.864812024376691,0.08631227881319896,0.0887280396366404,0.0659271
log_ret_lag_10,0.07043734448680009,0.06486693,0.05256590707626675,102,7.075201848862415,0.059263588280540624,0.08342441896693871,0.06996583
log_ret_lag_20,0.08519368613353255,0.07752221,0.0765741651986308,97,6.6201867096064735,0.07776449955520964,0.09036829642451415,0.07082932
log_ret_lag_1,0.0796242844739089,0.069943264,0.08441235381188585,92,7.640282199677978,0.07473835467848675,0.07923175128700721,0.07426946
kw_2_search_lag_2,0.03722873224852416,0.06542435,0.03212789741608002,59,3.7639866354859794,0.044023557533941375,0.05454635599222344,0.06953795
volatility,0.07015111649087025,0.07950788,0.08454831815251812,103,3.7835804474914467,0.06982871851983075,0.08680258469352599,0.07289245
