,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
kw_1_search_lag_2,0.023566537515734908,0.04242287,0.027423751746008,30,4.926959390272146,0.03500155511941671,0.03444950731003567,0.06910823
kw_1_search_lag_3,0.024538685182773513,0.04807949,0.033689139404038726,7,1.1328845670295786,0.03578335258240985,0.036971166263283714,0.061184388
kw_3_search_lag_1,0.012764707281459758,0.0592542,0.023024728037005854,10,4.2371355111830535,0.025990955016068396,0.03100165790599704,0.05948965
volume_lag_5,0.07345901432344457,0.07270372,0.040188848238144066,61,7.48520106783787,0.048913776891367215,0.08214082588652839,0.06455487
volume_ma_5,0.08427525877252488,0.13091849,0.2672382854774663,58,7.5858538702245895,0.11542131105718469,0.06993834889406089,0.066300735
volume_lag_1,0.06114959162355565,0.06630849,0.040250555735516336,60,6.407629897369076,0.05555469925621536,0.08198667097648561,0.069877855
kw_3_search_lag_3,0.025442010976915466,0.07017182,0.023300636514878657,12,2.57267178793007,0.046869843466846514,0.03579682303287686,0.06615788
log_ret_lag_21,0.11387540806367688,0.06580144,0.06696280205699194,103,7.920919135607241,0.0632156371058582,0.09136121311266572,0.07227261
log_ret_lag_5,0.07257363237451593,0.06920974,0.0690334033486349,37,5.872913883790439,0.08044260906467408,0.0776124318427043,0.06588592
rolling_skew_20,0.07220400211233084,0.05371701,0.04419799121553627,53,5.747154482556595,0.04686539664900921,0.08655982746410022,0.06898188
log_ret_lag_3,0.07851017646803508,0.053699438,0.0567649728809763,65,5.625494815207916,0.05537438117002645,0.08813991613499458,0.07007986
volume,0.1768957313746967,0.09336307,0.14785156562692853,204,19.931631036042802,0.21877970918540646,0.07892812121046297,0.066435
kw_3_search,0.014155141699563417,0.050159328,0.012047777055409981,24,4.79505542042943,0.030887540347705442,0.030533946417806792,0.059713025
qqq_change_lag_2,0.09212536423114202,0.06774028,0.09381378011696445,134,11.127635645239287,0.09918215165567468,0.09051232584845087,0.070823744
log_ret_lag_1,0.07446473799963019,0.05645042,0.05421176254549976,82,4.63085948927989,0.04171708143213655,0.0840672176995463,0.06913436
