,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_ma_5,0.07020650478658132,0.045594163,0.057988225942115425,83,7.339056528110554,0.079797427782826,0.09394821847384863,0.071623854
volume_ma_20,0.0671776646615265,0.049482718,0.08582862271207604,75,5.614845530228175,0.04915734683776447,0.08779763714961732,0.06829267
kw_3_search_lag_2,0.016841354803364614,0.066368505,0.01747936122426535,33,6.543728204026434,0.0504288183941403,0.029434215077083787,0.07154877
stoch_k,0.07526230473757249,0.062232744,0.0694579352242884,74,10.888110626201716,0.08145892253139642,0.08322549015402934,0.06562032
sma_5,0.09147358325304031,0.061116654,0.07452652208826357,102,8.857404042691423,0.05648894094775116,0.09461798658238724,0.067095876
kw_2_news_lag_2,0.0036617038055519555,0.057347897,0.0016106499582495962,0,0.12830649414826584,0.028478150862349397,0.0014381806561454401,0.07878215
kw_2_news_lag_1,0.0028536787035375166,0.05529068,0.004654749331595955,0,0.8010060364142227,0.017856576991375585,0.0018771585603776985,0.0
volatility,0.11926078519592714,0.06719984,0.0932965329531001,107,8.994039862140173,0.08992822031128586,0.10121089230988886,0.06761997
volume_lag_2,0.08130251285104398,0.06461808,0.07372387735624733,130,6.694999467562451,0.08261715893618513,0.10845242066481355,0.07825031
kw_3_search_lag_1,0.020219874039153304,0.09013931,0.02491851764602402,20,3.911622104390152,0.055285955055870355,0.0231396359956387,0.06275303
kw_1_search_lag_1,0.0397212136439195,0.07964564,0.0370157682723909,52,4.638169546428048,0.05241590177789951,0.05428973270752038,0.06653682
macd,0.13909599620348065,0.07432157,0.18419490392461618,102,10.284836110280075,0.12461415534539101,0.0916466073026567,0.064484425
qqq_change_lag_1,0.13264228235679093,0.07201718,0.14605271342815251,110,8.964113751628112,0.11707971437177848,0.11139646084278329,0.072371095
log_ret_lag_1,0.13336778865951565,0.07872744,0.11961233693838616,101,13.478080960087555,0.08306967605258615,0.10214637629333448,0.0738399
kw_1_news,0.006912752298994228,0.07589762,0.009639283000228491,23,2.8616807356626577,0.0313230338014002,0.01537898722987458,0.091180824
