,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
bb_lower,0.0992768975377883,0.052024473,0.09791714140859559,100,9.00930038320454,0.06841444065325271,0.08310889184773058,0.070321105
kw_1_news,0.027048800089528213,0.072430305,0.02502886759898382,41,9.883418509518352,0.04390261666468606,0.021659408038481834,0.08065502
atr_14,0.0800230426144985,0.05198124,0.08521516978079505,75,4.5034496656401934,0.06629907391490632,0.07885598804912894,0.059361037
macd_signal,0.08337911712257098,0.062697105,0.07796508928152096,108,8.355946147747213,0.06729055877316222,0.08617955487161622,0.06699315
log_ret_lag_3,0.10144145092822815,0.0673758,0.1266317079927762,127,9.06785182839813,0.10635599300789511,0.08977269132378866,0.06807021
log_ret_lag_1,0.10256317905396689,0.06777687,0.1001040492363166,107,9.603986608777221,0.07693456891625212,0.09815555796596882,0.06883353
kw_3_search_lag_3,0.04091389614542356,0.07446352,0.02794231816843724,57,5.2927992922474925,0.05855417652507947,0.051728598233401736,0.06667005
kw_2_news,0.026093276293144063,0.06380524,0.032297983582987355,31,6.198854755356215,0.06037402489724194,0.027482018337544725,0.075647466
kw_1_news_lag_2,0.009344616401508134,0.05097518,0.0032977002933761955,3,2.110627746685614,0.030514247758944308,0.017517722033623916,0.05789246
cci_20,0.07987708847838666,0.07773064,0.09111973760673449,105,5.857588468480993,0.061566479796428764,0.0863538589629233,0.06327145
month,0.029808310587993117,0.05980203,0.02528842293294825,23,3.7608551275871833,0.05473760357862896,0.04113094871102672,0.060403578
log_ret_lag_14,0.10060115519134497,0.07519691,0.09579813095437055,117,9.17142951884178,0.07911108149266469,0.09182044137706045,0.064166345
kw_2_search_lag_2,0.041781545708541576,0.078835115,0.03356999047770737,30,4.898780266092015,0.07773407428298128,0.040970210994739194,0.059875965
volume,0.09768207004148632,0.07072316,0.10465042351299747,112,6.659818703661868,0.07959491546871358,0.09311720233378111,0.07029977
momentum_10,0.08016555380559055,0.074182324,0.07317326717145298,113,5.625292977761196,0.06861614426916263,0.0921469069191839,0.067538984
