,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_ma_5,0.05360670434311043,0.044578847,0.048148872252170925,88,7.490370394667194,0.07618832699150165,0.07040066413865759,0.06273435
earnings_week,0.013637228956842261,0.079089366,0.01780208739738243,14,5.126500498541814,0.04276851517543872,0.0073834994246184905,0.081958905
macd_signal,0.07512507446917038,0.05701441,0.05009005581081683,82,8.061314066030869,0.057488281773340165,0.07485404265638707,0.07429668
log_ret_lag_7,0.07225067424106525,0.048433557,0.056199151372506397,73,6.703771000680638,0.0530802420739446,0.07451988259921928,0.064974986
log_ret_lag_30,0.06550024555674801,0.05943991,0.05958105550607266,84,7.045307652131251,0.0662380398346017,0.06569360696781641,0.066095605
bb_lower,0.06138270160019069,0.06691589,0.05127442017900365,71,5.074241583471992,0.04882741810804434,0.07016975577080403,0.062005974
momentum_5,0.08201037872360613,0.07522903,0.1000335885384599,103,7.278766114605139,0.09536186244459442,0.06978385621914265,0.064468004
volume_ma_20,0.05685106943350328,0.06334918,0.058634561859092285,65,7.032645231682152,0.044899693511799316,0.06602312020700396,0.06313955
qqq_change_lag_3,0.06922579892337882,0.07290832,0.06644708811211773,63,4.885269684689022,0.0708805380341462,0.07443492752366018,0.06487614
log_ret_lag_5,0.07064730191649585,0.077254035,0.09001362416041751,99,8.288984657513836,0.05427594845170613,0.0774866363560512,0.07124945
snp500_change_lag_2,0.06574626476869257,0.06523945,0.06257330642396433,70,4.187841695532047,0.06128914805856988,0.07129668667148875,0.067304
stoch_d,0.05075449357497255,0.06529617,0.052750148445040904,85,7.492216860978992,0.056968145753587794,0.06741593454268369,0.069043465
snp500_change,0.12408485011747421,0.08652858,0.11833130965473111,124,12.432796119425975,0.1452736505893723,0.07725153678444574,0.06433619
rolling_kurt_20,0.07519747240444145,0.07461728,0.09621953514551858,87,5.158193958450759,0.06613018789147779,0.07292459794663438,0.070677035
atr_14,0.06397974097030829,0.06410597,0.07190119514270484,67,3.7417804815983624,0.06033000130787487,0.06036125219138654,0.052839607
