,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_lag_1,0.10356659439999208,0.056351762,0.13272859866833234,104,10.52614937720335,0.0879943522015642,0.08386030077303545,0.07225195
volume,0.08002710842578158,0.056062188,0.08703464295381293,92,7.170589970408084,0.0759788236715973,0.08476889513524082,0.074675485
sma_20,0.09785043455132669,0.076049805,0.11395938195914,56,9.720303067086292,0.09836075670038766,0.07163714218717952,0.0709673
stoch_k,0.050404058216422375,0.058505267,0.040886013298876894,47,9.099219022597792,0.07192498392472411,0.05350789615506524,0.07313735
rolling_skew_20,0.07709695767228428,0.064875826,0.10318962816996238,69,7.094689965781346,0.0688151358333602,0.0708179334961867,0.06633407
cci_20,0.06118079225011593,0.06260539,0.04712734807315474,82,5.0944855118688945,0.05531764371509829,0.07223853350571312,0.066228256
volume_lag_5,0.059068100612134564,0.06525703,0.05096429859045724,53,5.2048120783692395,0.054819731138611646,0.06642679345496172,0.065356076
qqq_change_lag_1,0.08188805984170423,0.08780337,0.08647590047725252,55,6.185630717290065,0.07956866183096177,0.06898630391628234,0.057092793
volume_ma_20,0.07049813215361063,0.07094615,0.05552946015139419,77,6.943143833957013,0.04777550150995155,0.06742200478167505,0.06255124
snp500_change_lag_1,0.06516272319888299,0.07427907,0.0421171204679172,49,5.962547018330249,0.07333424835921057,0.07078285759760894,0.0664343
earnings_week,0.006805179913413317,0.05393584,0.003827832011189408,13,4.677392495662221,0.04332758285242764,0.005408435219489635,0.061193265
volatility,0.06288149916231399,0.06681009,0.05293414322146197,85,7.03818252035059,0.07124700575685411,0.07538067442206146,0.06406364
log_ret_lag_14,0.06945446320545337,0.06835027,0.08576501186717464,58,6.129048999139847,0.0642155030129067,0.07101551657289072,0.062707245
bb_lower,0.05831406170850178,0.06996875,0.05923329948594439,42,7.35169992094297,0.07293134852676915,0.06914906682743491,0.07698934
rsi_14,0.05580183468806217,0.068199255,0.03822732060392935,47,1.80210550101205,0.034388720965575104,0.06859764595517436,0.06001765
