,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
log_ret_lag_3,0.09013671444364862,0.052497238,0.08801929749569137,77,10.582595975510179,0.13059451838051683,0.056159827076318156,0.055512395
volume,0.05932317575505147,0.05006386,0.05527132113166202,87,4.559193874087802,0.0634928544089751,0.06728042594556141,0.06349344
bb_lower,0.08056541042238732,0.06362322,0.07048559723893227,85,5.596874819704004,0.0645172884214254,0.07119742834774549,0.06410061
volume_ma_5,0.06556630829585608,0.0673683,0.06574041053478845,84,12.26746767271103,0.060209103243298284,0.06931765275945259,0.07068034
rsi_14,0.05105515302529597,0.06496013,0.04771948902844868,60,5.29148261030351,0.048345567390008344,0.06262668128734183,0.06801917
atr_14,0.05680806748507686,0.06755072,0.04251346402392425,85,5.432052439526042,0.05132935215102221,0.06875034473043568,0.07100334
qqq_change_lag_2,0.09924937238720576,0.06769606,0.11846671069680184,65,6.545308789056611,0.10332770550452007,0.07198414112755092,0.075404875
log_ret_lag_20,0.05610779775777714,0.069736004,0.060400544137781245,58,4.748478114770403,0.04571674595151339,0.06300019747562241,0.064991474
volatility,0.0533724293747437,0.06901754,0.059781100720064186,65,6.193621184270114,0.057939231634029836,0.0747935654179906,0.06763005
snp500_change,0.08767015705313376,0.08456753,0.09996198130343605,113,13.830576035158709,0.09315667323299129,0.06667966759312548,0.0741626
log_ret_lag_10,0.062261384915176826,0.06912455,0.07399205519151038,72,7.808991844700868,0.05895566228325512,0.06910158012976936,0.057128657
volume_lag_1,0.0485869573464149,0.069165416,0.039915768077330466,60,4.134995233689922,0.03667378652472499,0.07074043641618305,0.0698476
momentum_10,0.052508215502696826,0.06374456,0.05862500426638041,43,3.589012571718105,0.05697848474911941,0.06942835083090858,0.070326075
rolling_kurt_20,0.057139426730427996,0.06361053,0.047473603813654404,32,3.388170049109387,0.04364093764524419,0.05434957772609052,0.062859125
log_ret_lag_30,0.07964942950510676,0.07727433,0.0716336523395941,55,6.031178785683318,0.08512208847935566,0.06459012313590383,0.06484031
