,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_ma_5,0.06842903251852843,0.043921337,0.05152230668897585,76,5.475419744205596,0.062277686758987184,0.0761851890880079,0.06453659
kw_3_search,0.026250208406484943,0.041088454,0.021606982101454866,28,6.493871080344575,0.04502421857345775,0.031006480753358184,0.05287608
volume,0.09227438067492014,0.058116093,0.09634875359134941,77,9.050593163685333,0.08781043791348475,0.09655899270198579,0.077501595
sma_5,0.06220592633817419,0.063233964,0.06536183547490798,66,5.632404669248971,0.0545041099537399,0.07679711920896688,0.06614345
bb_lower,0.06276315292333905,0.07628658,0.0586722998546995,72,8.650404737796924,0.05530671113478186,0.0781327019231606,0.07113083
momentum_5,0.09861343994095412,0.07011467,0.11248904100152542,114,8.3084881936298,0.09810236020011324,0.08673205054727029,0.061946433
atr_14,0.09480744444867374,0.07401738,0.1085514667007219,106,6.536839589347575,0.06530696411962741,0.08131481569324489,0.0645856
kw_2_search_lag_2,0.07019605094568726,0.08612126,0.05904961546605002,94,9.35100014413913,0.11222222887134431,0.05366399140690886,0.07596418
kw_3_news_lag_1,0.01633354636595313,0.05750562,0.011201307273163544,14,3.1645683873244135,0.041034029206997814,0.020406866333251897,0.0644722
cci_20,0.07399111831135344,0.07058875,0.08251650247309182,114,5.716611749697495,0.05599065756426107,0.09183492533536346,0.0649871
volume_lag_2,0.08582962052469675,0.076514795,0.07156428025210951,74,7.32925233924371,0.07546824976090936,0.08397848065485648,0.07132728
kw_3_news,0.014832580597942206,0.07113458,0.011297706053433656,15,4.453832386903293,0.042304343563045715,0.02171247790539608,0.076826595
log_ret_lag_3,0.09912033969865883,0.07528719,0.09480800452262546,113,7.569649819332825,0.0786244937057804,0.0872094710419111,0.064977534
qqq_change_lag_1,0.11451357714921997,0.08178263,0.1248195075519106,122,10.230369544838078,0.09100886437661204,0.08145942356605888,0.066436194
kw_3_search_lag_3,0.019839581155413843,0.054286633,0.030190390993980416,18,2.036694450262294,0.0350146442968573,0.03300701384025879,0.056288436
