,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
bb_upper,0.12413901448192831,0.07461041,0.12033129281137134,80,8.888991640815874,0.08704182580094816,0.07039658520583009,0.067550346
bb_lower,0.08090504310285072,0.08723216,0.04329343023153451,74,5.283545769672916,0.06777613822489811,0.0687954797146611,0.061289623
kw_3_search,0.011715851708150756,0.03381516,0.002821947694276863,3,2.6913181389332292,0.01921059604874061,0.02423011032998574,0.05674654
kw_2_search_lag_1,0.024286819229799254,0.047266252,0.02078071375058907,32,2.9369182065487935,0.021532796682805694,0.04824841150751871,0.07315822
momentum_10,0.08869204444541544,0.11269921,0.20281827729710644,114,10.655203653769208,0.0703402418335322,0.07745459212682104,0.069385506
volume,0.11632907838048097,0.066003904,0.09210901294445352,104,10.98800923517964,0.09840750257407936,0.07506858841398607,0.06520988
atr_14,0.09472341597988393,0.071491815,0.09691162894283041,86,7.267958365020108,0.08596049162200371,0.06826686295555547,0.065864004
log_ret_lag_10,0.0516404417182174,0.05502271,0.04791808546312698,106,5.544066832513347,0.049350533310006196,0.08218908638604337,0.07103559
qqq_change_lag_2,0.09001424016485789,0.06928621,0.08338895640893267,88,10.64298877705176,0.08519537769975077,0.08961839787352462,0.07267208
log_ret_lag_20,0.05786941646078573,0.055017672,0.03172695492415368,68,5.5088448277608215,0.05997088690616951,0.07520578808793739,0.071808994
rolling_skew_20,0.1393965719931623,0.11531855,0.17855399536973954,115,11.132691223341297,0.15646450217342045,0.0905275493469549,0.06973514
kw_2_news_lag_1,0.009334703895120179,0.065084115,0.003567339283203697,10,3.071500359697428,0.05344400466556949,0.01891124302161487,0.057803288
kw_1_search_lag_3,0.018078133203535404,0.040971458,0.016637142491853257,43,3.454227623170262,0.021649450572262335,0.04381333812284923,0.062400658
log_ret_lag_30,0.05131509717901392,0.04812278,0.04064061047206298,63,6.334652882025665,0.05459521524081172,0.08743039008061769,0.06880004
volatility,0.04156012805679802,0.05805766,0.018500611914765073,27,5.59908246449966,0.06906043664500174,0.07984357682609979,0.06654006
