,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
volume_lag_2,0.06349657083529989,0.049666584,0.06726881750980321,77,7.809724571971477,0.06265011496573214,0.07282629680079321,0.06384582
kw_3_news_lag_1,0.002877830570377799,0.045341183,0.0013403603452491239,9,2.940331346021761,0.0224900053819179,0.00295990400245494,0.056236833
kw_3_search,0.041326133967845596,0.04521676,0.024227537239214076,22,2.5541691558790793,0.041209803972365545,0.05307057146444075,0.058675777
log_ret_lag_21,0.10930435589664347,0.06251821,0.12823833832697382,109,12.116517258575815,0.09774573605647885,0.093831941319834,0.07163085
qqq_change,0.09478161687124924,0.07256287,0.10196655624383559,80,8.79827876951478,0.06963778854572225,0.09849920485275125,0.074299194
log_ret_lag_3,0.10149827451099185,0.07601494,0.0722067963534741,70,9.154560289808934,0.0752109475354603,0.07936006522642382,0.070824586
macd_signal,0.08090261148339745,0.06833208,0.07996563706667312,88,6.612209269929624,0.09241904862826396,0.07670738903797585,0.066642545
volume,0.1427034611494626,0.09168005,0.18134134746210154,141,11.986153413740805,0.15688505327520022,0.0926078032353722,0.075263254
log_ret_lag_10,0.09582864593985355,0.07778421,0.08063852134751892,104,11.107092511354184,0.10256246537765484,0.0894645147727667,0.07024493
kw_3_news_lag_2,0.004619772175634744,0.06272372,0.0027296261126290547,0,0.6426885085490734,0.01855704906127203,0.0037703011058539174,0.060645938
stoch_d,0.05882641042162204,0.07825202,0.03583333150908795,100,6.790453175077206,0.04493939824690092,0.07992053313267236,0.068555646
rolling_skew_20,0.06907031674970764,0.06985158,0.08264363295017806,82,5.087806373682691,0.037893020119653266,0.08837988024896788,0.07223905
momentum_5,0.07606176865887843,0.0723199,0.10035618385017277,83,5.35379191377883,0.09553899226592524,0.07620927967166205,0.06403418
kw_2_news,0.025871327209949942,0.0549636,0.01751837324580002,29,4.361935515674336,0.044964672626573825,0.033248018561937535,0.05521584
stoch_k,0.03283090355908581,0.07277229,0.02372494043728867,32,4.684287926441424,0.037295903940878936,0.059144296566093706,0.07164563
