,RF,XGB,GBR,LGBM,CAT,EXTRATREES,CL_RF,CL_XGB
sma_5,0.07315342915595235,0.044036932,0.0707088008231685,92,7.805452994881954,0.07702080207063146,0.07142352731367851,0.0628565
kw_1_news_lag_1,0.0046905779057717254,0.034624126,0.0068453624055437885,6,1.848639083425146,0.026302504480513793,0.008544906526931392,0.07998495
momentum_10,0.10636147373927152,0.06590676,0.09788365453281452,104,9.617495700313025,0.09886608676921833,0.0776337768358211,0.06421806
kw_3_search_lag_2,0.04404750984088156,0.059288632,0.04906754161434554,60,7.492052560601369,0.05464400847270095,0.04863750727331959,0.062503435
kw_1_news,0.004511593180954764,0.06238707,0.003998994930864353,5,1.7544707643583104,0.03444207805880747,0.006650622007929018,0.062159978
snp500_change_lag_1,0.11431408001671636,0.07155806,0.1135101943307507,89,11.335631291037211,0.11351521060059216,0.07612173163884789,0.06519084
bb_lower,0.06925300000278561,0.08822886,0.09144427898009881,85,3.0896035259756927,0.05748351050258697,0.07882244108239964,0.079603754
stoch_k,0.03746112992877993,0.060335934,0.030933325914752705,31,5.515234144266251,0.04807787716611377,0.05385540915942959,0.06540526
volume_ma_20,0.06302339279580856,0.07173791,0.04978226981523402,74,3.8172319928147633,0.052859885166183944,0.0766028481859702,0.06558112
volume_lag_2,0.08164613137329164,0.07986583,0.07563151419917104,111,13.018029968255588,0.08388121280724804,0.08549108887149819,0.06895476
volume_lag_5,0.06481415783341912,0.0691123,0.038473336377630105,67,4.8924501047483275,0.05160555265739354,0.08718927679433308,0.061122525
log_ret_lag_3,0.10302678845402014,0.06588045,0.12795134482238812,71,7.395405150420906,0.09542747731913703,0.09145386802189422,0.06967393
log_ret_lag_30,0.08667294498746836,0.06867467,0.11878685660024707,100,10.403767624344418,0.08579425658594016,0.08492666081947625,0.06841276
cci_20,0.06629782532605502,0.08355425,0.04805199021749692,49,4.405731745398819,0.05950052098182834,0.07101772690350754,0.061064787
log_ret_lag_20,0.08072596545882327,0.07480817,0.07693053443549389,88,7.6088033491582365,0.0605790163611042,0.08162860856496389,0.06326732
